Mining repository: https://github.com/MunGell/awesome-for-beginners.git
Saved 657 commit records to commits_data.csv

Total number of unique authors: 329

Top 10 contributors by commit count:
----------------------------------------
Shmavon Gazanchyan: 167 commits
Sammy Hori: 72 commits
Jeferson Mari: 17 commits
Alberto Bonacina: 5 commits
Abhinav Sharma: 5 commits
Vishvajit Pathak: 4 commits
Timothy: 4 commits
Peter Thaleikis: 4 commits
Trivikram Kamat: 4 commits
Ned Batchelder: 4 commits
----------------------------------------
Found 195 communication events.
Data saved to communication_events.csv

Sample of communication events:
         file             author1             author2                      time1                      time2
3   README.md  Shmavon Gazanchyan   Charlotte Spencer  2015-10-24 21:11:12+01:00  2015-10-25 11:09:10+00:00
4   README.md   Charlotte Spencer  Shmavon Gazanchyan  2015-10-25 11:09:10+00:00  2015-10-25 16:33:26+00:00
6   README.md  Shmavon Gazanchyan       Sindre Sorhus  2015-10-25 21:41:30+00:00  2015-10-26 18:16:18+07:00
7   README.md       Sindre Sorhus   Steffen Bruchmann  2015-10-26 18:16:18+07:00  2015-10-26 13:47:17+01:00
13  README.md     Maximilian Hils    Mathieu Leplatre  2015-11-11 19:45:08+01:00  2015-11-12 14:51:03+01:00

Top 10 author pairs by communication events:
----------------------------------------
Abdullah A Malik -> Jeferson Mari: 1 events
Abhinav Sharma -> Ruan Martinelli: 1 events
Abhinav Sharma -> Shmavon Gazanchyan: 1 events
Adam Jones -> Swapnil Agarwal: 1 events
Adii-iii -> Tiyang Jawi: 1 events
Adrian Marin -> Kamal Kishor Joshi: 1 events
Adrián GM -> Shivani Sorte: 1 events
Agnès ZITTE -> Tanya Mott: 1 events
Akhil G Krishnan -> Shmavon Gazanchyan: 1 events
Alberto Bonacina -> Brandon A. Welsh: 1 events
----------------------------------------


file,author1,author2,time1,time2
README.md,Shmavon Gazanchyan,Charlotte Spencer,2015-10-24 21:11:12+01:00,2015-10-25 11:09:10+00:00
README.md,Charlotte Spencer,Shmavon Gazanchyan,2015-10-25 11:09:10+00:00,2015-10-25 16:33:26+00:00
README.md,Shmavon Gazanchyan,Sindre Sorhus,2015-10-25 21:41:30+00:00,2015-10-26 18:16:18+07:00
README.md,Sindre Sorhus,Steffen Bruchmann,2015-10-26 18:16:18+07:00,2015-10-26 13:47:17+01:00
README.md,Maximilian Hils,Mathieu Leplatre,2015-11-11 19:45:08+01:00,2015-11-12 14:51:03+01:00
README.md,Mathieu Leplatre,Rémy HUBSCHER,2015-11-12 14:51:03+01:00,2015-11-12 15:08:00+01:00
README.md,Per,edunham,2016-01-04 13:35:07+01:00,2016-01-04 10:00:14-08:00
README.md,edunham,Shmavon Gazanchyan,2016-01-04 11:12:51-08:00,2016-01-04 21:15:18+00:00
README.md,songchoa,Shmavon Gazanchyan,2016-04-07 16:01:48-05:00,2016-04-08 08:35:11+01:00
README.md,Sindre Sorhus,Timothy,2016-10-10 15:55:59+07:00,2016-10-10 14:56:32+02:00
README.md,Timothy,Abhinav Sharma,2016-10-10 14:56:32+02:00,2016-10-10 18:31:00+05:30
README.md,Abhinav Sharma,Ruan Martinelli,2016-10-11 00:09:01+05:30,2016-10-11 00:35:03-03:00
README.md,Ruan Martinelli,Shmavon Gazanchyan,2016-10-11 00:35:03-03:00,2016-10-11 12:15:24+01:00
README.md,Raghav Sai,Abdullah A Malik,2016-10-13 00:05:48+05:30,2016-10-13 11:55:04+05:00
README.md,Abdullah A Malik,Jeferson Mari,2016-10-13 11:55:04+05:00,2016-10-13 16:43:33+08:00
README.md,bpaysen,Jeferson Mari,2016-10-25 19:52:31-07:00,2016-10-27 10:30:11+08:00
README.md,Jeferson Mari,Rimenes Ribeiro,2016-10-27 10:30:11+08:00,2016-10-26 23:40:18-03:00
README.md,Rimenes Ribeiro,Jeferson Mari,2016-10-26 23:40:18-03:00,2016-10-27 17:10:35+08:00
README.md,Vishvajit Pathak,Shmavon Gazanchyan,2016-11-14 14:13:42+05:30,2016-11-15 08:09:28+00:00
README.md,Timothy,Vishvajit Pathak,2016-11-16 16:06:17+00:00,2016-11-17 07:48:41+00:00
README.md,Abhinav Sharma,Shmavon Gazanchyan,2016-11-20 14:23:11+00:00,2016-11-20 14:23:52+00:00
README.md,Waldir Pimenta,Jeferson Mari,2016-11-24 11:59:40+00:00,2016-11-25 15:30:22+08:00
README.md,Alex Gustafsson,Hudolf Hess,2017-04-01 08:34:18+01:00,2017-04-01 08:35:28+01:00
README.md,Shmavon Gazanchyan,Oliver Kopp,2017-04-22 22:11:08+01:00,2017-04-22 22:15:08+01:00
README.md,Oliver Kopp,Thom May,2017-04-22 22:15:08+01:00,2017-04-22 22:16:17+01:00
README.md,Jeffrey Warren,Shmavon Gazanchyan,2017-06-08 04:51:11+01:00,2017-06-08 05:26:27+01:00
README.md,Sahil Dua,Atul mishra,2017-06-22 15:24:33+01:00,2017-06-22 15:33:08+01:00
README.md,Atul mishra,Adam Jones,2017-06-22 15:33:08+01:00,2017-06-22 15:37:40+01:00
README.md,Adam Jones,Swapnil Agarwal,2017-06-22 15:37:40+01:00,2017-06-22 15:42:49+01:00
README.md,ryancee21,Shmavon Gazanchyan,2017-06-29 09:05:34+01:00,2017-06-29 09:08:46+01:00
README.md,Jeferson Mari,Paul Kuruvilla,2017-07-14 07:47:24+01:00,2017-07-14 15:16:52+01:00
README.md,Sharikov Vladislav,Umar Faruk,2017-08-17 21:19:27+01:00,2017-08-17 21:23:48+01:00
README.md,Umar Faruk,Jesús Espino,2017-08-17 21:23:48+01:00,2017-08-17 21:27:32+01:00
README.md,Sandeep Reddy,sreenivas alapati,2017-10-06 07:05:57+01:00,2017-10-06 07:15:50+01:00
README.md,sreenivas alapati,Dmitry Khomutov,2017-10-06 07:15:50+01:00,2017-10-06 07:19:40+01:00
README.md,Michael F. Schönitzer,Anastasia Lanz,2017-10-28 21:35:58+01:00,2017-10-28 21:38:18+01:00
README.md,Anastasia Lanz,Timothy,2017-10-28 21:38:18+01:00,2017-10-28 21:39:15+01:00
README.md,Timothy,James Ah Yong,2017-10-28 21:41:32+01:00,2017-10-28 21:45:58+01:00
README.md,Utkarsh Upadhyay,Doan Thanh Nam,2017-10-30 08:04:00+00:00,2017-10-30 08:04:36+00:00
README.md,nmilcoff,Xuan (Sean) Luong,2017-11-19 13:32:52+00:00,2017-11-19 13:33:48+00:00
README.md,Xuan (Sean) Luong,Ned Batchelder,2017-11-19 13:33:48+00:00,2017-11-19 13:45:17+00:00
README.md,Ned Batchelder,Suyash Shekhar,2017-11-19 13:56:30+00:00,2017-11-19 14:22:29+00:00
README.md,Suyash Shekhar,Ned Batchelder,2017-11-19 14:22:29+00:00,2017-11-19 14:25:31+00:00
README.md,Ned Batchelder,Billy Le,2017-11-19 14:25:31+00:00,2017-11-19 14:32:28+00:00
README.md,Billy Le,Suyash Shekhar,2017-11-19 14:32:28+00:00,2017-11-20 10:21:30+00:00
README.md,Patrick Villanueva,ColumWalsh,2018-01-13 23:38:09+03:00,2018-01-13 23:38:46+03:00
README.md,ColumWalsh,Thanh Tien,2018-01-13 23:38:46+03:00,2018-01-13 23:40:52+03:00
README.md,Thanh Tien,sarmxzh,2018-01-13 23:40:52+03:00,2018-01-13 23:41:35+03:00
README.md,BDMayhem,Gabor Szabo,2018-03-07 08:07:23+00:00,2018-03-07 08:13:34+00:00
README.md,Gabor Szabo,Mor Shemesh,2018-03-07 08:13:34+00:00,2018-03-07 08:14:38+00:00
README.md,Hitesh Ramani,Trivikram Kamat,2018-05-07 16:42:37+01:00,2018-05-07 16:44:55+01:00
README.md,Trivikram Kamat,usaandi,2018-05-07 16:47:39+01:00,2018-05-07 16:51:52+01:00
README.md,usaandi,Shmavon Gazanchyan,2018-05-07 16:51:52+01:00,2018-05-07 16:56:59+01:00
README.md,Shmavon Gazanchyan,Ramil Muratov,2018-05-07 16:56:59+01:00,2018-05-07 16:59:16+01:00
README.md,Padmanabha Raju Sagi,Vasiliy Vanchuk,2018-08-12 07:18:23+01:00,2018-08-12 07:28:18+01:00
README.md,Vasiliy Vanchuk,Jesús Espino,2018-08-12 07:28:18+01:00,2018-08-12 07:31:35+01:00
README.md,Jesús Espino,Trivikram Kamat,2018-08-12 07:31:35+01:00,2018-08-12 07:47:55+01:00
README.md,Trivikram Kamat,Vincent Massol,2018-08-12 07:47:55+01:00,2018-08-12 07:52:05+01:00
README.md,László Székely-Tóth,Lauren McCarthy,2018-08-18 11:34:29+01:00,2018-08-18 11:37:20+01:00
README.md,Florian Bruhin,Max Hilbrunner,2018-10-08 20:39:33+01:00,2018-10-08 20:47:01+01:00
README.md,Max Hilbrunner,Erlend Sogge Heggen,2018-10-08 20:47:01+01:00,2018-10-08 20:50:54+01:00
README.md,Erlend Sogge Heggen,Anthony Scardapane,2018-10-08 20:50:54+01:00,2018-10-08 21:07:46+01:00
