Field,Value
Committer Timezone Distribution,
Timezone,Commits
+00:00,8888
+01:00,1241
+02:00,794
+03:00,2
+09:00,239
+10:00,2
-04:00,21
-05:00,157
-06:00,93
-07:00,553
-08:00,385
,
Contributors Experience (All 2563 files),
File,Top Contributor Share (%)
.cvsignore,58.82
.distfiles,55.00
.editorconfig,40.74
.gitignore,86.59
.lastloc,100.00
.preconfig,100.00
ChangeLog,42.26
ChangeLog-3.1,100.00
ChangeLog-4.1,100.00
ChangeLog-Release,99.97
ChangeLog.3.0,74.37
Completion/.cvsignore,50.00
Completion/.distfiles,42.86
Completion/AIX/.distfiles,50.00
Completion/AIX/Command/.distfiles,100.00
Completion/AIX/Command/_floppy,83.33
Completion/AIX/Command/_lscfg,100.00
Completion/AIX/Command/_lsdev,73.08
Completion/AIX/Command/_lslv,88.89
Completion/AIX/Command/_lspv,90.00
Completion/AIX/Command/_lsvg,90.91
Completion/AIX/Command/_smit,93.10
Completion/AIX/Type/.distfiles,100.00
Completion/AIX/Type/_logical_volumes,94.74
Completion/AIX/Type/_object_classes,75.00
Completion/AIX/Type/_physical_volumes,85.71
Completion/AIX/Type/_volume_groups,83.33
Completion/AIX/_floppy,100.00
Completion/AIX/_logical_volumes,100.00
Completion/AIX/_lscfg,100.00
Completion/AIX/_lsdev,97.50
Completion/AIX/_lslv,100.00
Completion/AIX/_lspv,100.00
Completion/AIX/_lsvg,100.00
Completion/AIX/_object_classes,100.00
Completion/AIX/_physical_volumes,100.00
Completion/AIX/_smit,100.00
Completion/AIX/_volume_groups,100.00
Completion/BSD/.distfiles,100.00
Completion/BSD/Command/.distfiles,77.27
Completion/BSD/Command/_acpiconf,100.00
Completion/BSD/Command/_bsd_pkg,30.85
Completion/BSD/Command/_bsdconfig,83.33
Completion/BSD/Command/_bsdinstall,100.00
Completion/BSD/Command/_chflags,53.85
Completion/BSD/Command/_cksum,100.00
Completion/BSD/Command/_csup,73.47
Completion/BSD/Command/_cu,85.23
Completion/BSD/Command/_cvsup,93.10
Completion/BSD/Command/_fetch,43.62
Completion/BSD/Command/_freebsd-update,46.51
Completion/BSD/Command/_fstat,51.72
Completion/BSD/Command/_fw_update,71.43
Completion/BSD/Command/_gstat,61.11
Completion/BSD/Command/_ipfw,100.00
Completion/BSD/Command/_jail,100.00
Completion/BSD/Command/_jexec,79.17
Completion/BSD/Command/_jls,100.00
Completion/BSD/Command/_jot,100.00
Completion/BSD/Command/_kdump,97.67
Completion/BSD/Command/_kld,75.93
Completion/BSD/Command/_ktrace,96.77
Completion/BSD/Command/_ldap,97.75
Completion/BSD/Command/_mixerctl,91.67
Completion/BSD/Command/_pfctl,38.87
Completion/BSD/Command/_pkgin,100.00
Completion/BSD/Command/_portaudit,65.52
Completion/BSD/Command/_portlint,100.00
Completion/BSD/Command/_portmaster,89.60
Completion/BSD/Command/_portsnap,65.31
Completion/BSD/Command/_powerd,44.83
Completion/BSD/Command/_procstat,60.87
Completion/BSD/Command/_rcctl,94.74
Completion/BSD/Command/_signify,67.39
Completion/BSD/Command/_sockstat,46.53
Completion/BSD/Command/_sysclean,100.00
Completion/BSD/Command/_sysmerge,100.00
Completion/BSD/Command/_syspatch,100.00
Completion/BSD/Command/_sysrc,64.17
Completion/BSD/Command/_systat,89.80
Completion/BSD/Command/_sysupgrade,100.00
Completion/BSD/Command/_usbconfig,100.00
Completion/BSD/Command/_vmctl,50.97
Completion/BSD/Command/_watch-snoop,92.86
Completion/BSD/Type/.distfiles,100.00
Completion/BSD/Type/_bsd_disks,100.00
Completion/BSD/Type/_fbsd_architectures,85.71
Completion/BSD/Type/_fbsd_device_types,100.00
Completion/BSD/Type/_file_flags,100.00
Completion/BSD/Type/_flags,100.00
Completion/BSD/Type/_jails,100.00
Completion/BSD/Type/_ktrace_points,98.04
Completion/BSD/Type/_login_classes,66.67
Completion/BSD/Type/_nbsd_architectures,100.00
Completion/BSD/Type/_obsd_architectures,75.00
Completion/BSD/Type/_routing_domains,100.00
Completion/BSD/Type/_routing_tables,100.00
Completion/Base/.distfiles,45.00
Completion/Base/Completer/.distfiles,71.43
Completion/Base/Completer/_all_matches,87.76
Completion/Base/Completer/_approximate,75.61
Completion/Base/Completer/_complete,100.00
Completion/Base/Completer/_correct,100.00
Completion/Base/Completer/_expand,78.55
Completion/Base/Completer/_expand_alias,64.47
Completion/Base/Completer/_extensions,100.00
Completion/Base/Completer/_external_pwds,97.83
Completion/Base/Completer/_history,90.91
Completion/Base/Completer/_ignored,91.43
Completion/Base/Completer/_list,100.00
Completion/Base/Completer/_match,83.33
Completion/Base/Completer/_menu,95.83
Completion/Base/Completer/_oldlist,95.00
Completion/Base/Completer/_prefix,80.26
Completion/Base/Completer/_user_expand,94.87
Completion/Base/Core/.distfiles,83.33
Completion/Base/Core/_all_labels,96.00
Completion/Base/Core/_description,57.47
Completion/Base/Core/_dispatch,91.94
Completion/Base/Core/_main_complete,73.31
Completion/Base/Core/_message,94.12
Completion/Base/Core/_next_label,93.75
Completion/Base/Core/_normal,83.72
Completion/Base/Core/_requested,100.00
Completion/Base/Core/_setup,89.02
Completion/Base/Core/_tags,95.65
Completion/Base/Core/_wanted,96.88
Completion/Base/Utility/.distfiles,69.44
Completion/Base/Utility/_alternative,93.33
Completion/Base/Utility/_arg_compile,100.00
Completion/Base/Utility/_arguments,68.60
Completion/Base/Utility/_as_if,100.00
Completion/Base/Utility/_cache_invalid,100.00
Completion/Base/Utility/_call_function,100.00
Completion/Base/Utility/_call_program,32.08
Completion/Base/Utility/_combination,89.52
Completion/Base/Utility/_comp_locale,100.00
Completion/Base/Utility/_complete_help_generic,100.00
Completion/Base/Utility/_contexts,100.00
Completion/Base/Utility/_describe,81.89
Completion/Base/Utility/_guard,95.45
Completion/Base/Utility/_multi_parts,91.10
Completion/Base/Utility/_nothing,75.00
Completion/Base/Utility/_numbers,100.00
Completion/Base/Utility/_pick_variant,49.30
Completion/Base/Utility/_regex_arguments,96.88
Completion/Base/Utility/_regex_words,70.77
Completion/Base/Utility/_remote_files,100.00
Completion/Base/Utility/_retrieve_cache,96.88
Completion/Base/Utility/_sep_parts,92.61
Completion/Base/Utility/_sequence,96.36
Completion/Base/Utility/_set_command,100.00
Completion/Base/Utility/_shadow,100.00
Completion/Base/Utility/_store_cache,44.58
Completion/Base/Utility/_sub_commands,100.00
Completion/Base/Utility/_values,93.30
Completion/Base/Widget/.distfiles,100.00
Completion/Base/Widget/_bash_completions,97.92
Completion/Base/Widget/_complete_debug,44.44
Completion/Base/Widget/_complete_help,59.63
Completion/Base/Widget/_complete_tag,89.06
Completion/Base/Widget/_correct_filename,98.63
Completion/Base/Widget/_correct_word,100.00
Completion/Base/Widget/_expand_word,100.00
Completion/Base/Widget/_generic,55.00
Completion/Base/Widget/_history_complete_word,100.00
Completion/Base/Widget/_most_recent_file,66.67
Completion/Base/Widget/_next_tags,73.82
Completion/Base/Widget/_read_comp,98.69
Completion/Base/_arg_compile,100.00
Completion/Base/_argument_sets,100.00
Completion/Base/_arguments,42.13
Completion/Base/_brace_parameter,71.43
Completion/Base/_cache_invalid,100.00
Completion/Base/_combination,75.40
Completion/Base/_command_names,90.91
Completion/Base/_complete_opts,100.00
Completion/Base/_condition,83.87
Completion/Base/_default,48.78
Completion/Base/_describe,71.10
Completion/Base/_equal,72.73
