File,Top Contributor Share (%)
.gitignore,58.44
LICENSE,80.77
.travis.yml,100.00
ActivityIndicatorView.podspec,86.84
ActivityIndicatorView.xcodeproj/project.pbxproj,84.08
ActivityIndicatorView.xcodeproj/project.xcworkspace/contents.xcworkspacedata,100.00
ActivityIndicatorView.xcodeproj/xcuserdata/f3dm76.xcuserdatad/xcschemes/xcschememanagement.plist,100.00
Example/Example.xcodeproj/project.pbxproj,99.75
Example/Example.xcodeproj/project.xcworkspace/contents.xcworkspacedata,100.00
Example/Example.xcodeproj/xcuserdata/f3dm76.xcuserdatad/xcschemes/xcschememanagement.plist,100.00
Example/Example/AppDelegate.swift,100.00
Example/Example/Base.lproj/LaunchScreen.storyboard,100.00
Example/Example/ContentView.swift,49.06
Example/Example/Info.plist,100.00
Example/Example/SceneDelegate.swift,100.00
Example/Podfile,100.00
Package.swift,100.00
README.md,41.12
Source/ActivityIndicatorView.h,100.00
Source/ActivityIndicatorView.swift,67.41
Source/Info.plist,100.00
Example/Example.xcworkspace/contents.xcworkspacedata,100.00
Example/Podfile.lock,79.17
ActivityIndicatorView.xcodeproj/xcshareddata/xcschemes/ActivityIndicatorView.xcscheme,100.00
Source/Indicators/ArcsIndicatorView.swift,80.26
Source/Indicators/DefaultIndicatorView.swift,89.39
Source/Indicators/EqualizerIndicatorView.swift,88.52
Source/Indicators/FlickeringDotsIndicatorView.swift,87.67
Source/Indicators/GradientIndicatorView.swift,86.54
Source/Indicators/GrowingArcIndicatorView.swift,89.41
Source/Indicators/GrowingCircleIndicatorView.swift,80.43
Source/Indicators/OpacityDotsIndicatorView.swift,86.11
Source/Indicators/RotatingDotsIndicatorView.swift,87.50
Source/Indicators/ScalingDotsIndicatorView.swift,90.32
ActivityIndicatorView.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,100.00
ActivityIndicatorView.xcodeproj/xcshareddata/xcschemes/ActivityIndicatorView-Package.xcscheme,100.00
Example/Example.xcodeproj/xcshareddata/xcschemes/Example.xcscheme,100.00
Example/Example/ExampleApp.swift,100.00
Source/Bars/ProgressBarView.swift,100.00
Example/Example.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
