File,Top Contributor Share (%)
.gitignore,44.90
LICENSE,100.00
README.md,54.10
comfy/k_diffusion/augmentation.py,100.00
comfy/k_diffusion/config.py,100.00
comfy/k_diffusion/evaluation.py,100.00
comfy/k_diffusion/external.py,100.00
comfy/k_diffusion/gns.py,100.00
comfy/k_diffusion/layers.py,100.00
comfy/k_diffusion/models/__init__.py,100.00
comfy/k_diffusion/models/image_v1.py,100.00
comfy/k_diffusion/sampling.py,75.33
comfy/k_diffusion/utils.py,100.00
comfy/ldm/data/util.py,100.00
comfy/ldm/models/autoencoder.py,97.93
comfy/ldm/models/diffusion/ddim.py,100.00
comfy/ldm/models/diffusion/ddpm.py,100.00
comfy/ldm/models/diffusion/dpm_solver/__init__.py,100.00
comfy/ldm/models/diffusion/dpm_solver/dpm_solver.py,100.00
comfy/ldm/models/diffusion/dpm_solver/sampler.py,100.00
comfy/ldm/models/diffusion/plms.py,100.00
comfy/ldm/models/diffusion/sampling_util.py,100.00
comfy/ldm/modules/attention.py,93.52
comfy/ldm/modules/diffusionmodules/model.py,99.78
comfy/ldm/modules/diffusionmodules/openaimodel.py,98.48
comfy/ldm/modules/diffusionmodules/upscaling.py,100.00
comfy/ldm/modules/diffusionmodules/util.py,93.00
comfy/ldm/modules/distributions/distributions.py,100.00
comfy/ldm/modules/ema.py,100.00
comfy/ldm/modules/encoders/modules.py,100.00
comfy/ldm/modules/image_degradation/__init__.py,100.00
comfy/ldm/modules/image_degradation/bsrgan.py,100.00
comfy/ldm/modules/image_degradation/bsrgan_light.py,100.00
comfy/ldm/modules/image_degradation/utils_image.py,100.00
comfy/ldm/modules/midas/api.py,100.00
comfy/ldm/modules/midas/midas/base_model.py,100.00
comfy/ldm/modules/midas/midas/blocks.py,100.00
comfy/ldm/modules/midas/midas/dpt_depth.py,100.00
comfy/ldm/modules/midas/midas/midas_net.py,100.00
comfy/ldm/modules/midas/midas/midas_net_custom.py,100.00
comfy/ldm/modules/midas/midas/transforms.py,100.00
comfy/ldm/modules/midas/midas/vit.py,100.00
comfy/ldm/modules/midas/utils.py,100.00
comfy/ldm/modules/sub_quadratic_attention.py,97.78
comfy/ldm/util.py,98.51
comfy/samplers.py,77.74
comfy/sd.py,96.39
comfy/sd1_clip.py,89.50
comfy/sd1_clip_config.json,100.00
comfy/sd1_tokenizer/merges.txt,100.00
comfy/sd1_tokenizer/special_tokens_map.json,100.00
comfy/sd1_tokenizer/tokenizer_config.json,100.00
comfy/sd1_tokenizer/vocab.json,100.00
comfy/sd2_clip.py,100.00
main.py,64.22
models/configs/anything_v3.yaml,100.00
models/configs/v1-inference.yaml,100.00
models/configs/v1-inference_clip_skip_2.yaml,100.00
models/configs/v2-inference-v.yaml,100.00
models/configs/v2-inference-v_fp32.yaml,100.00
nodes.py,65.45
requirements.txt,70.73
webshit/index.html,57.87
webshit/litegraph.core.js,100.00
webshit/litegraph.css,100.00
notebooks/comfyui_colab.ipynb,51.43
models/configs/v1-inference_clip_skip_2_fp16.yaml,100.00
models/configs/v1-inference_fp16.yaml,100.00
models/configs/v2-inference.yaml,100.00
models/configs/v2-inference_fp32.yaml,100.00
comfy/sd2_clip_config.json,100.00
comfy/model_management.py,85.36
comfy/extra_samplers/uni_pc.py,99.50
custom_nodes/example.py,100.00
custom_nodes/example_folder/__init__.py,100.00
custom_nodes/example_folder/utils.py,100.00
models/configs/v2-inpainting-inference.yaml,100.00
comfy/cldm/cldm.py,97.64
comfy/utils.py,78.09
custom_nodes/example_node.py.example,50.94
models/configs/v1-inpainting-inference.yaml,100.00
server.py,37.67
webshit/socket.io.min.js,100.00
script_examples/basic_api_example.py,98.45
comfy/t2i_adapter/adapter.py,100.00
execution.py,40.88
web/index.html,78.31
web/lib/litegraph.core.js,99.42
web/lib/litegraph.css,100.00
web/scripts/api.js,80.60
web/scripts/app.js,57.77
web/scripts/defaultGraph.js,93.70
web/scripts/widgets.js,64.97
web/style.css,59.48
web/scripts/pnginfo.js,56.33
web/scripts/ui.js,60.09
web/scripts/extensions.js,100.00
web/extensions/core/dynamicPrompts.js,80.00
web/extensions/core/rerouteNode.js,85.15
web/extensions/logging.js.example,100.00
comfy_extras/clip_vision.py,100.00
comfy_extras/clip_vision_config.json,100.00
web/extensions/core/invertMenuScrolling.js,97.37
web/extensions/core/uploadImage.js,81.25
comfy_extras/chainner_models/architecture/HAT.py,100.00
comfy_extras/chainner_models/architecture/LICENSE-ESRGAN,100.00
comfy_extras/chainner_models/architecture/LICENSE-HAT,100.00
comfy_extras/chainner_models/architecture/LICENSE-RealESRGAN,100.00
comfy_extras/chainner_models/architecture/LICENSE-SPSR,100.00
comfy_extras/chainner_models/architecture/LICENSE-SwiftSRGAN,100.00
comfy_extras/chainner_models/architecture/LICENSE-Swin2SR,100.00
comfy_extras/chainner_models/architecture/LICENSE-SwinIR,100.00
comfy_extras/chainner_models/architecture/LICENSE-lama,100.00
comfy_extras/chainner_models/architecture/LICENSE-mat,100.00
comfy_extras/chainner_models/architecture/LaMa.py,100.00
comfy_extras/chainner_models/architecture/MAT.py,100.00
comfy_extras/chainner_models/architecture/RRDB.py,100.00
comfy_extras/chainner_models/architecture/SPSR.py,100.00
comfy_extras/chainner_models/architecture/SRVGG.py,100.00
comfy_extras/chainner_models/architecture/SwiftSRGAN.py,100.00
comfy_extras/chainner_models/architecture/Swin2SR.py,100.00
comfy_extras/chainner_models/architecture/SwinIR.py,100.00
comfy_extras/chainner_models/architecture/block.py,100.00
comfy_extras/chainner_models/architecture/face/LICENSE-GFPGAN,100.00
comfy_extras/chainner_models/architecture/face/LICENSE-RestoreFormer,100.00
comfy_extras/chainner_models/architecture/face/LICENSE-codeformer,100.00
comfy_extras/chainner_models/architecture/face/arcface_arch.py,100.00
comfy_extras/chainner_models/architecture/face/codeformer.py,100.00
comfy_extras/chainner_models/architecture/face/fused_act.py,100.00
comfy_extras/chainner_models/architecture/face/gfpgan_bilinear_arch.py,100.00
comfy_extras/chainner_models/architecture/face/gfpganv1_arch.py,100.00
