File,Top Contributor Share (%)
.gitignore,87.50
entry.py,100.00
sd_xl_base.yaml,100.00
sd_xl_refiner.yaml,100.00
sgm/__init__.py,100.00
sgm/data/__init__.py,100.00
sgm/data/cifar10.py,100.00
sgm/data/dataset.py,100.00
sgm/data/mnist.py,100.00
sgm/inference/api.py,100.00
sgm/inference/helpers.py,100.00
sgm/lr_scheduler.py,100.00
sgm/models/__init__.py,100.00
sgm/models/autoencoder.py,100.00
sgm/models/diffusion.py,100.00
sgm/modules/__init__.py,100.00
sgm/modules/attention.py,100.00
sgm/modules/autoencoding/losses/__init__.py,100.00
sgm/modules/autoencoding/lpips/loss/.gitignore,100.00
sgm/modules/autoencoding/lpips/loss/LICENSE,100.00
sgm/modules/autoencoding/lpips/loss/lpips.py,100.00
sgm/modules/autoencoding/lpips/model/LICENSE,100.00
sgm/modules/autoencoding/lpips/model/model.py,100.00
sgm/modules/autoencoding/lpips/util.py,100.00
sgm/modules/autoencoding/lpips/vqperceptual.py,100.00
sgm/modules/autoencoding/regularizers/__init__.py,100.00
sgm/modules/diffusionmodules/__init__.py,100.00
sgm/modules/diffusionmodules/denoiser.py,100.00
sgm/modules/diffusionmodules/denoiser_scaling.py,100.00
sgm/modules/diffusionmodules/denoiser_weighting.py,100.00
sgm/modules/diffusionmodules/discretizer.py,100.00
sgm/modules/diffusionmodules/guiders.py,100.00
sgm/modules/diffusionmodules/loss.py,100.00
sgm/modules/diffusionmodules/model.py,100.00
sgm/modules/diffusionmodules/openaimodel.py,100.00
sgm/modules/diffusionmodules/sampling.py,100.00
sgm/modules/diffusionmodules/sampling_utils.py,100.00
sgm/modules/diffusionmodules/sigma_sampling.py,100.00
sgm/modules/diffusionmodules/util.py,100.00
sgm/modules/diffusionmodules/wrappers.py,100.00
sgm/modules/distributions/distributions.py,100.00
sgm/modules/ema.py,100.00
sgm/modules/encoders/modules.py,100.00
sgm/util.py,100.00
clip/clip-vit-large-patch14/config.json,100.00
clip/clip-vit-large-patch14/merges.txt,100.00
clip/clip-vit-large-patch14/preprocessor_config.json,100.00
clip/clip-vit-large-patch14/special_tokens_map.json,100.00
clip/clip-vit-large-patch14/tokenizer.json,100.00
clip/clip-vit-large-patch14/tokenizer_config.json,100.00
clip/clip-vit-large-patch14/vocab.json,100.00
launch.py,45.32
modules/launch_util.py,63.94
requirements_versions.txt,43.28
environment.yaml,100.00
webui.py,50.66
modules/model_loader.py,85.71
modules/path.py,78.96
modules/sd.py,100.00
models/configs/anything_v3.yaml,100.00
models/configs/v1-inference.yaml,100.00
models/configs/v1-inference_clip_skip_2.yaml,100.00
models/configs/v1-inference_clip_skip_2_fp16.yaml,100.00
models/configs/v1-inference_fp16.yaml,100.00
models/configs/v1-inpainting-inference.yaml,100.00
models/configs/v2-inference-v.yaml,100.00
models/configs/v2-inference-v_fp32.yaml,100.00
models/configs/v2-inference.yaml,100.00
models/configs/v2-inference_fp32.yaml,100.00
models/configs/v2-inpainting-inference.yaml,100.00
modules/core.py,65.36
modules/default_pipeline.py,84.45
modules/samplers_advanced.py,59.93
modules/adm_patch.py,100.00
modules/sdxl_styles.py,46.73
draft.py,100.00
modules/cv2win32.py,79.37
entry_with_update.py,98.08
readme.md,61.49
fooocus_version.py,72.75
LICENSE,100.00
modules/util.py,46.88
update_log.md,64.29
modules/async_worker.py,69.55
modules/html.py,82.05
shared.py,75.00
colab.ipynb,96.00
modules/filters.py,100.00
modules/patch.py,93.51
modules/private_logger.py,43.43
modules/anisotropic.py,100.00
models/prompt_expansion/fooocus_expansion/config.json,97.50
models/prompt_expansion/fooocus_expansion/merges.txt,100.00
models/prompt_expansion/fooocus_expansion/special_tokens_map.json,100.00
models/prompt_expansion/fooocus_expansion/tokenizer.json,100.00
models/prompt_expansion/fooocus_expansion/tokenizer_config.json,100.00
models/prompt_expansion/fooocus_expansion/vocab.json,100.00
modules/expansion.py,70.65
modules/virtual_memory.py,100.00
modules/flags.py,65.96
modules/upscaler.py,97.62
.github/CODEOWNERS,50.00
modules/inpaint_worker.py,95.80
modules/gradio_hijack.py,98.99
fooocus_extras/ip_adapter.py,100.00
fooocus_extras/preprocessors.py,80.83
fooocus_extras/resampler.py,100.00
modules/advanced_parameters.py,100.00
modules/sample_hijack.py,98.32
args_manager.py,74.07
colab_fix.txt,100.00
fooocus_colab.ipynb,95.12
backend/comfy_core/comfy/checkpoint_pickle.py,100.00
backend/comfy_core/comfy/cldm/cldm.py,100.00
backend/comfy_core/comfy/cli_args.py,100.00
backend/comfy_core/comfy/clip_config_bigg.json,100.00
backend/comfy_core/comfy/clip_vision.py,100.00
backend/comfy_core/comfy/clip_vision_config_g.json,100.00
backend/comfy_core/comfy/clip_vision_config_h.json,100.00
backend/comfy_core/comfy/clip_vision_config_vitl.json,100.00
backend/comfy_core/comfy/controlnet.py,100.00
backend/comfy_core/comfy/diffusers_convert.py,100.00
backend/comfy_core/comfy/diffusers_load.py,100.00
backend/comfy_core/comfy/extra_samplers/uni_pc.py,100.00
backend/comfy_core/comfy/gligen.py,100.00
backend/comfy_core/comfy/k_diffusion/external.py,100.00
backend/comfy_core/comfy/k_diffusion/sampling.py,100.00
backend/comfy_core/comfy/k_diffusion/utils.py,100.00
backend/comfy_core/comfy/latent_formats.py,100.00
backend/comfy_core/comfy/ldm/models/autoencoder.py,100.00
backend/comfy_core/comfy/ldm/models/diffusion/ddim.py,100.00
backend/comfy_core/comfy/ldm/models/diffusion/dpm_solver/__init__.py,100.00
backend/comfy_core/comfy/ldm/models/diffusion/dpm_solver/dpm_solver.py,100.00
backend/comfy_core/comfy/ldm/models/diffusion/dpm_solver/sampler.py,100.00
backend/comfy_core/comfy/ldm/models/diffusion/plms.py,100.00
backend/comfy_core/comfy/ldm/models/diffusion/sampling_util.py,100.00
backend/comfy_core/comfy/ldm/modules/attention.py,100.00
backend/comfy_core/comfy/ldm/modules/diffusionmodules/model.py,100.00
backend/comfy_core/comfy/ldm/modules/diffusionmodules/openaimodel.py,100.00
backend/comfy_core/comfy/ldm/modules/diffusionmodules/upscaling.py,100.00
backend/comfy_core/comfy/ldm/modules/diffusionmodules/util.py,100.00
backend/comfy_core/comfy/ldm/modules/distributions/distributions.py,100.00
backend/comfy_core/comfy/ldm/modules/ema.py,100.00
backend/comfy_core/comfy/ldm/modules/encoders/noise_aug_modules.py,100.00
backend/comfy_core/comfy/ldm/modules/sub_quadratic_attention.py,100.00
backend/comfy_core/comfy/ldm/util.py,100.00
backend/comfy_core/comfy/lora.py,100.00
backend/comfy_core/comfy/model_base.py,100.00
backend/comfy_core/comfy/model_detection.py,100.00
backend/comfy_core/comfy/model_management.py,100.00
backend/comfy_core/comfy/model_patcher.py,100.00
backend/comfy_core/comfy/ops.py,100.00
backend/comfy_core/comfy/options.py,100.00
backend/comfy_core/comfy/sample.py,100.00
backend/comfy_core/comfy/samplers.py,100.00
backend/comfy_core/comfy/sd.py,100.00
backend/comfy_core/comfy/sd1_clip.py,100.00
backend/comfy_core/comfy/sd1_clip_config.json,100.00
backend/comfy_core/comfy/sd1_tokenizer/merges.txt,100.00
backend/comfy_core/comfy/sd1_tokenizer/special_tokens_map.json,100.00
backend/comfy_core/comfy/sd1_tokenizer/tokenizer_config.json,100.00
backend/comfy_core/comfy/sd1_tokenizer/vocab.json,100.00
backend/comfy_core/comfy/sd2_clip.py,100.00
backend/comfy_core/comfy/sd2_clip_config.json,100.00
backend/comfy_core/comfy/sdxl_clip.py,100.00
backend/comfy_core/comfy/supported_models.py,100.00
backend/comfy_core/comfy/supported_models_base.py,100.00
backend/comfy_core/comfy/t2i_adapter/adapter.py,100.00
backend/comfy_core/comfy/taesd/taesd.py,100.00
backend/comfy_core/comfy/utils.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/DAT.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/HAT.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-DAT,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-ESRGAN,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-HAT,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-RealESRGAN,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-SCUNet,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-SPSR,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-SwiftSRGAN,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-Swin2SR,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-SwinIR,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LICENSE-lama,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/LaMa.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/ChannelAttention.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/LICENSE,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/OSA.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/OSAG.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/OmniSR.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/esa.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/layernorm.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/OmniSR/pixelshuffle.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/RRDB.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/SCUNet.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/SPSR.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/SRVGG.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/SwiftSRGAN.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/Swin2SR.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/SwinIR.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/block.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/LICENSE-GFPGAN,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/LICENSE-RestoreFormer,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/LICENSE-codeformer,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/arcface_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/codeformer.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/fused_act.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/gfpgan_bilinear_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/gfpganv1_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/gfpganv1_clean_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/restoreformer_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/stylegan2_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/stylegan2_bilinear_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/stylegan2_clean_arch.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/face/upfirdn2d.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/timm/LICENSE,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/timm/drop.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/timm/helpers.py,100.00
backend/comfy_core/comfy_extras/chainner_models/architecture/timm/weight_init.py,100.00
backend/comfy_core/comfy_extras/chainner_models/model_loading.py,100.00
backend/comfy_core/comfy_extras/chainner_models/types.py,100.00
backend/comfy_core/comfy_extras/nodes_canny.py,100.00
backend/comfy_core/comfy_extras/nodes_clip_sdxl.py,100.00
backend/comfy_core/comfy_extras/nodes_compositing.py,100.00
backend/comfy_core/comfy_extras/nodes_custom_sampler.py,100.00
backend/comfy_core/comfy_extras/nodes_freelunch.py,100.00
backend/comfy_core/comfy_extras/nodes_hypernetwork.py,100.00
backend/comfy_core/comfy_extras/nodes_latent.py,100.00
backend/comfy_core/comfy_extras/nodes_mask.py,100.00
backend/comfy_core/comfy_extras/nodes_model_merging.py,100.00
backend/comfy_core/comfy_extras/nodes_post_processing.py,100.00
backend/comfy_core/comfy_extras/nodes_rebatch.py,100.00
backend/comfy_core/comfy_extras/nodes_tomesd.py,100.00
backend/comfy_core/comfy_extras/nodes_upscale_model.py,100.00
backend/comfy_core/custom_nodes/example_node.py.example,100.00
backend/comfy_core/folder_paths.py,100.00
backend/comfy_core/latent_preview.py,100.00
backend/comfy_core/nodes.py,100.00
dev_script_build_backend.py,100.00
python_hijack.py,100.00
backend/headless/comfy/checkpoint_pickle.py,100.00
backend/headless/comfy/cldm/cldm.py,100.00
backend/headless/comfy/cli_args.py,100.00
backend/headless/comfy/clip_config_bigg.json,100.00
backend/headless/comfy/clip_vision.py,100.00
backend/headless/comfy/clip_vision_config_g.json,100.00
backend/headless/comfy/clip_vision_config_h.json,100.00
backend/headless/comfy/clip_vision_config_vitl.json,100.00
backend/headless/comfy/controlnet.py,100.00
backend/headless/comfy/diffusers_convert.py,100.00
backend/headless/comfy/diffusers_load.py,100.00
backend/headless/comfy/extra_samplers/uni_pc.py,100.00
backend/headless/comfy/gligen.py,100.00
backend/headless/comfy/k_diffusion/external.py,100.00
backend/headless/comfy/k_diffusion/sampling.py,100.00
backend/headless/comfy/k_diffusion/utils.py,100.00
backend/headless/comfy/latent_formats.py,100.00
backend/headless/comfy/ldm/models/autoencoder.py,100.00
backend/headless/comfy/ldm/models/diffusion/ddim.py,100.00
backend/headless/comfy/ldm/models/diffusion/dpm_solver/__init__.py,100.00
backend/headless/comfy/ldm/models/diffusion/dpm_solver/dpm_solver.py,100.00
backend/headless/comfy/ldm/models/diffusion/dpm_solver/sampler.py,100.00
backend/headless/comfy/ldm/models/diffusion/plms.py,100.00
backend/headless/comfy/ldm/models/diffusion/sampling_util.py,100.00
backend/headless/comfy/ldm/modules/attention.py,100.00
backend/headless/comfy/ldm/modules/diffusionmodules/model.py,100.00
backend/headless/comfy/ldm/modules/diffusionmodules/openaimodel.py,100.00
backend/headless/comfy/ldm/modules/diffusionmodules/upscaling.py,100.00
backend/headless/comfy/ldm/modules/diffusionmodules/util.py,100.00
backend/headless/comfy/ldm/modules/distributions/distributions.py,100.00
backend/headless/comfy/ldm/modules/ema.py,100.00
backend/headless/comfy/ldm/modules/encoders/noise_aug_modules.py,100.00
backend/headless/comfy/ldm/modules/sub_quadratic_attention.py,100.00
backend/headless/comfy/ldm/util.py,100.00
backend/headless/comfy/lora.py,100.00
backend/headless/comfy/model_base.py,100.00
backend/headless/comfy/model_detection.py,100.00
backend/headless/comfy/model_management.py,100.00
backend/headless/comfy/model_patcher.py,100.00
backend/headless/comfy/ops.py,100.00
backend/headless/comfy/options.py,100.00
backend/headless/comfy/sample.py,100.00
backend/headless/comfy/samplers.py,100.00
backend/headless/comfy/sd.py,100.00
backend/headless/comfy/sd1_clip.py,100.00
backend/headless/comfy/sd1_clip_config.json,100.00
backend/headless/comfy/sd1_tokenizer/merges.txt,100.00
backend/headless/comfy/sd1_tokenizer/special_tokens_map.json,100.00
backend/headless/comfy/sd1_tokenizer/tokenizer_config.json,100.00
backend/headless/comfy/sd1_tokenizer/vocab.json,100.00
backend/headless/comfy/sd2_clip.py,100.00
backend/headless/comfy/sd2_clip_config.json,100.00
backend/headless/comfy/sdxl_clip.py,100.00
backend/headless/comfy/supported_models.py,100.00
backend/headless/comfy/supported_models_base.py,100.00
backend/headless/comfy/t2i_adapter/adapter.py,100.00
backend/headless/comfy/taesd/taesd.py,100.00
backend/headless/comfy/utils.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/DAT.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/HAT.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-DAT,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-ESRGAN,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-HAT,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-RealESRGAN,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-SCUNet,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-SPSR,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-SwiftSRGAN,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-Swin2SR,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-SwinIR,100.00
backend/headless/comfy_extras/chainner_models/architecture/LICENSE-lama,100.00
backend/headless/comfy_extras/chainner_models/architecture/LaMa.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/ChannelAttention.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/LICENSE,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/OSA.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/OSAG.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/OmniSR.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/esa.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/layernorm.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/OmniSR/pixelshuffle.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/RRDB.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/SCUNet.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/SPSR.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/SRVGG.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/SwiftSRGAN.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/Swin2SR.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/SwinIR.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/block.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/LICENSE-GFPGAN,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/LICENSE-RestoreFormer,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/LICENSE-codeformer,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/arcface_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/codeformer.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/fused_act.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/gfpgan_bilinear_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/gfpganv1_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/gfpganv1_clean_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/restoreformer_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/stylegan2_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/stylegan2_bilinear_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/stylegan2_clean_arch.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/face/upfirdn2d.py,100.00
backend/headless/comfy_extras/chainner_models/architecture/timm/LICENSE,100.00
backend/headless/comfy_extras/chainner_models/architecture/timm/drop.py,100.00
