File,Top Contributor Share (%)
.gitignore,92.31
LICENSE,100.00
README.md,49.30
.babelrc,60.00
.editorconfig,92.31
.eslintignore,100.00
.eslintrc.js,61.94
.prettierrc,100.00
.travis.yml,100.00
.whitesource,100.00
_icons/mejs-controls.svg,33.33
_scripts/build.js,58.65
_scripts/dev-runner.js,40.54
_scripts/webpack.main.config.js,70.69
_scripts/webpack.renderer.config.js,51.13
_scripts/webpack.workers.config.js,95.06
appveyor.yml,100.00
package-lock.json,77.51
package.json,41.17
src/index.ejs,83.82
src/main/index.js,29.70
src/renderer/App.css,44.52
src/renderer/App.js,29.01
src/renderer/App.vue,33.80
src/renderer/components/ft-button/ft-button.css,68.49
src/renderer/components/ft-button/ft-button.js,62.75
src/renderer/components/ft-button/ft-button.vue,64.00
src/renderer/components/ft-card/ft-card.css,72.73
src/renderer/components/ft-card/ft-card.js,71.43
src/renderer/components/ft-card/ft-card.vue,66.67
src/renderer/components/ft-channel-bubble/ft-channel-bubble.css,64.86
src/renderer/components/ft-channel-bubble/ft-channel-bubble.js,62.30
src/renderer/components/ft-channel-bubble/ft-channel-bubble.vue,46.27
src/renderer/components/ft-element-list/ft-element-list.css,75.00
src/renderer/components/ft-element-list/ft-element-list.js,38.76
src/renderer/components/ft-element-list/ft-element-list.vue,48.08
src/renderer/components/ft-flex-box/ft-flex-box.css,71.43
src/renderer/components/ft-flex-box/ft-flex-box.js,71.43
src/renderer/components/ft-flex-box/ft-flex-box.vue,100.00
src/renderer/components/ft-grid/ft-grid.css,100.00
src/renderer/components/ft-grid/ft-grid.js,100.00
src/renderer/components/ft-grid/ft-grid.vue,100.00
src/renderer/components/ft-input/ft-input.css,22.70
src/renderer/components/ft-input/ft-input.js,33.45
src/renderer/components/ft-input/ft-input.vue,31.09
src/renderer/components/ft-list-channel/ft-list-channel.css,100.00
src/renderer/components/ft-list-channel/ft-list-channel.js,46.43
src/renderer/components/ft-list-channel/ft-list-channel.vue,27.63
src/renderer/components/ft-list-dropdown/ft-list-dropdown.css,81.93
src/renderer/components/ft-list-dropdown/ft-list-dropdown.js,62.69
src/renderer/components/ft-list-dropdown/ft-list-dropdown.vue,58.54
src/renderer/components/ft-list-playlist/ft-list-playlist.css,100.00
src/renderer/components/ft-list-playlist/ft-list-playlist.js,30.07
src/renderer/components/ft-list-playlist/ft-list-playlist.vue,27.14
src/renderer/components/ft-list-video/ft-list-video.css,77.73
src/renderer/components/ft-list-video/ft-list-video.js,32.72
src/renderer/components/ft-list-video/ft-list-video.vue,27.63
src/renderer/components/ft-loader/ft-loader.css,71.43
src/renderer/components/ft-loader/ft-loader.js,84.62
src/renderer/components/ft-loader/ft-loader.vue,100.00
src/renderer/components/ft-radio-button/ft-radio-button.css,54.92
src/renderer/components/ft-radio-button/ft-radio-button.js,75.86
src/renderer/components/ft-radio-button/ft-radio-button.vue,94.44
src/renderer/components/ft-search-filters/ft-search-filters.css,44.78
src/renderer/components/ft-search-filters/ft-search-filters.js,54.38
src/renderer/components/ft-search-filters/ft-search-filters.vue,41.09
src/renderer/components/ft-select/ft-select.css,44.92
src/renderer/components/ft-select/ft-select.js,37.80
src/renderer/components/ft-select/ft-select.vue,57.63
src/renderer/components/ft-video-player/ft-video-player.css,44.44
src/renderer/components/ft-video-player/ft-video-player.js,39.01
src/renderer/components/ft-video-player/ft-video-player.vue,76.36
src/renderer/components/playlist-info/playlist-info.css,85.29
src/renderer/components/playlist-info/playlist-info.js,57.71
src/renderer/components/playlist-info/playlist-info.vue,48.40
src/renderer/components/side-nav/side-nav.css,48.23
src/renderer/components/side-nav/side-nav.js,40.85
src/renderer/components/side-nav/side-nav.vue,28.27
src/renderer/components/top-nav/top-nav.css,100.00
src/renderer/components/top-nav/top-nav.js,29.62
src/renderer/components/top-nav/top-nav.vue,31.91
src/renderer/components/watch-playlist/watch-playlist.css,100.00
src/renderer/components/watch-playlist/watch-playlist.js,100.00
src/renderer/components/watch-playlist/watch-playlist.vue,96.15
src/renderer/components/watch-video-comments/watch-video-comments.css,31.88
src/renderer/components/watch-video-comments/watch-video-comments.js,44.93
src/renderer/components/watch-video-comments/watch-video-comments.vue,37.34
src/renderer/components/watch-video-description/watch-video-description.css,43.75
src/renderer/components/watch-video-description/watch-video-description.js,48.91
src/renderer/components/watch-video-description/watch-video-description.vue,66.67
src/renderer/components/watch-video-info/watch-video-info.css,51.81
src/renderer/components/watch-video-info/watch-video-info.js,53.37
