File,Top Contributor Share (%)
LICENSE,100.00
README.md,33.83
config.py,32.35
go-webui.bat,50.00
i18n/i18n.py,100.00
i18n/locale/en_US.json,33.91
i18n/locale/es_ES.json,47.88
i18n/locale/fr_FR.json,49.34
i18n/locale/it_IT.json,48.86
i18n/locale/ja_JP.json,38.17
i18n/locale/ru_RU.json,50.00
i18n/locale/tr_TR.json,50.00
i18n/locale/zh_CN.json,52.46
i18n/locale/zh_HK.json,50.00
i18n/locale/zh_SG.json,50.00
i18n/locale/zh_TW.json,50.00
i18n/locale_diff.py,100.00
i18n/scan_i18n.py,100.00
webui.py,42.13
my_utils.py,100.00
slice_audio.py,100.00
slicer2.py,100.00
subfix_webui.py,100.00
tools/init,100.00
tools/my_utils.py,70.54
tools/slice_audio.py,94.12
tools/slicer2.py,100.00
tools/subfix_webui.py,99.01
tools/uvr5/init,100.00
tools/uvr5/lib/lib_v5/dataset.py,100.00
tools/uvr5/lib/lib_v5/layers.py,100.00
tools/uvr5/lib/lib_v5/layers_123812KB.py,100.00
tools/uvr5/lib/lib_v5/layers_123821KB.py,100.00
tools/uvr5/lib/lib_v5/layers_33966KB.py,100.00
tools/uvr5/lib/lib_v5/layers_537227KB.py,100.00
tools/uvr5/lib/lib_v5/layers_537238KB.py,100.00
tools/uvr5/lib/lib_v5/layers_new.py,100.00
tools/uvr5/lib/lib_v5/model_param_init.py,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr16000_hl512.json,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr32000_hl512.json,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr33075_hl384.json,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr44100_hl1024.json,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr44100_hl256.json,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr44100_hl512.json,100.00
tools/uvr5/lib/lib_v5/modelparams/1band_sr44100_hl512_cut.json,100.00
tools/uvr5/lib/lib_v5/modelparams/2band_32000.json,100.00
tools/uvr5/lib/lib_v5/modelparams/2band_44100_lofi.json,100.00
tools/uvr5/lib/lib_v5/modelparams/2band_48000.json,100.00
tools/uvr5/lib/lib_v5/modelparams/3band_44100.json,100.00
tools/uvr5/lib/lib_v5/modelparams/3band_44100_mid.json,100.00
tools/uvr5/lib/lib_v5/modelparams/3band_44100_msb2.json,100.00
tools/uvr5/lib/lib_v5/modelparams/4band_44100.json,100.00
tools/uvr5/lib/lib_v5/modelparams/4band_44100_mid.json,100.00
tools/uvr5/lib/lib_v5/modelparams/4band_44100_msb.json,100.00
tools/uvr5/lib/lib_v5/modelparams/4band_44100_msb2.json,100.00
