File,Top Contributor Share (%)
LICENSE,100.00
NOTICE,100.00
README.md,54.27
README_zh_cn.md,59.14
assets/example_prompts.txt,100.00
assets/modelviewer-template.html,98.00
assets/modelviewer-textured-template.html,64.00
gradio_app.py,71.80
hy3dgen/__init__.py,100.00
hy3dgen/rembg.py,100.00
hy3dgen/shapegen/__init__.py,100.00
hy3dgen/shapegen/models/__init__.py,100.00
hy3dgen/shapegen/models/conditioner.py,100.00
hy3dgen/shapegen/models/hunyuan3ddit.py,97.01
hy3dgen/shapegen/models/vae.py,100.00
hy3dgen/shapegen/pipelines.py,93.28
hy3dgen/shapegen/postprocessors.py,80.51
hy3dgen/shapegen/preprocessors.py,100.00
hy3dgen/shapegen/schedulers.py,100.00
hy3dgen/texgen/__init__.py,100.00
hy3dgen/texgen/custom_rasterizer/custom_rasterizer/__init__.py,100.00
hy3dgen/texgen/custom_rasterizer/custom_rasterizer/io_glb.py,100.00
hy3dgen/texgen/custom_rasterizer/custom_rasterizer/io_obj.py,100.00
hy3dgen/texgen/custom_rasterizer/custom_rasterizer/render.py,100.00
hy3dgen/texgen/custom_rasterizer/lib/custom_rasterizer_kernel/__init__.py,100.00
hy3dgen/texgen/custom_rasterizer/lib/custom_rasterizer_kernel/grid_neighbor.cpp,93.18
hy3dgen/texgen/custom_rasterizer/lib/custom_rasterizer_kernel/rasterizer.cpp,95.21
hy3dgen/texgen/custom_rasterizer/lib/custom_rasterizer_kernel/rasterizer.h,100.00
hy3dgen/texgen/custom_rasterizer/lib/custom_rasterizer_kernel/rasterizer_gpu.cu,94.78
hy3dgen/texgen/custom_rasterizer/setup.py,100.00
hy3dgen/texgen/differentiable_renderer/__init__.py,100.00
hy3dgen/texgen/differentiable_renderer/camera_utils.py,100.00
hy3dgen/texgen/differentiable_renderer/compile_mesh_painter.sh,100.00
hy3dgen/texgen/differentiable_renderer/mesh_processor.cpp,98.17
hy3dgen/texgen/differentiable_renderer/mesh_render.py,100.00
hy3dgen/texgen/differentiable_renderer/mesh_utils.py,100.00
hy3dgen/texgen/hunyuanpaint/__init__.py,100.00
hy3dgen/texgen/hunyuanpaint/pipeline.py,100.00
hy3dgen/texgen/hunyuanpaint/unet/__init__.py,100.00
hy3dgen/texgen/hunyuanpaint/unet/modules.py,100.00
hy3dgen/texgen/pipelines.py,80.93
hy3dgen/texgen/utils/__init__.py,100.00
hy3dgen/texgen/utils/alignImg4Tex_utils.py,100.00
hy3dgen/texgen/utils/counter_utils.py,100.00
hy3dgen/texgen/utils/dehighlight_utils.py,71.79
hy3dgen/texgen/utils/multiview_utils.py,100.00
hy3dgen/texgen/utils/simplify_mesh_utils.py,100.00
hy3dgen/texgen/utils/uv_warp_utils.py,95.45
hy3dgen/text2image.py,100.00
minimal_demo.py,58.41
requirements.txt,47.54
setup.py,100.00
hy3dgen/texgen/differentiable_renderer/compile_mesh_painter.bat,100.00
hy3dgen/texgen/differentiable_renderer/mesh_processor.py,100.00
README_ja_jp.md,95.07
hy3dgen/texgen/differentiable_renderer/setup.py,100.00
.gitignore,100.00
api_server.py,98.55
blender_addon.py,100.00
hy3dgen/texgen/utils/imagesuper_utils.py,100.00
