Field,Value
Commits Overview,
Total Commits,1796
Total Unique Authors,292
,
Top 10 Contributors,
Author,Commits
pnhofmann,375
Philipp Hofmann,327
appi,258
Arpit Choudhary,207
evidencebp,88
StefanosChaliasos,84
Sukeesh,76
Brent,70
=,57
Stefanos,57
,
Communication Events,Total: 211
"Author1,Author2",Events
"Philipp Hofmann,pnhofmann",11
"x1ah,sukeesh",7
"StefanosChaliasos,5n8ke",6
"Stefanos,appi",5
"Umang Ahuja,appi",5
"Philipp Hofmann,Arpit Choudhary",4
"StefanosChaliasos,Lucas Keune",4
"Arpit Choudhary,pnhofmann",3
"Arpit Choudhary,Philipp Hofmann",3
"Ana Isabel,=",3
"pierre,pnhofmann",3
"StefanosChaliasos,Philipp Hofmann",3
"Mukesh Kumar,pnhofmann",3
"RottenCrab,StefanosChaliasos",2
"enqidu,pnhofmann",2
"Roberto Oliveira,Arpit Choudhary",2
"Stefanos,StefanosChaliasos",2
"StefanosChaliasos,Ander Raso Vázquez",2
"umangahuja1,appi",2
"sprintyaf,pnhofmann",2
"Adelin,dixi3",2
"5n8ke,Luis Silva",2
"StefanosChaliasos,Brent",2
"Dudu Popkhadze,pnhofmann",2
"LeonidhaMara,Manos Manousakis",2
"Philipp Hofmann,StefanosChaliasos",2
"Brent,sukeesh",2
"Arpit Choudhary,Sanjay Prajapat",2
"Mukesh Kumar,M. Mukesh Kumar",2
"StefanosChaliasos,sukeesh",2
"appi,eudescar",2
"Yash Ladha,appi",2
"Darin Rawson,Darin755",2
"Brent Hand,StefanosChaliasos",2
"Brent,StefanosChaliasos",2
"Jiabao Han,u7726387",2
"StefanosChaliasos,Sukeesh",2
"Arjun Khanna,arjunk2004",1
"Ander Raso Vázquez,Pedro José Anula",1
"Ander Raso Vázquez,Brent Hand",1
"Ana Isabel,Ryan Arredondo",1
"5n8ke,Brent",1
"=,Roger Vieira",1
"=,pnhofmann",1
"Arpit Choudhary,Jon Ander Oribe",1
"Madhava Kulkarni,pnhofmann",1
"M. Mukesh Kumar,Mukesh Kumar",1
"Lucas Keune,kennymccormick3",1
"Lucas Keune,RottenCrab",1
"Madhav Kulkarni,Sukeesh",1
"KrishnaSai2020,pnhofmann",1
"KrishnaSai2020,Krishna Chivukula",1
"Hongyu Li,Jiabao Han",1
"Kevin Schellenberg,Sukeesh",1
"Jiabao Han,u7041989",1
"IriannaPapoutsi,pnhofmann",1
"Grant Parajuli,appi",1
"Methenitis,Anna Kotsa",1
"Manos Manousakis,LeonidhaMara",1
"Manousakis01,LeonidhaMara",1
"Ritik Ranjan,pnhofmann",1
"Philipp Hofmann,bsushmith",1
"Pedro José Anula,Ander Raso Vázquez",1
"Pedro José Anula,Brent",1
"Nilay Majorwar,pnhofmann",1
"Leonardo Scarlato,pnhofmann",1
"Ian Zhang,pnhofmann",1
"Darin755,Darin Rawson",1
"Ekansh Talwar,Modi08",1
"Bersam Karbasion,pnhofmann",1
"Brent,RottenCrab",1
"Arpit Choudhary,jlvivero",1
"Arpit Choudhary,Sukeesh",1
"Cheuk Yin Ng,pnhofmann",1
"Ayush Aggarwal,yashLadha",1
"Arpit Choudhary,Umang Ahuja",1
"Sreekanth T M,pnhofmann",1
"Shahlin Ibrahim,pnhofmann",1
"Roberto Oliveira,siddardhaks",1
"Roger Vieira,=",1
"Ryan Arredondo,Ana Isabel",1
"Ryan Arredondo,StefanosChaliasos",1
"Sanil,pnhofmann",1
"Sanjay Prajapat,Arpit Choudhary",1
"Milind Sharma,pnhofmann",1
