File,Top Contributor Share (%)
.gitattributes,100.00
LICENSE,100.00
README.md,72.62
data/README.md,73.79
data/alpaca_data_en_52k.json.REMOVED.git-id,100.00
data/alpaca_data_zh_51k.json.REMOVED.git-id,100.00
data/alpaca_gpt4_data_en.json.REMOVED.git-id,100.00
data/alpaca_gpt4_data_zh.json.REMOVED.git-id,100.00
data/comparison_gpt4_data_en.json.REMOVED.git-id,100.00
data/comparison_gpt4_data_zh.json.REMOVED.git-id,100.00
data/dataset_info.json,68.51
data/example_dataset/example_dataset.py,100.00
data/example_dataset/examples.json,100.00
data/hh_rlhf_en/hh_rlhf_en.py,85.81
data/ultra_chat/ultra_chat.py,82.96
src/cli_demo.py,100.00
src/export_model.py,100.00
src/train_ppo.py,100.00
src/train_rm.py,100.00
src/train_sft.py,100.00
src/utils/__init__.py,100.00
src/utils/common.py,95.96
src/utils/config.py,90.89
src/utils/data_collator.py,100.00
src/utils/other.py,100.00
src/utils/pairwise.py,100.00
src/utils/peft_trainer.py,100.00
src/utils/ppo.py,100.00
src/utils/seq2seq.py,100.00
src/web_demo.py,99.71
data/wiki_demo.txt,100.00
src/train_pt.py,100.00
requirements.txt,74.64
src/api.py,76.36
src/api_demo.py,80.08
src/utils/template.py,100.00
data/pretrain_data/blog.json,100.00
data/pretrain_data/wiki.json,100.00
data/pretrain_data/wiki_long.json,100.00
data/pretrain_data/wiki_long.jsonl,100.00
data/belle_multiturn/belle_multiturn.py,84.00
evaluation/evaluate.py,100.00
data/oaast_rm.json.REMOVED.git-id,100.00
data/oaast_rm_zh.json,100.00
data/oaast_sft.json.REMOVED.git-id,100.00
data/oaast_sft_zh.json,100.00
tests/auto_gptq.py,100.00
tests/evaluate_zh.py,100.00
tests/quantize.py,100.00
pyproject.toml,41.55
setup.py,78.39
src/llmtuner/__init__.py,100.00
src/llmtuner/api/__init__.py,100.00
src/llmtuner/api/app.py,96.59
src/llmtuner/api/protocol.py,98.84
src/llmtuner/dsets/__init__.py,100.00
src/llmtuner/dsets/callbacks.py,100.00
src/llmtuner/dsets/loader.py,100.00
src/llmtuner/dsets/preprocess.py,99.27
src/llmtuner/extras/callbacks.py,100.00
src/llmtuner/extras/constants.py,71.50
src/llmtuner/extras/logging.py,100.00
src/llmtuner/extras/misc.py,97.15
src/llmtuner/extras/ploting.py,100.00
src/llmtuner/extras/save_and_load.py,100.00
src/llmtuner/extras/template.py,98.31
src/llmtuner/hparams/__init__.py,100.00
src/llmtuner/hparams/data_args.py,92.61
src/llmtuner/hparams/finetuning_args.py,86.83
src/llmtuner/hparams/general_args.py,100.00
src/llmtuner/hparams/generating_args.py,92.86
src/llmtuner/hparams/model_args.py,71.70
src/llmtuner/tuner/__init__.py,100.00
src/llmtuner/tuner/core/__init__.py,100.00
src/llmtuner/tuner/core/adapter.py,100.00
src/llmtuner/tuner/core/loader.py,98.90
src/llmtuner/tuner/core/parser.py,97.53
src/llmtuner/tuner/core/trainer.py,100.00
src/llmtuner/tuner/ppo/__init__.py,100.00
src/llmtuner/tuner/ppo/trainer.py,100.00
src/llmtuner/tuner/ppo/utils.py,97.75
src/llmtuner/tuner/ppo/workflow.py,100.00
src/llmtuner/tuner/pt/__init__.py,100.00
src/llmtuner/tuner/pt/workflow.py,100.00
src/llmtuner/tuner/rm/__init__.py,100.00
src/llmtuner/tuner/rm/collator.py,100.00
src/llmtuner/tuner/rm/metric.py,100.00
src/llmtuner/tuner/rm/trainer.py,100.00
src/llmtuner/tuner/rm/workflow.py,100.00
src/llmtuner/tuner/sft/__init__.py,100.00
src/llmtuner/tuner/sft/metric.py,100.00
src/llmtuner/tuner/sft/trainer.py,59.49
src/llmtuner/tuner/sft/workflow.py,78.07
src/train_bash.py,100.00
src/llmtuner/chat/__init__.py,100.00
src/llmtuner/chat/stream_chat.py,100.00
tests/modeling_baichuan.py,100.00
src/llmtuner/webui/__init__.py,100.00
src/llmtuner/webui/chat.py,100.00
src/llmtuner/webui/common.py,89.39
src/llmtuner/webui/components/__init__.py,100.00
src/llmtuner/webui/components/chatbot.py,97.87
src/llmtuner/webui/components/data.py,84.39
src/llmtuner/webui/components/eval.py,100.00
src/llmtuner/webui/components/infer.py,100.00
src/llmtuner/webui/components/sft.py,84.54
src/llmtuner/webui/components/top.py,97.34
src/llmtuner/webui/css.py,100.00
src/llmtuner/webui/interface.py,99.16
src/llmtuner/webui/locales.py,89.15
src/llmtuner/webui/manager.py,96.53
src/llmtuner/webui/runner.py,90.70
src/llmtuner/webui/utils.py,96.34
src/train_web.py,93.75
data/refgpt_zh_50k_p1.json.REMOVED.git-id,100.00
data/refgpt_zh_50k_p2.json.REMOVED.git-id,100.00
data/self_cognition.json,100.00
data/sharegpt_zh_27k.json.REMOVED.git-id,100.00
src/llmtuner/dsets/utils.py,100.00
src/llmtuner/webui/components/export.py,100.00
README_zh.md,64.25
data/README_zh.md,72.03
data/lima.json,100.00
data/alpaca_data_en_52k.json,100.00
data/alpaca_data_zh_51k.json,100.00
data/alpaca_gpt4_data_en.json,100.00
data/alpaca_gpt4_data_zh.json,100.00
data/comparison_gpt4_data_en.json,100.00
data/comparison_gpt4_data_zh.json,100.00
data/oaast_rm.json,100.00
data/oaast_sft.json,100.00
data/refgpt_zh_50k_p1.json,100.00
data/refgpt_zh_50k_p2.json,100.00
data/sharegpt_zh_27k.json,100.00
src/llmtuner/tuner/tune.py,100.00
src/llmtuner/tuner/dpo/__init__.py,100.00
src/llmtuner/tuner/dpo/collator.py,100.00
src/llmtuner/tuner/dpo/trainer.py,100.00
src/llmtuner/tuner/dpo/workflow.py,100.00
src/llmtuner/webui/components/train.py,93.26
.gitignore,49.86
tests/template_encode.py,100.00
tests/llamafy_baichuan2.py,100.00
src/llmtuner/tuner/core/utils.py,100.00
src/llmtuner/extras/models/flash_llama.py,100.00
src/llmtuner/extras/patches/flash_llama.py,100.00
tests/cal_flops.py,100.00
evaluation/ceval/ceval.py,97.75
