Field,Value
Commits Overview,
Total Commits,2710
Total Unique Authors,171
,
Top 10 Contributors,
Author,Commits
hiyouga,6322
hoshi-hiyouga,946
BUAADreamer,225
Zhangchi Feng,67
codingma,60
fzc8578,50
Yaser Afshar,44
codemayq,43
Jonery,37
Kingsley,32
,
Communication Events,Total: 656
"Author1,Author2",Events
"hoshi-hiyouga,hiyouga",71
"hiyouga,hoshi-hiyouga",38
"hoshi-hiyouga,Zhangchi Feng",29
"BUAADreamer,hoshi-hiyouga",21
"hiyouga,BUAADreamer",15
"enji.zhou,hiyouga",13
"codemayq,hiyouga",13
"Zhangchi Feng,hoshi-hiyouga",13
"BUAADreamer,hiyouga",12
"hiyouga,enji.zhou",9
"hiyouga,codemayq",9
"hiyouga,ZeYi Lin",9
"hzhaoy,hiyouga",9
"zhuHQ,hoshi-hiyouga",9
"MengqingCao,hoshi-hiyouga",8
"MengqingCao,hiyouga",8
"marko1616,hiyouga",7
"hiyouga,MengqingCao",7
"Jonery,hoshi-hiyouga",7
"Kourosh Hakhamaneshi,Eric Tang",7
"codingma,hoshi-hiyouga",7
"Eric Tang,hiyouga",7
"BUAADreamer,Kingsley",6
"Shiyu Zhang,hiyouga",6
"Jonery,hiyouga",5
"hiyouga,ancv",5
"hiyouga,Jonery",5
"yuze.zyz,hiyouga",5
"hiyouga,hzhaoy",5
"Cuiyn,hiyouga",4
"zhaohu xing,hiyouga",4
"hiyouga,ylfeng",4
"Zhangchi Feng,Haian Huang(深度眸)",4
"hiyouga,fzc8578",4
"hiyouga,yuze.zyz",4
"fanjunliang,hoshi-hiyouga",4
"fzc8578,hiyouga",4
"Tsumugii24,hiyouga",3
"Kingsley,BUAADreamer",3
"KUANGDD,BUAADreamer",3
"Haian Huang(深度眸),hoshi-hiyouga",3
"SirlyDreamer,hiyouga",3
"mrhan1993,hiyouga",3
"codingma,hiyouga",3
"hiyouga,huniu20",3
"hiyouga,liudan",3
"hiyouga,fanjunliang",3
"hiyouga,Cuiyn",3
"ancv,hiyouga",3
"hoshi-hiyouga,shing100",3
"Qiaolin Yu,Hertz",3
"Ze-Yi LIN,hoshi-hiyouga",3
"Kingsley,KUANGDD",3
"齐保元,hiyouga",3
"hoshi-hiyouga,Kingsley",3
"liudan,hiyouga",3
"刘一博,khazic",3
"ylfeng,hiyouga",3
"ZeYi Lin,hiyouga",2
"Tendo33,hiyouga",2
"Johnny,hoshi-hiyouga",2
"Eli Costa,hiyouga",2
"Geun, Lim,shing100",2
"Zhangchi Feng,codingma",2
"Yuchen Han,hiyouga",2
"S3Studio,hiyouga",2
"Liang Ge,hiyouga",2
"Johnny,hiyouga",2
"Kingsley,hoshi-hiyouga",2
"Rayrtfr,hiyouga",2
"Yueqi Song,hoshi-hiyouga",2
"Aleksandr,hiyouga",2
"-.-,hoshi-hiyouga",2
"Peter Pan,hiyouga",2
"hoshi-hiyouga,Marco",2
"hoshi-hiyouga,neavo",2
"liudan,hoshi-hiyouga",2
"khazic,hiyouga",2
"marko1616,hoshi-hiyouga",2
"wangzhihong,hiyouga",2
"tastelikefeet,yuze.zyz",2
"hiyouga,juejuezi",2
"hiyouga,Tsumugii24",2
"hiyouga,anvie",2
"shing100,Kingsley",2
"shing100,Geun, Lim",2
"xingjun.wang,hiyouga",2
"ycjcl868,hoshi-hiyouga",2
"jiongxuc,hiyouga",2
"shing100,hoshi-hiyouga",2
"hoshi-hiyouga,BUAADreamer",2
"huniu20,hiyouga",2
"hiyouga,codingma",2
"hiyouga,faddddeout",2
"hiyouga,Yaser Afshar",2
"hiyouga,marko1616",2
"hiyouga,khazic",2
