Field,Value
Commits Overview,
Total Commits,6338
Total Unique Authors,165
,
Top 10 Contributors,
Author,Commits
better629,3644
莘权 马,3015
geekan,2085
didi,1503
yzlin,1261
seehi,1048
shenchucheng,519
mannaandpoem,484
黄伟韬,441
Yizhou Chi,353
,
Communication Events,Total: 1551
"Author1,Author2",Events
"geekan,莘权 马",121
"geekan,better629",83
"莘权 马,geekan",70
"better629,geekan",65
"莘权 马,better629",43
"Jiayi Zhang,didi",40
"stellahsr,better629",33
"better629,莘权 马",27
"better629,voidking",27
"yzlin,geekan",23
"didi,better629",23
"garylin2099,黄伟韬",22
"better629,didi",18
"shenchucheng,莘权 马",17
"garylin2099,莘权 马",17
"mannaandpoem,莘权 马",16
"黄伟韬,garylin2099",16
"your-username,seeker",15
"yzlin,刘棒棒",15
"seehi,betterwang",14
"geekan,yzlin",14
"better629,seehi",14
"莘权 马,stellahsr",14
"莘权 马,garylin2099",14
"seehi,莘权 马",13
"geekan,shenchucheng",13
"didi,Jiayi Zhang",13
"lidanyang,stellahsr",13
"刘棒棒,yzlin",12
"better629,yzlin",12
"yzlin,莘权 马",12
"黄伟韬,莘权 马",11
"莘权 马,shenchucheng",11
"莘权 马,yzlin",11
"shenchucheng,geekan",11
"mannaandpoem,better629",10
"betterwang,better629",10
"张建生,liuminhui",9
"geekan,mannaandpoem",9
"didi,Zhaoyang Yu",9
"seehi,黄伟韬",9
"lidanyang,yzlin",9
"stellahsr,yzlin",9
"yzlin,mannaandpoem",9
"betterwang,seehi",9
"yzlin,better629",9
"voidking,geekan",9
"Zhaoyang Yu,didi",9
"刘棒棒,莘权 马",8
"莘权 马,mannaandpoem",8
"stellahsr,lidanyang",8
"geekan,voidking",8
"yzlin,stellahsr",7
"seehi,better629",7
"莘权 马,seehi",7
"better629,Jiayi Zhang",7
"黄伟韬,seehi",7
"莘权 马,黄伟韬",7
"geekan,stellahsr",7
"shenchucheng,better629",7
"seeker,your-username",6
"刘棒棒,lidanyang",6
"stellahsr,莘权 马",6
"garylin2099,林义章",6
"geekan,seehi",6
"黄伟韬,Yizhou Chi",5
"betterwang,YangQianli92",5
"stellahsr,geekan",5
"刘棒棒,stellahsr",5
"lidanyang,garylin2099",5
"yzlin,lidanyang",5
"chaleeluo,yzlin",5
"better629,shenchucheng",4
"brucemeek,yzlin",4
"Yizhou Chi,garylin2099",4
"Yizhou Chi,黄伟韬",4
"betterwang,didi",4
"Steven Lee,hy.li",4
"莘权 马,voidking",4
"lidanyang,seehi",4
"better629,stellahsr",4
"莘权 马,wubinhao",3
"莘权 马,zhanglei",3
"lidanyang,刘棒棒",3
"seeker,shenchucheng",3
"shenchucheng,yzlin",3
"肖凌风,Leo",3
"Stitch-z,莘权 马",3
"apple.iiiyu@gmail.com,Ewan Xiao",3
"莘权 马,刘棒棒",3
"voidking,yzlin",3
"better629,betterwang",3
"better629,mannaandpoem",3
"yzlin,voidking",3
"garylin2099,lidanyang",3
"garylin2099,seehi",3
"rainyrfeng,莘权 马",3
"leonzh0u,hongjiongteng",3
"shenchucheng,zhanglei",3
"seehi,Yizhou Chi",3
"hy.li,Steven Lee",3
"stellaHSR,hongjiongteng",3
"wubinhao,lidanyang",3
"yzlin,shenchucheng",3
"voidking,better629",3
"voidking,stellaHSR",3
"刘棒棒,geekan",2
"Zhou Tuo,yzlin",2
"吴承霖,geekan",2
"程茂宇,geekan",2
"Sirui Hong,garylin2099",2
"Stitch-z,geekan",2
"莘权 马,femto",2
"Leo,hongjiongteng",2
