File,Top Contributor Share (%)
README.md,89.41
.babelrc,100.00
.electron-vue/build.js,100.00
.electron-vue/dev-client.js,100.00
.electron-vue/dev-runner.js,100.00
.electron-vue/webpack.main.config.js,94.12
.electron-vue/webpack.renderer.config.js,95.30
.electron-vue/webpack.web.config.js,93.51
.eslintignore,100.00
.eslintrc.js,100.00
.gitignore,96.97
.travis.yml,98.44
app-update.yml,100.00
appveyor.yml,100.00
extra/darwin/engine/aria2.conf,100.00
extra/linux/engine/aria2.conf,100.00
extra/win32/engine/aria2.conf,100.00
package.json,92.55
src/index.ejs,100.00
src/main/Application.js,97.60
src/main/configs/engine.js,96.43
src/main/configs/page.js,94.44
src/main/configs/protocol.js,100.00
src/main/core/ConfigManager.js,97.33
src/main/core/Context.js,100.00
src/main/core/EnergyManager.js,100.00
src/main/core/Engine.js,100.00
src/main/core/Logger.js,100.00
src/main/core/ProtocolManager.js,90.38
src/main/core/UpdateManager.js,90.77
src/main/index.dev.js,100.00
src/main/index.js,100.00
src/main/menus/en-US/darwin.json,100.00
src/main/menus/en-US/linux.json,100.00
src/main/menus/en-US/win32.json,100.00
src/main/menus/touchBar.json,100.00
src/main/menus/zh-CN/darwin.json,100.00
src/main/menus/zh-CN/linux.json,100.00
src/main/menus/zh-CN/win32.json,100.00
src/main/pages/about.html,100.00
src/main/pages/index.html,100.00
src/main/ui/MenuManager.js,100.00
src/main/ui/TouchBarManager.js,100.00
src/main/ui/TrayManager.js,93.53
src/main/ui/WindowManager.js,91.18
src/main/utils/index.js,99.64
src/main/utils/menu.js,100.00
src/renderer/api/Api.js,98.64
src/renderer/api/index.js,100.00
src/renderer/assets/icons/delete.svg,100.00
src/renderer/assets/icons/engine-mode-max.svg,100.00
src/renderer/assets/icons/folder.svg,100.00
src/renderer/assets/icons/inbox.svg,100.00
src/renderer/assets/icons/info-circle.svg,100.00
src/renderer/assets/icons/info-square.svg,100.00
src/renderer/assets/icons/link.svg,100.00
src/renderer/assets/icons/menu-about.svg,100.00
src/renderer/assets/icons/menu-add.svg,100.00
src/renderer/assets/icons/menu-preference.svg,100.00
src/renderer/assets/icons/menu-task.svg,100.00
src/renderer/assets/icons/more.svg,100.00
src/renderer/assets/icons/preference-advanced.svg,100.00
src/renderer/assets/icons/preference-basic.svg,100.00
src/renderer/assets/icons/purge.svg,100.00
src/renderer/assets/icons/refresh.svg,100.00
src/renderer/assets/icons/speedometer.svg,100.00
src/renderer/assets/icons/task-done.svg,100.00
src/renderer/assets/icons/task-pause-line.svg,100.00
src/renderer/assets/icons/task-pause.svg,100.00
src/renderer/assets/icons/task-start-line.svg,100.00
src/renderer/assets/icons/task-start.svg,100.00
src/renderer/assets/icons/task-stop-line.svg,100.00
src/renderer/assets/icons/task-stop.svg,100.00
src/renderer/assets/icons/trash.svg,100.00
src/renderer/assets/logo-mini.svg,100.00
src/renderer/assets/logo.svg,100.00
src/renderer/assets/no-task.svg,100.00
src/renderer/components/About/AboutPanel.vue,100.00
src/renderer/components/About/AppInfo.vue,100.00
src/renderer/components/About/Copyright.vue,100.00
src/renderer/components/Aside/Index.vue,92.44
src/renderer/components/Command/CommandManager.js,100.00
src/renderer/components/Command/index.js,100.00
src/renderer/components/Icons/Icon.vue,100.00
src/renderer/components/Icons/delete.js,100.00
src/renderer/components/Icons/folder.js,100.00
src/renderer/components/Icons/inbox.js,100.00
src/renderer/components/Icons/info-circle.js,100.00
src/renderer/components/Icons/info-square.js,100.00
src/renderer/components/Icons/link.js,100.00
src/renderer/components/Icons/menu-about.js,100.00
src/renderer/components/Icons/menu-add.js,88.89
src/renderer/components/Icons/menu-preference.js,100.00
src/renderer/components/Icons/menu-task.js,100.00
src/renderer/components/Icons/more.js,100.00
src/renderer/components/Icons/preference-advanced.js,100.00
src/renderer/components/Icons/preference-basic.js,100.00
src/renderer/components/Icons/preference-lab.js,100.00
src/renderer/components/Icons/purge.js,100.00
src/renderer/components/Icons/refresh.js,100.00
src/renderer/components/Icons/speedometer.js,100.00
src/renderer/components/Icons/task-pause-line.js,100.00
src/renderer/components/Icons/task-pause.js,100.00
src/renderer/components/Icons/task-start-line.js,100.00
src/renderer/components/Icons/task-start.js,100.00
src/renderer/components/Icons/task-stop-line.js,100.00
src/renderer/components/Icons/task-stop.js,100.00
src/renderer/components/Icons/trash.js,100.00
src/renderer/components/Logo/Logo.vue,100.00
src/renderer/components/Logo/LogoMini.vue,100.00
src/renderer/components/Main.vue,77.97
src/renderer/components/Native/EngineClient.vue,91.07
src/renderer/components/Native/Ipc.vue,100.00
src/renderer/components/Native/SelectDirectory.vue,100.00
src/renderer/components/Native/ShowInFolder.vue,100.00
src/renderer/components/Native/utils.js,100.00
src/renderer/components/Preference/Advanced.vue,90.00
src/renderer/components/Preference/Basic.vue,66.47
src/renderer/components/Preference/Index.vue,98.80
src/renderer/components/Preference/Lab.vue,100.00
src/renderer/components/Speedometer/Speedometer.vue,100.00
src/renderer/components/Subnav/Index.vue,100.00
src/renderer/components/Subnav/PreferenceSubnav.vue,100.00
src/renderer/components/Subnav/TaskSubnav.vue,100.00
src/renderer/components/Task/AddTask.vue,72.51
src/renderer/components/Task/Index.vue,90.03
src/renderer/components/Task/SelectTorrent.vue,96.02
src/renderer/components/Task/TaskActions.vue,89.37
src/renderer/components/Task/TaskItem.vue,98.21
src/renderer/components/Task/TaskItemActions.vue,91.05
