File,Top Contributor Share (%)
README.md,65.28
.gitignore,87.07
civiwiki/api/admin.py,100.00
civiwiki/api/models/__init__.py,100.00
civiwiki/api/models/account.py,79.26
civiwiki/api/models/attachment.py,100.00
civiwiki/api/models/category.py,100.00
civiwiki/api/models/civi.py,87.50
civiwiki/api/models/comment.py,100.00
civiwiki/api/models/group.py,100.00
civiwiki/api/models/hashtag.py,100.00
civiwiki/api/models/topic.py,100.00
civiwiki/api/read.py,92.17
civiwiki/api/tests.py,100.00
civiwiki/api/urls.py,91.67
civiwiki/api/write.py,99.04
civiwiki/civiwiki/settings/__init__.py,100.00
civiwiki/civiwiki/settings/dev.py,97.03
civiwiki/civiwiki/settings/local.py,97.12
civiwiki/civiwiki/settings/production.py,97.00
civiwiki/civiwiki/urls.py,95.12
civiwiki/civiwiki/wsgi.py,100.00
civiwiki/frontend/static/collections/civiCollection.js,100.00
civiwiki/frontend/static/css/animate.css,100.00
civiwiki/frontend/static/css/materialize.css,100.00
civiwiki/frontend/static/css/materialize.min.css,100.00
civiwiki/frontend/static/font/material-design-icons/LICENSE.txt,100.00
civiwiki/frontend/static/font/material-design-icons/Material-Design-Icons.svg,100.00
civiwiki/frontend/static/js/backbone-min.js,100.00
civiwiki/frontend/static/js/jquery-2.1.4.min.js,100.00
civiwiki/frontend/static/js/less.min.js,100.00
civiwiki/frontend/static/js/materialize.js,100.00
civiwiki/frontend/static/js/materialize.min.js,100.00
civiwiki/frontend/static/js/underscore.js,100.00
civiwiki/frontend/static/less/about.less,100.00
civiwiki/frontend/static/less/account_base.less,100.00
civiwiki/frontend/static/less/basic_classes.less,100.00
civiwiki/frontend/static/less/beta.less,100.00
civiwiki/frontend/static/less/dbview.less,100.00
civiwiki/frontend/static/less/home.less,100.00
civiwiki/frontend/static/less/login.less,100.00
civiwiki/frontend/static/less/styles.less,100.00
civiwiki/frontend/static/less/supportus.less,100.00
civiwiki/frontend/static/models/civiModel.js,100.00
civiwiki/frontend/static/views/about_view.js,100.00
civiwiki/frontend/static/views/account_base_view.js,100.00
civiwiki/frontend/static/views/add_civi_view.js,100.00
civiwiki/frontend/static/views/beta_view.js,100.00
civiwiki/frontend/static/views/dbView.js,100.00
civiwiki/frontend/static/views/hello_view.js,100.00
civiwiki/frontend/static/views/login_view.js,100.00
civiwiki/frontend/static/views/support_us_view.js,100.00
civiwiki/frontend/templates/404.html,100.00
civiwiki/frontend/templates/about.html,100.00
civiwiki/frontend/templates/account_home.html,100.00
civiwiki/frontend/templates/add_civi.html,100.00
civiwiki/frontend/templates/basics/links.html,90.91
civiwiki/frontend/templates/basics/nav.html,100.00
civiwiki/frontend/templates/beta_blocker.html,100.00
civiwiki/frontend/templates/dbview.html,100.00
civiwiki/frontend/templates/home.html,100.00
civiwiki/frontend/templates/login.html,100.00
civiwiki/frontend/templates/newgroup.html,100.00
civiwiki/frontend/templates/supportus.html,100.00
civiwiki/manage.py,100.00
civiwiki/utils/custom_decorators.py,97.87
civiwiki/utils/string_templates.py,100.00
civiwiki/website/admin.py,100.00
civiwiki/website/models.py,100.00
civiwiki/website/tests.py,100.00
