File,Top Contributor Share (%)
README.md,41.59
README copy.md,100.00
src/open-r1-multimodal/.gitignore,50.00
src/open-r1-multimodal/LICENSE,50.00
src/open-r1-multimodal/Makefile,50.00
src/open-r1-multimodal/README.md,50.00
src/open-r1-multimodal/configs/ddp.yaml,50.00
src/open-r1-multimodal/configs/zero2.yaml,50.00
src/open-r1-multimodal/configs/zero3.yaml,50.00
src/open-r1-multimodal/local_scripts/create_vision_cot_data.py,50.00
src/open-r1-multimodal/local_scripts/lmms_eval_qwen2vl.sh,50.00
src/open-r1-multimodal/local_scripts/prepare_hf_data.py,50.00
src/open-r1-multimodal/local_scripts/train_aria_moe.sh,50.00
src/open-r1-multimodal/local_scripts/train_qwen2_vl.sh,50.00
src/open-r1-multimodal/local_scripts/zero2.json,50.00
src/open-r1-multimodal/local_scripts/zero3.json,50.00
src/open-r1-multimodal/local_scripts/zero3.yaml,50.00
src/open-r1-multimodal/local_scripts/zero3_offload.json,50.00
src/open-r1-multimodal/run_grpo.sh,50.00
src/open-r1-multimodal/setup.cfg,50.00
src/open-r1-multimodal/setup.py,49.82
src/open-r1-multimodal/slurm/evaluate.slurm,50.00
src/open-r1-multimodal/slurm/generate.slurm,50.00
src/open-r1-multimodal/slurm/sft.slurm,50.00
src/open-r1-multimodal/src/open_r1/evaluate.py,50.00
src/open-r1-multimodal/src/open_r1/generate.py,50.00
src/open-r1-multimodal/src/open_r1/grpo.py,50.24
src/open-r1-multimodal/src/open_r1/sft.py,47.53
src/open-r1-multimodal/src/open_r1/trainer/__init__.py,60.87
src/open-r1-multimodal/src/open_r1/trainer/grpo_trainer.py,48.61
src/scripts/rollout_log_2b.txt,100.00
src/scripts/run_grpo_clevr.sh,50.00
src/rollout_log_2b.txt,100.00
src/distill_r1/README.md,50.00
src/distill_r1/create_hf_dataset.py,50.00
src/distill_r1/filter_r1.py,50.00
src/distill_r1/generate_scene_qa_pairs.ipynb,50.00
src/distill_r1/prompt.py,50.00
src/distill_r1/query_r1.py,50.00
setup.sh,56.92
src/eval/logs/counting_results_superclevr_200_qwen2vl_2b_instruct_grpo100_legacy.json,50.00
src/eval/logs/counting_results_superclevr_200_qwen2vl_2b_instruct_legacy.json,50.00
src/eval/prompts/superclevr_test200_counting_problems.jsonl,50.00
src/eval/test_qwen2vl_counting_superclevr.py,50.00
src/open-r1-multimodal/src/open_r1/trainer/vllm_grpo_trainer.py,63.32
.gitignore,100.00
pdsh_setup.sh,100.00
src/open-r1-multimodal/local_scripts/zero1.json,100.00
src/scripts/get_clevr_data.py,100.00
src/scripts/pdsh_some_action.sh,100.00
src/scripts/qwen2vl_7b_20250207_yewu_mind_27w_no_gpt.sh,100.00
src/scripts/run_grpo_clevr_deepspeed_gy.sh,100.00
src/scripts/run_grpo_clevr_deepspeed_sh.sh,100.00
src/scripts/run_vllm_grpo_clevr_deepspeed_gy.sh,100.00
src/scripts/some_action.sh,100.00
src/open-r1-multimodal/grpo_2b_70k_vllm.sh,100.00
src/eval/logs/geoqa_test_qwen2vl_7b_grpo_2epochs_legacy.json,50.00
src/eval/logs/geoqa_test_qwen2vl_7b_instruct_legacy.json,50.00
src/eval/prompts/geoqa_test_prompts.jsonl,50.00
src/eval/test_qwen2vl_geoqa.py,50.00
src/open-r1-multimodal/configs/qwen2vl_sft_config.yaml,49.38
src/scripts/run_sft_clevr.sh,33.33
src/scripts/run_grpo_vllm.sh,71.93
src/scripts/run_grpo_clevr_torchrun_gy.sh,100.00
src/scripts/run_vllm_grpo_clevr_torchrun_gy.sh,100.00
src/eval/test_qwen2vl_geoqa_multigpu.py,100.00
src/scripts/test_grpo_geoqa.sh,100.00
src/open-r1-multimodal/src/open_r1/trainer/vllm_grpo_trainer_modified.py,100.00
README_internal.md,100.00
src/open-r1-multimodal/local_scripts/zero2_no_optimizer.json,100.00
src/scripts/internal_scripts/run_vllm_grpo_clevr_torchrun_gy.sh,100.00
src/open-r1-multimodal/local_scripts/zero_stage1_config.json,100.00
src/r1-v/run_grpo.sh,100.00
src/r1-v/setup.py,100.00
src/r1-v/src/open_r1/trainer/vllm_grpo_trainer.py,38.64
src/scripts/test_grpo_geoqa_multigpu.sh,100.00
src/open-r1-multimodal/src/open_r1/grpo_vllm_multi_nodes.py,100.00
src/open-r1-multimodal/src/open_r1/trainer/vllm_grpo_trainer_modified_multi_nodes.py,100.00
src/open-r1-multimodal/src/open_r1/trainer/vllm_sampler.py,100.00
src/scripts/internal_scripts/get_huggingface_data.py,100.00
src/scripts/internal_scripts/run_multi_nodes_vllm_grpo_clevr_torchrun_gy.sh,100.00
src/scripts/internal_scripts/run_vllm_grpo_r1m_8k_torchrun_gy.sh,100.00
src/scripts/internal_scripts/vllm_infer_test.py,100.00
internal_scripts/setup.sh,100.00
src/r1-v/src/open_r1/trainer/vllm_grpo_trainer_modified.py,100.00
internal_scripts/run_grpo_geoqa_8k_torchrun_gy.sh,100.00
internal_scripts/run_vllm_grpo_geoqa_8k_torchrun_gy.sh,100.00
internal_scripts/vllm_n_generations_infer_test.py,100.00
src/requirements.txt,100.00
src/scripts/run_grpo_vllm_qwen25vl.sh,91.80
src/r1-v/local_scripts/zero1_no_optimizer.json,100.00
