File,Top Contributor Share (%)
.gitignore,100.00
documents/subject_formal.tex,100.00
notes/datasets.txt,100.00
notes/papers.txt,100.00
notes/subjects.txt,100.00
README.md,87.22
documents/subject.tex,100.00
notes/questions.txt,100.00
documents/thesis.tex,100.00
documents/references.bib,100.00
documents/thesis.bbl,100.00
documents/thesis.blg,100.00
documents/thesis.run.xml,100.00
notes/stickynotes.txt,100.00
notes/improvements.txt,100.00
SV2TTS/audio.py,100.00
SV2TTS/config.py,100.00
SV2TTS/datasets/librispeech.py,100.00
SV2TTS/datasets/speaker_data.py,100.00
SV2TTS/draft.py,100.00
notes/speaker_encoder.txt,100.00
SV2TTS/datasets/data_loader.py,100.00
SV2TTS/datasets/preprocess.py,100.00
SV2TTS/datasets/speaker.py,100.00
SV2TTS/datasets/speaker_batch.py,100.00
SV2TTS/datasets/utterance.py,100.00
SV2TTS/params.py,100.00
SV2TTS/debug.py,100.00
SV2TTS/model.py,100.00
SV2TTS/preprocess.py,100.00
SV2TTS/ui/speaker_matrix_ui.py,100.00
SV2TTS/datasets/speaker_verification_dataset.py,100.00
SV2TTS/train.py,100.00
SV2TTS/ui/visualizations.py,100.00
SV2TTS/data_objects/speaker.py,100.00
SV2TTS/data_objects/speaker_batch.py,100.00
SV2TTS/data_objects/speaker_verification_dataset.py,100.00
SV2TTS/data_objects/utterance.py,100.00
SV2TTS/params_data.py,100.00
SV2TTS/params_model.py,100.00
SV2TTS/demos/umap_demo.py,100.00
SV2TTS/ui/umap_demo_ui.py,100.00
tacotron2/LICENSE,100.00
tacotron2/README.md,100.00
tacotron2/datasets/__init__.py,100.00
tacotron2/datasets/audio.py,100.00
tacotron2/datasets/preprocessor.py,100.00
tacotron2/datasets/wavenet_preprocessor.py,100.00
tacotron2/griffin_lim_synthesis_tool.py,100.00
tacotron2/hparams.py,100.00
tacotron2/infolog.py,100.00
tacotron2/preprocess.py,100.00
tacotron2/requirements.txt,100.00
tacotron2/sentences.txt,100.00
tacotron2/synthesize.py,100.00
tacotron2/tacotron/__init__.py,100.00
tacotron2/tacotron/feeder.py,100.00
tacotron2/tacotron/models/Architecture_wrappers.py,100.00
tacotron2/tacotron/models/__init__.py,100.00
tacotron2/tacotron/models/attention.py,100.00
tacotron2/tacotron/models/custom_decoder.py,100.00
tacotron2/tacotron/models/helpers.py,100.00
tacotron2/tacotron/models/modules.py,100.00
tacotron2/tacotron/models/tacotron.py,100.00
tacotron2/tacotron/synthesize.py,100.00
tacotron2/tacotron/synthesizer.py,100.00
tacotron2/tacotron/train.py,100.00
tacotron2/tacotron/utils/__init__.py,100.00
tacotron2/tacotron/utils/cleaners.py,100.00
tacotron2/tacotron/utils/cmudict.py,100.00
tacotron2/tacotron/utils/numbers.py,100.00
tacotron2/tacotron/utils/plot.py,100.00
tacotron2/tacotron/utils/symbols.py,100.00
tacotron2/tacotron/utils/text.py,100.00
tacotron2/test_wavenet_feeder.py,100.00
tacotron2/train.py,100.00
tacotron2/wavenet_preprocess.py,100.00
tacotron2/wavenet_vocoder/__init__.py,100.00
tacotron2/wavenet_vocoder/feeder.py,100.00
tacotron2/wavenet_vocoder/models/__init__.py,100.00
tacotron2/wavenet_vocoder/models/gaussian.py,100.00
tacotron2/wavenet_vocoder/models/mixture.py,100.00
tacotron2/wavenet_vocoder/models/modules.py,100.00
tacotron2/wavenet_vocoder/models/wavenet.py,100.00
tacotron2/wavenet_vocoder/synthesize.py,100.00
tacotron2/wavenet_vocoder/synthesizer.py,100.00
tacotron2/wavenet_vocoder/train.py,100.00
tacotron2/wavenet_vocoder/util.py,100.00
notes/problems.txt,100.00
notes/synthesizer.txt,100.00
SV2TTS/inference.py,100.00
encoder/audio.py,73.53
encoder/config.py,100.00
encoder/data_objects/speaker.py,100.00
encoder/data_objects/speaker_batch.py,100.00
encoder/data_objects/speaker_verification_dataset.py,100.00
encoder/inference.py,97.14
encoder/model.py,62.50
encoder/preprocess.py,100.00
encoder/train.py,92.86
encoder/ui/speaker_matrix_ui.py,100.00
encoder/ui/umap_demo_ui.py,100.00
encoder/ui/visualizations.py,100.00
encoder/encoder/audio.py,100.00
encoder/encoder/data_objects/speaker.py,100.00
encoder/encoder/data_objects/speaker_batch.py,100.00
encoder/encoder/data_objects/speaker_verification_dataset.py,100.00
encoder/encoder/inference.py,100.00
encoder/encoder/model.py,100.00
encoder/encoder/ui/speaker_matrix_ui.py,100.00
encoder/encoder/ui/visualizations.py,100.00
encoder/inference_demo.py,100.00
encoder/umap_demo.py,100.00
notes/demo.txt,100.00
tacotron2/sentences_old.txt,100.00
tacotron2/inference_demo.py,100.00
LICENSE.txt,100.00
wave-rnn/LICENSE.txt,100.00
wave-rnn/inference_demo.py,100.00
wave-rnn/models/wavernn.py,100.00
wave-rnn/preprocess.py,100.00
wave-rnn/pruning.py,100.00
wave-rnn/train.py,100.00
wave-rnn/utils/display.py,100.00
wave-rnn/utils/dsp.py,100.00
tacotron2/temp.py,100.00
encoder/template.py,100.00
tacotron2/prune_train_txt.py,100.00
tacotron2/LICENSE.txt,100.00
notes/vocoder.txt,100.00
wave-rnn/models/_wavernn.py,100.00
wave-rnn/params.py,100.00
wave-rnn/utils/audio.py,100.00
wave-rnn/utils/vocoder_dataset.py,100.00
wave-rnn/vocoder/audio.py,100.00
wave-rnn/vocoder/inference.py,100.00
wave-rnn/vocoder/model.py,100.00
wave-rnn/vocoder/params.py,100.00
wave-rnn/vocoder/vocoder_dataset.py,100.00
SV2TTS/encoder/audio.py,100.00
SV2TTS/encoder/data_objects/__init__.py,100.00
SV2TTS/encoder/data_objects/speaker.py,100.00
SV2TTS/encoder/data_objects/speaker_batch.py,100.00
SV2TTS/encoder/data_objects/speaker_verification_dataset.py,100.00
SV2TTS/encoder/data_objects/utterance.py,100.00
SV2TTS/encoder/inference.py,100.00
SV2TTS/encoder/model.py,100.00
SV2TTS/encoder/params_data.py,100.00
SV2TTS/encoder/params_model.py,100.00
SV2TTS/encoder/ui/speaker_matrix_ui.py,100.00
SV2TTS/encoder/ui/visualizations.py,100.00
SV2TTS/encoder/preprocess.py,100.00
SV2TTS/encoder_preprocess.py,100.00
SV2TTS/encoder_train.py,100.00
SV2TTS/global_config.py,100.00
SV2TTS/encoder/config.py,100.00
SV2TTS/encoder/data_objects/random_cycler.py,100.00
SV2TTS/encoder/train.py,100.00
SV2TTS/LICENSE.txt,100.00
SV2TTS/demo_embeddings.py,100.00
SV2TTS/demo_sv2tts.py,100.00
SV2TTS/demo_umap.py,100.00
SV2TTS/requirements.txt,100.00
SV2TTS/synthesizer/datasets/audio.py,100.00
SV2TTS/synthesizer/datasets/preprocessor.py,100.00
SV2TTS/synthesizer/feeder.py,100.00
SV2TTS/synthesizer/hparams.py,100.00
SV2TTS/synthesizer/infolog.py,100.00
SV2TTS/synthesizer/models/__init__.py,100.00
SV2TTS/synthesizer/models/architecture_wrappers.py,100.00
SV2TTS/synthesizer/models/attention.py,100.00
SV2TTS/synthesizer/models/custom_decoder.py,100.00
SV2TTS/synthesizer/models/helpers.py,100.00
SV2TTS/synthesizer/models/modules.py,100.00
SV2TTS/synthesizer/models/tacotron.py,100.00
SV2TTS/synthesizer/synthesize.py,100.00
SV2TTS/synthesizer/synthesizer.py,100.00
SV2TTS/synthesizer/train.py,100.00
SV2TTS/synthesizer/utils/cleaners.py,100.00
SV2TTS/synthesizer/utils/cmudict.py,100.00
SV2TTS/synthesizer/utils/numbers.py,100.00
SV2TTS/synthesizer/utils/plot.py,100.00
SV2TTS/synthesizer/utils/symbols.py,100.00
SV2TTS/synthesizer/utils/text.py,100.00
SV2TTS/synthesizer_preprocess.py,100.00
SV2TTS/synthesizer_train.py,100.00
SV2TTS/vocoder_preprocess.py,100.00
SV2TTS/README.md,100.00
SV2TTS/utils/profiler.py,100.00
SV2TTS/toolbox/ui.py,100.00
sv2tts/LICENSE.txt,100.00
sv2tts/README.md,100.00
sv2tts/demo_sv2tts.py,100.00
sv2tts/encoder/audio.py,100.00
sv2tts/encoder/inference.py,97.22
