File,Top Contributor Share (%)
.classpath,93.42
.project,100.00
.settings/org.eclipse.jdt.core.prefs,100.00
LICENSE,100.00
NOTICE,86.67
build.xml,98.79
example/example/Main.java,100.00
example/example/MainFading.java,100.00
example/example/MainOffScreen.java,100.00
example/tao-te-ching.txt,100.00
src/wordcram/Anglers.java,66.35
src/wordcram/BBTree.java,59.22
src/wordcram/BBTreeBuilder.java,61.10
src/wordcram/CenterClumpWordPlacer.java,100.00
src/wordcram/Colorers.java,69.76
src/wordcram/Fonters.java,70.37
src/wordcram/GrabBagWordFonter.java,100.00
src/wordcram/RandomWordNudger.java,71.24
src/wordcram/Sizers.java,68.81
src/wordcram/SpiralWordNudger.java,58.88
src/wordcram/SwirlWordPlacer.java,55.38
src/wordcram/UpperLeftWordPlacer.java,69.51
src/wordcram/WaveWordPlacer.java,54.23
src/wordcram/Word.java,68.73
src/wordcram/WordAngler.java,65.81
src/wordcram/WordColorer.java,66.86
src/wordcram/WordCram.java,54.72
src/wordcram/WordFonter.java,66.47
src/wordcram/WordNudger.java,67.84
src/wordcram/WordPlacement.java,100.00
src/wordcram/WordPlacer.java,67.84
src/wordcram/WordSizer.java,69.50
src/wordcram/text/StopWords.java,100.00
src/wordcram/text/TextSplitter.java,100.00
test/wordcram/text/TestTextSplitter.java,100.00
src/wordcram/PlottingWordNudger.java,69.34
src/wordcram/Placers.java,60.30
ideExample/example/Main.java,90.03
example/simple/simple.pde,100.00
src/wordcram/PlottingWordPlacer.java,52.07
src/wordcram/text/WordSorterAndScaler.java,100.00
test/wordcram/text/TestWordSorterAndScaler.java,100.00
example/babynames/babynames.pde,100.00
example/babynames/data/names.txt,100.00
example/usConstitution/data/usconst.txt,100.00
example/usConstitution/usConstitution.pde,100.00
example/helloworld/helloworld.pde,100.00
src/wordcram/text/Html2Text.java,75.00
src/wordcram/text/WordCounter.java,100.00
test/wordcram/text/TestWordCounter.java,100.00
src/wordcram/WordSorterAndScaler.java,81.11
src/wordcram/text/TextFile.java,53.01
src/wordcram/text/TextSource.java,72.41
test/wordcram/TestWordSorterAndScaler.java,100.00
src/wordcram/text/Html.java,51.56
src/wordcram/text/HtmlFile.java,100.00
src/wordcram/text/Text.java,50.79
src/wordcram/text/WebPage.java,55.42
javadoc/allclasses-frame.html,59.60
javadoc/allclasses-noframe.html,59.60
javadoc/constant-values.html,55.72
javadoc/deprecated-list.html,51.45
javadoc/help-doc.html,52.54
javadoc/index-all.html,67.16
javadoc/index.html,65.52
javadoc/overview-frame.html,62.50
javadoc/overview-summary.html,61.95
javadoc/overview-tree.html,57.46
javadoc/package-list,50.00
javadoc/stylesheet.css,94.23
javadoc/wordcram/Anglers.html,58.77
javadoc/wordcram/Colorers.html,57.17
javadoc/wordcram/Fonters.html,54.89
javadoc/wordcram/Placers.html,54.56
javadoc/wordcram/PlottingWordNudger.html,57.24
javadoc/wordcram/PlottingWordPlacer.html,57.87
javadoc/wordcram/RandomWordNudger.html,58.57
javadoc/wordcram/Sizers.html,58.31
javadoc/wordcram/SpiralWordNudger.html,56.93
javadoc/wordcram/SwirlWordPlacer.html,57.52
javadoc/wordcram/UpperLeftWordPlacer.html,57.52
javadoc/wordcram/WaveWordPlacer.html,57.52
javadoc/wordcram/Word.html,68.25
javadoc/wordcram/WordAngler.html,56.51
javadoc/wordcram/WordColorer.html,57.05
javadoc/wordcram/WordCram.html,71.20
javadoc/wordcram/WordFonter.html,56.88
javadoc/wordcram/WordNudger.html,58.83
javadoc/wordcram/WordPlacer.html,58.19
javadoc/wordcram/WordSizer.html,58.71
javadoc/wordcram/class-use/Anglers.html,50.52
javadoc/wordcram/class-use/Colorers.html,50.52
javadoc/wordcram/class-use/Fonters.html,50.52
javadoc/wordcram/class-use/Placers.html,50.52
javadoc/wordcram/class-use/PlottingWordNudger.html,50.52
javadoc/wordcram/class-use/PlottingWordPlacer.html,50.52
javadoc/wordcram/class-use/RandomWordNudger.html,50.52
javadoc/wordcram/class-use/Sizers.html,50.52
javadoc/wordcram/class-use/SpiralWordNudger.html,50.52
javadoc/wordcram/class-use/SwirlWordPlacer.html,50.52
javadoc/wordcram/class-use/UpperLeftWordPlacer.html,50.52
javadoc/wordcram/class-use/WaveWordPlacer.html,50.52
javadoc/wordcram/class-use/Word.html,50.17
javadoc/wordcram/class-use/WordAngler.html,51.96
javadoc/wordcram/class-use/WordColorer.html,52.31
javadoc/wordcram/class-use/WordCram.html,61.35
javadoc/wordcram/class-use/WordFonter.html,53.48
javadoc/wordcram/class-use/WordNudger.html,50.31
javadoc/wordcram/class-use/WordPlacer.html,52.64
javadoc/wordcram/class-use/WordSizer.html,52.86
javadoc/wordcram/package-frame.html,56.74
javadoc/wordcram/package-summary.html,58.26
javadoc/wordcram/package-tree.html,56.85
javadoc/wordcram/package-use.html,50.11
javadoc/wordcram/text/Html.html,55.73
javadoc/wordcram/text/Html2Text.html,100.00
javadoc/wordcram/text/HtmlFile.html,100.00
javadoc/wordcram/text/StopWords.html,100.00
javadoc/wordcram/text/Text.html,55.73
javadoc/wordcram/text/TextFile.html,55.76
javadoc/wordcram/text/TextSource.html,55.22
javadoc/wordcram/text/TextSplitter.html,100.00
javadoc/wordcram/text/WebPage.html,55.91
javadoc/wordcram/text/WordCounter.html,100.00
javadoc/wordcram/text/class-use/Html.html,50.52
javadoc/wordcram/text/class-use/Html2Text.html,100.00
javadoc/wordcram/text/class-use/HtmlFile.html,100.00
javadoc/wordcram/text/class-use/StopWords.html,100.00
javadoc/wordcram/text/class-use/Text.html,50.52
javadoc/wordcram/text/class-use/TextFile.html,50.52
javadoc/wordcram/text/class-use/TextSource.html,51.71
javadoc/wordcram/text/class-use/TextSplitter.html,100.00
javadoc/wordcram/text/class-use/WebPage.html,50.52
javadoc/wordcram/text/class-use/WordCounter.html,100.00
javadoc/wordcram/text/package-frame.html,66.67
javadoc/wordcram/text/package-summary.html,51.39
javadoc/wordcram/text/package-tree.html,50.60
javadoc/wordcram/text/package-use.html,50.90
src/util/Timer.java,100.00
src/wordcram/WordCramEngine.java,52.67
src/overview.html,95.89
example/fromWebPage/fromWebPage.pde,100.00
