File,Top Contributor Share (%)
README_EN.md,100.00
inference/codecmanipulator.py,100.00
inference/infer.py,98.56
inference/input.jsonl,100.00
inference/mmtokenizer.py,100.00
inference/readme.md,100.00
inference/reconstruct.sh,100.00
inference/xcodec_mini_infer,50.00
requirements.txt,85.71
README.md,40.93
.gitignore,97.01
.gitattributes,100.00
inference/xcodec_mini_infer/RepCodec/.gitignore,100.00
inference/xcodec_mini_infer/RepCodec/LICENSE,100.00
inference/xcodec_mini_infer/RepCodec/README.md,100.00
inference/xcodec_mini_infer/RepCodec/examples/data2vec_audio.py,100.00
inference/xcodec_mini_infer/RepCodec/examples/data2vec_feature_reader.py,100.00
inference/xcodec_mini_infer/RepCodec/examples/dump_feature.py,100.00
inference/xcodec_mini_infer/RepCodec/examples/feature_utils.py,100.00
inference/xcodec_mini_infer/RepCodec/examples/hubert_feature_reader.py,100.00
inference/xcodec_mini_infer/RepCodec/examples/tokens/data2vec_base_l6_dev-clean.tokens,100.00
inference/xcodec_mini_infer/RepCodec/examples/tokens/data2vec_large_l18_dev-clean.tokens,100.00
inference/xcodec_mini_infer/RepCodec/examples/tokens/hubert_base_l9_dev-clean.tokens,100.00
inference/xcodec_mini_infer/RepCodec/examples/tokens/hubert_large_l18_dev-clean.tokens,100.00
inference/xcodec_mini_infer/RepCodec/examples/tokens/whisper_large_l32_dev-clean.tokens,100.00
inference/xcodec_mini_infer/RepCodec/examples/tokens/whisper_medium_l24_dev-clean.tokens,100.00
inference/xcodec_mini_infer/RepCodec/examples/whisper_feature_reader.py,100.00
inference/xcodec_mini_infer/RepCodec/examples/whisper_model.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/RepCodec.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/configs/repcodec_dim1024.yaml,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/configs/repcodec_dim1280.yaml,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/configs/repcodec_dim768.yaml,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/layers/conv_layer.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/layers/vq_module.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/modules/decoder.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/modules/encoder.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/modules/projector.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/modules/quantizer.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/modules/residual_unit.py,100.00
inference/xcodec_mini_infer/RepCodec/repcodec/tokenize.py,100.00
inference/xcodec_mini_infer/RepCodec/setup.py,100.00
inference/xcodec_mini_infer/RepCodec/train.py,100.00
inference/xcodec_mini_infer/RepCodec/train_configs/ex_dim768_mse.yaml,100.00
inference/xcodec_mini_infer/RepCodec/trainer/autoencoder.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/__init__.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/__main__.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/compare/encodec.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/model/__init__.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/model/base.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/model/dac.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/model/discriminator.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/nn/__init__.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/nn/layers.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/nn/loss.py,100.00
inference/xcodec_mini_infer/descriptaudiocodec/dac/nn/quantize.py,100.00
