File,Top Contributor Share (%)
.gitignore,100.00
.python-version,100.00
README.md,61.68
pyproject.toml,96.15
sample.py,70.59
uv.lock,100.00
zaudio/autoencoder.py,100.00
zaudio/backbone.py,100.00
zaudio/codebook_pattern.py,100.00
zaudio/conditioning.py,100.00
zaudio/config.py,100.00
zaudio/model.py,100.00
zaudio/sampling.py,100.00
dockerfile,100.00
src/backbone.py,100.00
src/conditioning.py,100.00
src/model.py,100.00
src/speaker_cloning.py,100.00
zonos/autoencoder.py,100.00
zonos/backbone.py,100.00
zonos/conditioning.py,61.64
zonos/config.py,100.00
zonos/model.py,62.33
zonos/sampling.py,43.33
zonos/speaker_cloning.py,88.89
Dockerfile,100.00
COPYING.APACHE,100.00
gradio_interface.py,65.56
docker-compose.yml,88.24
CONDITIONING_README.md,75.00
zonos/backbone/__init__.py,100.00
zonos/backbone/_mamba_ssm.py,100.00
zonos/backbone/_torch.py,100.00
zonos/utils.py,100.00
