File,Top Contributor Share (%)
.gitignore,88.89
LICENSE.txt,75.00
README.md,81.10
.github/COC_CONTACT.md,64.71
.github/CODE_OF_CONDUCT.md,76.05
.github/CONTRIBUTING.md,100.00
.github/stale.yml,100.00
readmes/README.ar.md,100.00
readmes/README.de.md,100.00
readmes/README.es.md,100.00
readmes/README.fr.md,100.00
readmes/README.hi.md,100.00
readmes/README.ja.md,100.00
readmes/README.pt.md,100.00
readmes/README.ru.md,100.00
readmes/README.tr.md,100.00
readmes/README.zh-cn.md,100.00
readmes/README.zh-tw.md,100.00
Cargo.lock,100.00
Cargo.toml,100.00
diesel.toml,100.00
src/lib.rs,100.00
src/main.rs,100.00
.gitattributes,100.00
CONTRIBUTING.md,80.76
NOTICE.txt,100.00
backend/README.md,100.00
src/README.md,100.00
requirements.txt,94.59
.github/ISSUE_TEMPLATE/bug_report.yml,96.43
.github/ISSUE_TEMPLATE/config.yml,100.00
.github/ISSUE_TEMPLATE/feature_request.yml,97.14
frontend/README.md,100.00
.editorconfig,53.12
.github/workflows/welcome.yml,100.00
backend/Dockerfile,79.59
backend/apps/users/admin.py,100.00
backend/apps/users/apps.py,100.00
backend/apps/users/forms.py,100.00
backend/apps/users/migrations/0001_initial.py,100.00
backend/apps/users/models.py,100.00
backend/apps/users/serializers.py,100.00
backend/apps/users/templates/mail/password_reset.txt,100.00
backend/apps/users/views.py,100.00
backend/config/api.py,100.00
backend/config/settings.py,100.00
backend/config/urls.py,100.00
backend/config/wsgi.py,100.00
backend/manage.py,75.73
backend/requirements.txt,46.23
backend/scripts/entrypoint.sh,100.00
backend/scripts/gunicorn.sh,100.00
backend/scripts/start.sh,100.00
docker-compose-prod.yml,100.00
docker-compose.yml,70.08
frontend/.eslintrc.js,52.00
frontend/babel.config.js,100.00
frontend/package-lock.json,32.48
frontend/package.json,68.10
frontend/public/img/icons/safari-pinned-tab.svg,100.00
frontend/public/index.html,100.00
frontend/public/manifest.json,100.00
frontend/public/robots.txt,100.00
frontend/src/App.vue,100.00
frontend/src/components/ExampleComponent.vue,100.00
frontend/src/main.js,100.00
frontend/src/registerServiceWorker.js,100.00
frontend/src/router.js,100.00
frontend/src/store.js,100.00
frontend/src/store/index.js,100.00
frontend/src/store/modules/auth.js,100.00
frontend/src/store/services/users.js,100.00
frontend/tests/unit/.eslintrc.js,100.00
frontend/vue.config.js,100.00
jsconfig.json,100.00
nginx/Dockerfile,100.00
nginx/dev.conf,100.00
nginx/prod.conf,100.00
frontend/src/components/HelloWorld.vue,100.00
frontend/src/main.ts,100.00
frontend/src/shims-vue.d.ts,100.00
frontend/src/store.ts,100.00
frontend/tsconfig.json,59.52
.env.example,75.97
.dockerignore,100.00
.flake8,100.00
.github/workflows/ci.yml,100.00
Dockerfile,100.00
assets/.yarnrc,100.00
assets/css/app.css,100.00
assets/esbuild.config.js,100.00
assets/package.json,100.00
assets/postcss.config.js,100.00
assets/static/502.html,100.00
assets/static/browserconfig.xml,100.00
assets/static/maintenance.html,100.00
assets/static/robots.txt,100.00
