File,Top Contributor Share (%)
README,81.25
animate.css,35.65
source/bounce.css,82.14
source/bounceIn.css,80.37
source/bounceInDown.css,80.37
source/bounceInLeft.css,80.37
source/bounceInRight.css,80.37
source/bounceInUp.css,79.05
source/bounceOut.css,67.72
source/bounceOutLeft.css,80.46
source/bounceOutRight.css,80.46
source/bounceOutUp.css,80.46
source/bounceOutdown.css,80.46
source/fadeIn.css,81.25
source/fadeInDown.css,81.16
source/fadeInDownBig.css,80.60
source/fadeInLeft.css,80.60
source/fadeInLeftBig.css,80.95
source/fadeInRight.css,80.60
source/fadeInRightBig.css,80.60
source/fadeInUp.css,80.60
source/fadeInUpBig.css,80.60
source/fadeOut.css,81.25
source/fadeOutDown.css,80.60
source/fadeOutDownBig.css,80.60
source/fadeOutLeft.css,79.10
source/fadeOutLeftBig.css,80.60
source/fadeOutRight.css,80.60
source/fadeOutRightBig.css,80.95
source/fadeOutUp.css,80.95
source/fadeOutUpBig.css,80.60
source/flash.css,73.08
source/rotateIn.css,100.00
source/rotateInDownLeft.css,100.00
source/rotateInDownRight.css,100.00
source/rotateInUpLeft.css,100.00
source/rotateInUpRight.css,100.00
source/rotateOut.css,100.00
source/rotateOutDownLeft.css,100.00
source/rotateOutDownRight.css,100.00
source/rotateOutUpLeft.css,100.00
source/rotateOutUpRight.css,100.00
source/shake.css,81.48
source/tada.css,85.54
source/hinge.css,100.00
source/pulse.css,100.00
source/rollIn.css,100.00
source/rollOut.css,100.00
source/swing.css,100.00
source/wobble.css,100.00
source/flip.css,87.67
source/flipInX.css,100.00
source/flipInY.css,100.00
source/flipOutX.css,100.00
source/flipOutY.css,100.00
README.md,16.25
LICENSE.txt,100.00
source/lightSpeedIn.css,100.00
source/lightSpeedOut.css,100.00
source/vibrate.css,100.00
source/wiggle.css,100.00
animate.min.css,22.22
source/bounceOutDown.css,100.00
bower.json,38.24
.idea/animate.css.iml,100.00
.idea/encodings.xml,100.00
.idea/misc.xml,100.00
.idea/modules.xml,100.00
.idea/scopes/scope_settings.xml,100.00
.idea/vcs.xml,100.00
source/slideInDown.css,100.00
source/slideInLeft.css,100.00
source/slideInRight.css,100.00
source/slideOutLeft.css,100.00
source/slideOutRight.css,100.00
source/slideOutUp.css,100.00
.gitignore,36.84
Gruntfile.js,53.59
package.json,36.48
source/_base.css,26.67
source/attention_seekers/bounce.css,35.94
source/attention_seekers/flash.css,42.31
source/attention_seekers/pulse.css,45.16
source/attention_seekers/shake.css,39.02
source/attention_seekers/swing.css,60.87
source/attention_seekers/tada.css,47.17
source/attention_seekers/wobble.css,52.73
source/bouncing_entrances/bounceIn.css,56.79
source/bouncing_entrances/bounceInDown.css,55.71
source/bouncing_entrances/bounceInLeft.css,55.71
source/bouncing_entrances/bounceInRight.css,54.93
source/bouncing_entrances/bounceInUp.css,55.71
source/bouncing_exits/bounceOut.css,55.56
source/bouncing_exits/bounceOutDown.css,56.82
source/bouncing_exits/bounceOutLeft.css,57.89
source/bouncing_exits/bounceOutRight.css,57.89
source/bouncing_exits/bounceOutUp.css,56.82
source/fading_entrances/fadeIn.css,38.10
source/fading_entrances/fadeInDown.css,56.67
source/fading_entrances/fadeInDownBig.css,56.67
source/fading_entrances/fadeInLeft.css,56.67
source/fading_entrances/fadeInLeftBig.css,56.67
source/fading_entrances/fadeInRight.css,56.67
source/fading_entrances/fadeInRightBig.css,56.67
source/fading_entrances/fadeInUp.css,56.67
source/fading_entrances/fadeInUpBig.css,56.67
source/fading_exits/fadeOut.css,38.10
source/fading_exits/fadeOutDown.css,57.14
source/fading_exits/fadeOutDownBig.css,57.14
source/fading_exits/fadeOutLeft.css,57.14
source/fading_exits/fadeOutLeftBig.css,57.14
source/fading_exits/fadeOutRight.css,57.14
source/fading_exits/fadeOutRightBig.css,57.14
source/fading_exits/fadeOutUp.css,57.14
source/fading_exits/fadeOutUpBig.css,57.14
source/flippers/flip.css,44.00
source/flippers/flipInX.css,64.41
source/flippers/flipInY.css,64.41
source/flippers/flipOutX.css,57.50
source/flippers/flipOutY.css,57.50
source/lightspeed/lightSpeedIn.css,62.50
source/lightspeed/lightSpeedOut.css,55.17
source/rotating_entrances/rotateIn.css,56.76
source/rotating_entrances/rotateInDownLeft.css,54.29
source/rotating_entrances/rotateInDownRight.css,54.29
source/rotating_entrances/rotateInUpLeft.css,54.29
source/rotating_entrances/rotateInUpRight.css,54.29
source/rotating_exits/rotateOut.css,57.14
source/rotating_exits/rotateOutDownLeft.css,52.94
