File,Top Contributor Share (%)
README.md,85.08
lib/ansible/__init__.py,86.14
library/ping,58.44
examples/ansible_hosts,100.00
bin/ansible,55.03
library/facter,43.43
library/copy,39.20
library/command,52.84
setup.py,30.71
TODO.md,100.00
bin/ansible-inventory,97.56
AUTHORS.md,93.75
lib/ansible/constants.py,32.84
lib/ansible/playbook.py,88.46
lib/ansible/runner.py,83.87
examples/playbook.yml,99.44
.gitignore,17.27
Makefile,20.40
docs/man/.gitignore,100.00
docs/man/man1/ansible.1,45.84
docs/man/man1/ansible.1.asciidoc,54.74
library/ohai,69.61
library/setup,33.12
library/template,53.15
library/service,24.85
docs/man/man5/ansible-modules.1.asciidoc,100.00
docs/man/man5/ansible-modules.5,54.50
docs/man/man5/ansible-playbook.1.asciidoc,98.26
docs/man/man5/ansible-playbook.5,86.64
docs/man/man5/ansible-modules.5.asciidoc,55.10
docs/man/man5/ansible-playbook.5.asciidoc,60.00
library/git,59.46
examples/playbook2.yml,100.00
bin/ans-command,50.84
lib/ansible/scripts.py,50.00
bin/ans-playbook,100.00
bin/ansible-playbook,40.17
lib/ansible/utils.py,48.71
examples/base.yml,100.00
examples/handlers.yml,100.00
library/async_wrapper,78.53
library/async_status,78.80
examples/uptime.py,100.00
test/TestRunner.py,18.23
test/ansible_hosts,75.00
test/metadata.json,100.00
test/sample.j2,80.00
MANIFEST.in,29.29
ansible.spec,54.46
hacking/README,91.67
hacking/env-setup,20.06
docs/comparisons.html,100.00
docs/comparisons.md,100.00
README,100.00
_config.yml,100.00
_layouts/default.html,100.00
_layouts/post.html,100.00
css/screen.css,100.00
css/syntax.css,100.00
index.html,98.93
.gitmodules,38.24
ansible,60.00
build-site.py,94.26
conf.py,95.39
html/.buildinfo,100.00
html/YAMLScripts.html,84.92
html/_modules/index.html,100.00
html/_modules/taboot/output.html,100.00
html/_modules/taboot/runner.html,100.00
html/_modules/taboot/tasks.html,100.00
html/_modules/taboot/tasks/command.html,100.00
html/_modules/taboot/tasks/mod_jk.html,100.00
html/_modules/taboot/tasks/nagios.html,100.00
html/_modules/taboot/tasks/poller.html,100.00
html/_modules/taboot/tasks/puppet.html,100.00
html/_modules/taboot/tasks/rpm.html,100.00
html/_modules/taboot/tasks/service.html,100.00
html/_modules/taboot/tasks/sleep.html,100.00
html/_modules/taboot/tasks/yum.html,100.00
html/_sources/YAMLScripts.txt,90.11
html/_sources/api.txt,57.36
html/_sources/code.txt,100.00
html/_sources/communicate.txt,90.16
html/_sources/development.txt,100.00
html/_sources/examples.txt,59.66
html/_sources/gettingstarted.txt,61.27
html/_sources/index.txt,70.87
html/_sources/install.txt,100.00
html/_sources/man.txt,96.43
html/_sources/modules.txt,82.08
html/_sources/patterns.txt,56.25
html/_sources/playbooks.txt,64.55
html/_sources/tasks.txt,100.00
html/_static/basic.css,97.06
html/_static/default.css,100.00
html/_static/doctools.js,100.00
html/_static/jquery.js,100.00
html/_static/pygments.css,100.00
html/_static/searchtools.js,97.03
html/_static/sidebar.js,100.00
html/_static/underscore.js,100.00
html/api.html,70.41
html/code.html,100.00
html/communicate.html,92.09
html/development.html,100.00
html/examples.html,63.36
html/genindex.html,87.35
html/gettingstarted.html,63.91
html/index.html,60.32
html/install.html,100.00
html/man.html,82.67
html/man/ansible-modules.5.html,85.00
html/man/ansible-playbook.5.html,72.73
html/man/ansible.1.html,62.64
html/modules.html,56.65
html/patterns.html,65.93
html/playbooks.html,52.88
html/py-modindex.html,100.00
html/search.html,87.65
html/searchindex.js,82.14
html/tasks.html,100.00
rst/YAMLScripts.rst,90.22
rst/api.rst,54.95
rst/communicate.rst,90.16
rst/examples.rst,62.44
rst/gettingstarted.rst,65.42
rst/index.rst,70.10
rst/man.rst,56.25
rst/modules.rst,67.22
rst/patterns.rst,76.85
rst/playbooks.rst,77.82
_themes/bootstrap/globaltoc.html,83.33
_themes/bootstrap/layout.html,56.50
_themes/bootstrap/localtoc.html,100.00
_themes/bootstrap/relations.html,100.00
_themes/bootstrap/searchbox.html,100.00
_themes/bootstrap/sourcelink.html,100.00
_themes/bootstrap/static/bootstrap-dropdown.js,100.00
_themes/bootstrap/static/bootstrap-scrollspy.js,100.00
_themes/bootstrap/static/bootstrap-sphinx.css_t,100.00
_themes/bootstrap/static/bootstrap.css,100.00
_themes/bootstrap/theme.conf,100.00
html/_static/bootstrap-dropdown.js,100.00
html/_static/bootstrap-scrollspy.js,100.00
html/_static/bootstrap-sphinx.css,100.00
html/_static/bootstrap.css,100.00
library/yum,74.14
rst/faq.rst,97.84
docs/man/man1/ansible-playbook.1.asciidoc,89.29
html/faq.html,100.00
html/man/ansible-playbook.1.html,100.00
lib/ansible/connection.py,59.07
examples/hosts,43.02
_static/basic.css,94.12
_static/doctools.js,100.00
_static/searchtools.js,95.15
_static/underscore.js,100.00
api.html,99.78
examples.html,99.49
faq.html,99.69
genindex.html,99.44
gettingstarted.html,99.80
man.html,98.31
man/ansible-playbook.1.html,86.25
man/ansible.1.html,73.40
modules.html,99.09
patterns.html,99.80
playbooks.html,99.48
search.html,99.43
searchindex.js,99.53
YAMLSyntax.html,99.56
