File,Top Contributor Share (%)
.gitignore,50.44
LICENSE,100.00
README.md,28.51
mcmcplotlib/__init__.py,100.00
mcmcplotlib/plots.py,81.38
plots.py,100.00
stats.py,100.00
mcmcplotlib/stats.py,100.00
mcmcplotlib/hpd.py,94.62
mcmcplotlib/plot_post.py,88.40
mcmcplotlib/hdi.py,100.00
setup.py,28.50
setupegg.py,100.00
mcmcplotlib/artists.py,100.00
mcmcplotlib/autocorrplot.py,100.00
mcmcplotlib/compareplot.py,100.00
mcmcplotlib/diagnostics.py,100.00
mcmcplotlib/forestplot.py,100.00
mcmcplotlib/kdeplot.py,100.00
mcmcplotlib/posteriorplot.py,100.00
mcmcplotlib/traceplot.py,100.00
mcmcplotlib/utils.py,100.00
mcmcplotlib/plots/__init__.py,75.00
mcmcplotlib/plots/densityplot.py,81.86
mcmcplotlib/plots/kdeplot.py,100.00
mcmcplotlib/stats/__init__.py,80.00
mcmcplotlib/stats/stats.py,85.27
.travis.yml,32.02
mcmcplotlib/tests/__init__.py,100.00
mcmcplotlib/tests/test_plots.py,57.69
mcmcplotlib/tests/test_stats.py,86.40
mcmcplotlib/plots/artists.py,75.00
mcmcplotlib/plots/plot_utils.py,100.00
mcmcplotlib/plots/traceplot.py,63.10
mcmcplotlib/utils/utils.py,72.73
mcmcplotlib/plots/energyplot.py,100.00
mcmcplotlib/plots/posteriorplot.py,100.00
mcmcplotlib/utils/__init__.py,100.00
mcmcplotlib/stats/diagnostics.py,100.00
mcmcplotlib/plots/autocorrplot.py,100.00
mcmcplotlib/plots/forestplot.py,100.00
mcmcplotlib/plots/compareplot.py,100.00
mcmcplotlib/tests/test_diagnostics.py,100.00
arviz/__init__.py,71.98
arviz/plots/__init__.py,23.76
arviz/plots/autocorrplot.py,18.59
arviz/plots/compareplot.py,34.41
arviz/plots/densityplot.py,22.16
arviz/plots/energyplot.py,22.87
arviz/plots/forestplot.py,30.16
arviz/plots/kdeplot.py,36.47
arviz/plots/plot_utils.py,18.67
arviz/plots/posteriorplot.py,27.76
arviz/plots/traceplot.py,24.44
arviz/stats/__init__.py,44.93
arviz/stats/diagnostics.py,61.28
arviz/stats/stats.py,16.69
arviz/tests/__init__.py,100.00
