File,Top Contributor Share (%)
bokeh/__init__.py,44.96
bokeh/functional.py,95.56
bokeh/geoms.py,100.00
bokeh/ggplot.py,94.55
bokeh/pandas_plot_data.py,100.00
ggplot_notes.txt,100.00
notes.txt,100.00
tests/auto-mpg.csv,100.00
tests/auto-mpg.data,100.00
tests/auto-mpg.data2,100.00
tests/one.py,100.00
tests/tools.py,100.00
tests/two.py,100.00
README.md,55.39
src/backbone/backbone-localstorage.js,100.00
src/backbone/backbone.js,100.00
src/d3/d3.v2.js,100.00
src/jquery/css/demo_page.css,100.00
src/jquery/css/demo_table.css,100.00
src/jquery/css/demo_table_jui.css,100.00
src/jquery/css/themes/base/jquery-ui.min.css,100.00
src/jquery/js/jquery-1.6.4.min.js,100.00
src/jquery/js/jquery-ui.min.js,100.00
src/underscore/underscore.js,100.00
vendor/backbone/backbone-localstorage.js,100.00
vendor/backbone/backbone.js,100.00
vendor/d3/d3.v2.js,100.00
vendor/jquery/css/demo_page.css,100.00
vendor/jquery/css/demo_table.css,100.00
vendor/jquery/css/demo_table_jui.css,100.00
vendor/jquery/css/themes/base/jquery-ui.min.css,100.00
vendor/jquery/js/jquery-1.6.4.min.js,100.00
vendor/jquery/js/jquery-ui.min.js,100.00
vendor/underscore/underscore.js,100.00
testdoc.html,100.00
.gitignore,43.70
src/js/bokeh.js,67.09
src/js/custom.js,84.38
test/unittest/hasparent_test.html,100.00
test/unittest/hasparent_test.js,100.00
test/unittest/plot_test.html,54.63
test/unittest/plot_test.js,52.31
lib/custom.js,100.00
lib/js/bokeh.js,77.30
lib/js/custom.js,61.22
lib/test/unittest/hasparent_test.js,100.00
lib/test/unittest/plot_test.js,100.00
src/js/bokeh.coffee,99.42
vendor/buckets/buckets.js,100.00
src/test/unittest/hasproperty_test.coffee,100.00
lib/test/unittest/hasproperty_test.js,98.37
test/unittest/hasproperty_test.html,100.00
vendor/qunit/css/qunit.css,100.00
vendor/qunit/js/qunit.js,100.00
lib/css/bokeh.css,94.09
build.sh,88.89
lib/css/continuum.css,100.00
lib/js/continuum.js,88.03
lib/test/unittest/table_test.js,100.00
src/js/continuum.coffee,95.72
src/test/unittest/table_test.coffee,100.00
test/unittest/table_test.html,100.00
lib/test/unittest/bokeh_test.js,100.00
src/test/unittest/bokeh_test.coffee,100.00
test/unittest/bokeh_test.html,100.00
lib/test/unittest/interactive_context_test.js,98.21
src/test/unittest/interactive_context_test.coffee,97.67
test/adhoc/svg_test.html,100.00
lib/test/unittest/tools_test.js,100.00
src/test/unittest/tools_test.coffee,76.95
test/unittest/tools_test.html,100.00
lib/test/unittest/speed_test.js,96.23
src/test/unittest/speed_test.coffee,100.00
test/unittest/speed_test.html,100.00
lib/test/unittest/datatable_test.js,100.00
src/test/unittest/datatable_test.coffee,95.45
test/unittest/datatable_test.html,90.32
lib/js/coffee_style_guide.js,55.87
src/js/coffee_style_guide.coffee,100.00
lib/test/unittest/plot_test2.js,100.00
src/test/unittest/plot_test2.coffee,100.00
test/unittest/plot_test2.html,100.00
docs/bokeh.html,100.00
docs/coffee_style_guide.html,100.00
docs/continuum.html,100.00
docs/docco.css,100.00
vendor/bootstrap/css/bootstrap.css,50.00
vendor/bootstrap/css/bootstrap.min.css,50.00
vendor/bootstrap/js/bootstrap.js,50.00
vendor/bootstrap/js/bootstrap.min.js,50.00
lib/test/unittest/cdx_context_test.js,100.00
src/test/unittest/cdx_context_test.coffee,100.00
test/unittest/cdx_context.html,100.00
lib/test/unittest/scale_test.js,100.00
src/test/unittest/scale_test.coffee,85.71
test/unittest/scale_test.html,78.57
src/coffee/bokeh.coffee,100.00
src/coffee/coffee_style_guide.coffee,100.00
src/coffee/continuum.coffee,100.00
lib/js/data_model.js,100.00
lib/js/model_base.js,100.00
lib/js/view_base.js,100.00
lib/js/views.js,100.00
src/coffee/data_model.coffee,54.81
src/coffee/model_base.coffee,62.05
src/coffee/view_base.coffee,68.20
src/coffee/views.coffee,73.02
lib/js/plot_views.js,100.00
src/coffee/plot_views.coffee,93.77
lib/js/.gitignore,50.00
lib/test/unittest/svg_to_dataurl.js,50.00
lib/js/svg_to_dataurl.js,50.01
lib/test/unittest/.gitignore,100.00
lib/test/unittest/plot_test_grid.js,100.00
lib/test/unittest/plot_test_simple.js,70.59
src/test/unittest/plot_test_bar.coffee,100.00
test/unittest/plot_test_bar.html,50.00
test/unittest/plot_test_grid.html,100.00
test/unittest/plot_test_simple.html,100.00
lib/test/adhoc/.gitignore,100.00
src/test/adhoc/speed_test.coffee,100.00
test/adhoc/speed_test.html,100.00
docs/data_model.html,100.00
docs/model_base.html,100.00
docs/plot_views.html,100.00
docs/view_base.html,100.00
docs/views.html,100.00
test/unittest/allunit.html,100.00
src/coffee/ui_model.coffee,52.44
src/coffee/ui_view.coffee,100.00
src/coffee/base.coffee,86.92
src/coffee/bokeh_model.coffee,86.03
src/coffee/bokeh_views.coffee,47.86
.gitmodules,50.00
vendor/KineticJS,100.00
vendor/jquery/js/jquery-1.7.2.js,50.00
src/test/unittest/kinetic_test.coffee,100.00
test/unittest/kinetic_test.html,100.00
src/test/unittest/plot_test_simple2.coffee,75.91
src/test/unittest/raw_canvas_test.coffee,51.78
test/unittest/canvas_test.html,100.00
src/coffee/testutils.coffee,80.03
src/test/unittest/date_test.coffee,75.90
src/coffee/ticks.coffee,53.89
src/test/unittest/tick_test.coffee,55.56
test/unittest/tick_test.html,50.00
grunt.js,100.00
tasks/coffee.js,100.00
tasks/misc.js,100.00
docs/Makefile,50.00
docs/conf.py,50.00
docs/index.rst,50.00
src/test/unittest/plot_test_grid2.coffee,59.02
src/coffee/tools.coffee,54.87
vendor/jquery/js/jquery.mousewheel.js,50.00
src/test/unittest/datatable_test2.coffee,100.00
test/unittest/date_test.html,100.00
bokeh/bokeh.py,100.00
bokeh/chaco_gg/functional.py,99.06
bokeh/chaco_gg/ggplot.py,96.17
bokeh/chaco_gg/pandas_plot_data.py,100.00
bokeh/data_graph.py,100.00
bokeh/faketraits.py,100.00
bokeh/plot_expr_graph.py,100.00
src/test/unittest/plot_test_grid.coffee,100.00
src/test/unittest/plot_test_simple.coffee,100.00
build.py,81.13
src/test/unittest/glyph_test.coffee,52.24
docs/base.html,100.00
docs/bokeh_model.html,100.00
docs/bokeh_views.html,100.00
docs/testutils.html,100.00
docs/ticks.html,100.00
docs/tools.html,100.00
docs/ui_model.html,100.00
docs/ui_view.html,100.00
test/unittest/glyph_test.html,50.35
tests/cdx/auto-mpg.csv,100.00
tests/cdx/auto-mpg2.csv,100.00
tests/cdx/bokeh-facets.html,100.00
tests/cdx/facetgrid.py,100.00
tests/cdx/one.py,100.00
tests/cdx/two.py,100.00
tests/facetgrid.py,100.00
tests/cdx/bokeh-facets.md,100.00
tests/chaco_gg/facetgrid.py,100.00
tests/chaco_gg/one.py,100.00
tests/chaco_gg/tools.py,100.00
tests/chaco_gg/two.py,100.00
tests/auto-mpg2.csv,100.00
bokeh/glyphs.py,60.60
bokeh/bbmodel.py,93.15
bokeh/dump.py,100.00
bokeh/mpl.py,51.09
bokeh/protocol.py,37.79
bokeh/server/__init__.py,49.68
bokeh/server/app.py,46.80
bokeh/server/crossdomain.py,63.24
bokeh/server/models/__init__.py,67.21
bokeh/server/models/convenience.py,59.26
bokeh/server/models/docs.py,79.84
bokeh/server/models/user.py,62.37
bokeh/server/redis.conf,99.80
bokeh/server/redisutils.py,100.00
bokeh/server/serverbb.py,27.39
bokeh/server/start.py,46.79
bokeh/server/static/coffee/serverrun.coffee,100.00
bokeh/server/static/coffee/serverutils.coffee,88.05
bokeh/server/static/lib/css/bokeh.css,100.00
bokeh/server/static/lib/css/continuum.css,100.00
bokeh/server/static/lib/custom.js,96.77
bokeh/server/static/lib/js/coffee_style_guide.js,100.00
bokeh/server/static/lib/js/speed_test.js,100.00
bokeh/server/static/lib/test/unittest/bokeh_test.js,100.00
bokeh/server/static/lib/test/unittest/datatable_test.js,100.00
bokeh/server/static/lib/test/unittest/hasparent_test.js,100.00
bokeh/server/static/lib/test/unittest/hasproperty_test.js,100.00
bokeh/server/static/lib/test/unittest/interactive_context_test.js,100.00
bokeh/server/static/lib/test/unittest/plot_test.js,100.00
bokeh/server/static/lib/test/unittest/plot_test2.js,100.00
bokeh/server/static/lib/test/unittest/speed_test.js,100.00
bokeh/server/static/lib/test/unittest/table_test.js,100.00
bokeh/server/static/lib/test/unittest/tools_test.js,100.00
bokeh/server/static/vendor/backbone/backbone-localstorage.js,100.00
bokeh/server/static/vendor/backbone/backbone.js,100.00
bokeh/server/static/vendor/bokehjs,66.67
