File,Top Contributor Share (%)
dedupstore/repository.py,100.00
doc/design.txt,100.00
dedupstore/archiver.py,100.00
dedupstore/store.py,100.00
dedupstore/chunker.py,100.00
dedupstore/chunkifier.py,100.00
dedupstore/_chunkifier.c,100.00
setup.py,33.19
dedupestore/archiver.py,100.00
dedupestore/chunkifier.py,100.00
dedupestore/store.py,100.00
dedupestore/_speedups.c,100.00
dedupestore/__init__.py,100.00
dedupestore/cache.py,100.00
dedupestore/fsstore.py,100.00
dedupestore/sqlitestore.py,100.00
dedupestore/bandstore.py,100.00
.gitignore,25.93
dedupestore/helpers.py,100.00
dedupestore/test.py,100.00
dedupestore/archive.py,100.00
dedupestore/crypt.py,100.00
dedupestore/oaep.py,100.00
dedupestore/crypto.py,100.00
darc/__init__.py,100.00
darc/_speedups.c,100.00
darc/archive.py,100.00
darc/archiver.py,100.00
darc/cache.py,100.00
darc/crypto.py,100.00
darc/helpers.py,100.00
darc/store.py,100.00
darc/test.py,100.00
README,100.00
darc/keychain.py,100.00
darc/remote.py,100.00
darc/lrucache.py,100.00
darc/hashindex.py,100.00
darc/_hashindex.c,100.00
darc/hashindex.h,100.00
darc/hashindex.pyx,100.00
darc/key.py,100.00
docs/Makefile,74.51
docs/conf.py,54.79
docs/index.rst,82.81
docs/make.bat,100.00
fake_pyrex/Pyrex/Distutils/__init__.py,100.00
fake_pyrex/Pyrex/Distutils/build_ext.py,100.00
fake_pyrex/Pyrex/__init__.py,100.00
fake_pyrex/README,100.00
setup.cfg,46.08
scripts/darc,100.00
darc/_chunker.c,100.00
darc/chunker.pyx,100.00
darc/repository.py,100.00
COPYING,100.00
tox.ini,72.15
darc/testsuite/__init__.py,100.00
darc/testsuite/archiver.py,100.00
darc/testsuite/chunker.py,100.00
darc/testsuite/crypto.py,100.00
darc/testsuite/helpers.py,100.00
darc/testsuite/key.py,100.00
darc/testsuite/lrucache.py,100.00
darc/testsuite/repository.py,100.00
darc/testsuite/run.py,100.00
darc/testsuite/xattr.py,100.00
darc/xattr.py,100.00
darc/testsuite/hashindex.py,100.00
docs/definitions.rst,100.00
docs/faq.rst,34.67
docs/generalusage.rst,100.00
docs/global.rst.inc,54.93
docs/installation.rst,39.57
.travis.yml,66.22
LICENSE,50.00
README.rst,65.07
docs/detailedusage.rst,100.00
docs/terminology.rst,100.00
docs/update_usage.sh,83.78
docs/usage.rst,54.41
MANIFEST.in,72.50
attic/__init__.py,100.00
attic/_chunker.c,67.61
attic/_hashindex.c,96.92
attic/archive.py,74.21
attic/archiver.py,56.30
attic/cache.py,86.19
attic/chunker.pyx,51.61
attic/crypto.py,100.00
attic/hashindex.pyx,100.00
attic/helpers.py,64.99
attic/key.py,69.84
attic/lrucache.py,100.00
attic/remote.py,74.20
attic/repository.py,87.29
attic/testsuite/__init__.py,96.83
attic/testsuite/archiver.py,60.17
attic/testsuite/chunker.py,53.12
attic/testsuite/crypto.py,72.22
attic/testsuite/hashindex.py,90.32
attic/testsuite/helpers.py,49.77
attic/testsuite/key.py,71.79
attic/testsuite/lrucache.py,44.44
attic/testsuite/repository.py,98.07
attic/testsuite/run.py,100.00
attic/testsuite/xattr.py,88.00
attic/xattr.py,97.47
scripts/attic,100.00
CHANGES,53.96
attic/fuse.py,96.53
docs/_themes/attic/sidebarlogo.html,100.00
docs/_themes/attic/sidebarusefullinks.html,100.00
docs/_themes/attic/static/attic.css_t,100.00
docs/_themes/attic/theme.conf,100.00
docs/_static/nature.css,100.00
docs/commands.rst,100.00
docs/foreword.rst,89.19
docs/quickstart.rst,31.27
docs/usage/change-passphrase.rst.inc,35.04
docs/usage/create.rst.inc,56.25
docs/usage/delete.rst.inc,70.11
docs/usage/extract.rst.inc,37.43
docs/usage/info.rst.inc,63.68
docs/usage/init.rst.inc,55.34
docs/usage/list.rst.inc,46.76
docs/usage/mount.rst.inc,65.92
docs/usage/prune.rst.inc,55.54
