File,Top Contributor Share (%)
.gitignore,80.99
README.md,84.18
CONTRIBUTORS.txt,65.05
LICENSE.rst,100.00
README.rst,18.69
docs/Makefile,47.66
docs/__init__.py,50.00
docs/conf.py,51.71
docs/deploy.rst,100.00
docs/index.rst,38.40
docs/install.rst,100.00
docs/make.bat,48.59
project_name/manage.py,100.00
project_name/project_name/settings/__init__.py,100.00
project_name/project_name/settings/base.py,100.00
project_name/project_name/settings/local.py,100.00
project_name/project_name/settings/production.py,100.00
project_name/project_name/settings/test.py,100.00
project_name/project_name/urls.py,100.00
project_name/project_name/wsgi.py,100.00
project_name/static/css/bootstrap-responsive.min.css,100.00
project_name/static/css/bootstrap.min.css,100.00
project_name/static/css/project.css,100.00
project_name/static/js/bootstrap.min.js,100.00
project_name/static/js/project.js,100.00
project_name/templates/404.html,100.00
project_name/templates/500.html,100.00
project_name/templates/base.html,100.00
requirements.txt,47.83
requirements/base.txt,100.00
requirements/local.txt,100.00
requirements/production.txt,100.00
requirements/test.txt,100.00
cookiecutter.json,35.66
{{cookiecutter.repo_name}}/config/settings/local.py,25.93
{{cookiecutter.repo_name}}/config/settings/production.py,53.20
{{cookiecutter.repo_name}}/config/urls.py,64.29
{{cookiecutter.repo_name}}/config/wsgi.py,29.55
{{cookiecutter.repo_name}}/manage.py,50.00
{{cookiecutter.repo_name}}/templates/base.html,100.00
{{cookiecutter.repo_name}}/CONTRIBUTORS.txt,100.00
{{cookiecutter.repo_name}}/LICENSE.rst,92.31
{{cookiecutter.repo_name}}/README.rst,20.27
{{cookiecutter.repo_name}}/docs/Makefile,96.35
{{cookiecutter.repo_name}}/docs/conf.py,63.53
{{cookiecutter.repo_name}}/docs/index.rst,60.00
{{cookiecutter.repo_name}}/docs/make.bat,50.00
{{cookiecutter.repo_name}}/requirements.txt,27.27
{{cookiecutter.repo_name}}/requirements/base.txt,32.64
{{cookiecutter.repo_name}}/requirements/local.txt,20.00
{{cookiecutter.repo_name}}/requirements/production.txt,25.00
{{cookiecutter.repo_name}}/requirements/test.txt,29.55
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/config/__init__.py,72.22
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/config/settings/base.py,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/config/urls.py,93.33
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/config/wsgi.py,91.30
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/manage.py,50.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/static/css/project.css,48.48
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/404.html,62.50
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/500.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/base.html,31.98
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/config/settings.py,92.10
{{cookiecutter.repo_name}}/users/admin.py,100.00
{{cookiecutter.repo_name}}/users/forms.py,100.00
{{cookiecutter.repo_name}}/users/migrations/0001_initial.py,100.00
{{cookiecutter.repo_name}}/users/models.py,100.00
{{cookiecutter.repo_name}}/users/urls.py,100.00
{{cookiecutter.repo_name}}/users/views.py,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/base.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email.html,96.83
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email/email_confirmation_message.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email/email_confirmation_signup_message.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email/email_confirmation_signup_subject.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email/email_confirmation_subject.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email/password_reset_key_message.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email/password_reset_key_subject.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email_confirm.html,93.33
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/email_confirmed.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/login.html,88.14
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/logout.html,96.77
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/cannot_delete_primary_email.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/email_confirmation_sent.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/email_confirmed.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/email_deleted.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/logged_in.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/logged_out.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/password_changed.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/password_set.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/primary_email_set.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/messages/unverified_primary_email.txt,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_change.html,93.33
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_delete.html,90.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_delete_done.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_reset.html,87.76
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_reset_done.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_reset_from_key.html,93.18
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_reset_from_key_done.html,94.74
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/password_set.html,88.46
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/signup.html,94.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/signup_closed.html,95.65
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/snippets/already_logged_in.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/verification_sent.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/account/verified_email_required.html,96.77
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/pages/about.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/pages/home.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/users/user_detail.html,96.83
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/users/user_form.html,95.45
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/users/user_list.html,85.45
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/__init__.py,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/admin.py,60.61
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/forms.py,50.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/migrations/0001_initial.py,68.42
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/models.py,77.27
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/urls.py,52.63
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/views.py,50.00
{{cookiecutter.repo_name}}/Procfile,50.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/avatar/add.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/avatar/avatar_tag.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/avatar/base.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/avatar/change.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/templates/avatar/confirm_delete.html,100.00
AUTHORS.rst,66.67
{{cookiecutter.repo_name}}/{{cookiecutter.repo_name}}/users/migrations/0002_set_site_domain_and_name.py,73.00
{{cookiecutter.repo_name}}/.gitignore,34.09
.gitattributes,100.00
{{cookiecutter.repo_name}}/.gitattributes,100.00
{{cookiecutter.repo_name}}/setup.py,67.86
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/config/settings.py,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/manage.py,50.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/static/css/project.css,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/email.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/email_confirm.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/email_confirmed.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/login.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/logout.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/verification_sent.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/account/verified_email_required.html,100.00
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/templates/base.html,83.33
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/__init__.py,100.00
{{cookiecutter.repo_name}}/Gruntfile.js,53.81
{{cookiecutter.repo_name}}/package.json,64.29
{{cookiecutter.repo_name}}/{{cookiecutter.project_name}}/static/scss/project.scss,100.00
.editorconfig,76.67
{{cookiecutter.repo_name}}/.editorconfig,96.77
