Field,Value
Commits Overview,
Total Commits,8184
Total Unique Authors,461
,
Top 10 Contributors,
Author,Commits
pyup.io bot,1499
github-actions,1192
Bruno Alla,1118
pyup-bot,852
browniebroke,744
Daniel Greenfeld,636
Daniel Roy Greenfeld,447
Audrey Roy Greenfeld,328
dependabot[bot],243
Nikita P. Shupeyko,211
,
Communication Events,Total: 598
"Author1,Author2",Events
"pyup.io bot,pyup-bot",40
"pyup-bot,pyup.io bot",37
"pyup.io bot,github-actions",26
"Audrey Roy Greenfeld,Daniel Roy Greenfeld",15
"Nikita Shupeyko,Nikita P. Shupeyko",14
"Daniel Roy Greenfeld,Audrey Roy Greenfeld",13
"Bruno Alla,browniebroke",13
"Bruno Alla,pyup.io bot",12
"Andrew Chen Wang,Bruno Alla",12
"Jelmer,Bruno Alla",11
"browniebroke,Bruno Alla",11
"Bruno Alla,pyup-bot",11
"pyup-bot,Bruno Alla",10
"Bruno Alla,github-actions",10
"github-actions,pyup.io bot",7
"github-actions,Bruno Alla",7
"pyup.io bot,Bruno Alla",6
"dependabot[bot],Bruno Alla",5
"Fabio C. Barrioneuvo da Luz,Fábio C. Barrionuevo da Luz",5
"Daniel Roy Greenfeld,Fabio C. Barrioneuvo da Luz",5
"Fábio C. Barrionuevo da Luz,Fabio C. Barrioneuvo da Luz",5
"Bruno Alla,dependabot[bot]",5
"Audrey Roy Greenfeld,Jay",4
"Fabio C. Barrioneuvo da Luz,Daniel Roy Greenfeld",4
"luzfcb,browniebroke",4
"foarsitter,browniebroke",4
"Bruno Alla,Tano Abeleyra",4
"Jelmer Draaijer,Shayan Karimi",4
"browniebroke,pyup.io bot",3
"github-actions[bot],Bruno Alla",3
"Matthew Foster Walsh,mpsantos",3
"Jelmer Draaijer,github-actions",3
"Jelmer Draaijer,jelmert",3
"Nikita Shupeyko,Wan Liuyang",3
"Jelmer,github-actions",3
"Leonardo Jimenez,Leonardo",3
"Pilhwan Kim,Bruno Alla",3
"Daniel Roy Greenfeld,Fábio C. Barrionuevo da Luz",3
"Daniel Roy Greenfeld,Amjith Ramanujam",3
"pyup.io bot,Nikita Shupeyko",3
"pyup.io bot,Jelmer Draaijer",3
"Andrew-Chen-Wang,Andrew Chen Wang",3
"pyup-bot,browniebroke",2
"Delio Castillo,Daniel Roy Greenfeld",2
"Daniel Roy Greenfeld,Philip Deuchler",2
"Jannis Gebauer,pyup.io bot",2
"Jannis Gebauer,Fabio C. Barrioneuvo da Luz",2
"Jannis Gebauer,Daniel Roy Greenfeld",2
"Fabio C. Barrioneuvo da Luz,Jannis Gebauer",2
"Fabio C. Barrioneuvo da Luz,pyup-bot",2
"Fabio C. Barrionuevo da Luz,Fabio C. Barrioneuvo da Luz",2
"Daniel Greenfeld,Fabio C. Barrionuevo da Luz",2
"Daniel Greenfeld,jmunro",2
"Daniel Roy Greenfeld,Jannis Gebauer",2
"Audrey Roy Greenfeld,Jannis Gebauer",2
"Bruno Alla,Andrew-Chen-Wang",2
"browniebroke,Jelmer Draaijer",2
"browniebroke,pyup-bot",2
"github-actions,Jelmer",2
"dependabot[bot],github-actions[bot]",2
"github-actions,Jelmer Draaijer",2
"github-actions[bot],pyup.io bot",2
"Arnav Choudhury,browniebroke",2
"Audrey Roy Greenfeld,Fábio C. Barrionuevo da Luz",2
"Bruno Alla,Arnav Choudhury",2
"Nikita P. Shupeyko,pyup.io bot",2
"Tom Atkins,Burhan Khalid",2
"Sebastian Reyes Espinosa,Audrey Roy Greenfeld",2
