File,Top Contributor Share (%)
.gitignore,100.00
LICENSE,100.00
README.md,88.01
CsCore/.vscode/launch.json,100.00
CsCore/.vscode/settings.json,100.00
CsCore/.vscode/solution-explorer/class.cs-template,100.00
CsCore/.vscode/solution-explorer/enum.cs-template,100.00
CsCore/.vscode/solution-explorer/interface.cs-template,100.00
CsCore/.vscode/solution-explorer/template-list.json,100.00
CsCore/.vscode/solution-explorer/template-parameters.js,100.00
CsCore/.vscode/tasks.json,100.00
CsCore/PlainNetClassLib/.gitignore,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/CsCore.asmdef,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/CsCore.asmdef.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/collections.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/collections/IDictionaryExtensions.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/collections/IDictionaryExtensions.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/collections/IEnumerableExtensions.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/collections/IEnumerableExtensions.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/eventbus.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/eventbus/EventBus.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/eventbus/EventBus.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/eventbus/IEventBus.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/eventbus/IEventBus.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection/Injector.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection/Injector.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection/InjectorExtensionsForSingletons.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection/InjectorExtensionsForSingletons.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection/IoC.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/injection/IoC.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/json.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/json/JsonReader.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/json/JsonReader.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/json/JsonReaderAssertionExtensions.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/json/JsonWriter.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/json/JsonWriter.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/AssertV2.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/AssertV2.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/ILog.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/ILog.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/Log.cs,99.25
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/Log.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/LogViaConsole.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/com/csutil/logging/LogViaConsole.cs.meta,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/libs/JsonDotNet/AOT/Newtonsoft.Json.XML,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/libs/JsonDotNet/JsonNetReader.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/libs/JsonDotNet/JsonNetSettings.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/libs/JsonDotNet/JsonNetWriter.cs,100.00
CsCore/PlainNetClassLib/src/Plugins/CsCore/libs/JsonDotNet/Standalone/Newtonsoft.Json.XML,100.00
CsCore/PlainNetClassLib/src/createLinkedFolders.bat,100.00
CsCore/PlainNetClassLib/src/createLinks.sh,100.00
CsCore/UnityTests/.gitignore,100.00
CsCore/UnityTests/Assets/Plugins.meta,100.00
CsCore/UnityTests/Assets/Plugins/.gitignore,100.00
CsCore/UnityTests/Assets/Plugins/CsCore.meta,100.00
CsCore/UnityTests/Assets/Scenes.meta,100.00
CsCore/UnityTests/Assets/Scenes/SampleScene.unity,100.00
CsCore/UnityTests/Assets/Scenes/SampleScene.unity.meta,100.00
CsCore/UnityTests/Assets/Tests.meta,100.00
CsCore/UnityTests/Assets/Tests/Tests.asmdef,100.00
CsCore/UnityTests/Assets/Tests/Tests.asmdef.meta,100.00
CsCore/UnityTests/Assets/Tests/UTestsInjection.cs,100.00
CsCore/UnityTests/Assets/Tests/UTestsInjection.cs.meta,100.00
CsCore/UnityTests/Logs/Packages-Update.log,100.00
CsCore/UnityTests/Packages/manifest.json,100.00
CsCore/UnityTests/ProjectSettings/AudioManager.asset,100.00
CsCore/UnityTests/ProjectSettings/ClusterInputManager.asset,100.00
CsCore/UnityTests/ProjectSettings/DynamicsManager.asset,100.00
CsCore/UnityTests/ProjectSettings/EditorBuildSettings.asset,100.00
CsCore/UnityTests/ProjectSettings/EditorSettings.asset,100.00
CsCore/UnityTests/ProjectSettings/GraphicsSettings.asset,100.00
CsCore/UnityTests/ProjectSettings/InputManager.asset,100.00
CsCore/UnityTests/ProjectSettings/NavMeshAreas.asset,100.00
CsCore/UnityTests/ProjectSettings/NetworkManager.asset,100.00
CsCore/UnityTests/ProjectSettings/Physics2DSettings.asset,100.00
CsCore/UnityTests/ProjectSettings/PresetManager.asset,100.00
CsCore/UnityTests/ProjectSettings/ProjectSettings.asset,100.00
CsCore/UnityTests/ProjectSettings/ProjectVersion.txt,100.00
CsCore/UnityTests/ProjectSettings/QualitySettings.asset,100.00
CsCore/UnityTests/ProjectSettings/TagManager.asset,100.00
CsCore/UnityTests/ProjectSettings/TimeManager.asset,100.00
CsCore/UnityTests/ProjectSettings/UnityConnectSettings.asset,100.00
CsCore/UnityTests/ProjectSettings/VFXManager.asset,100.00
CsCore/omnisharp.json,100.00
CsCore/xUnitTests/.gitignore,100.00
CsCore/xUnitTests/src/com/csutil/tests/EventBusTests.cs,100.00
CsCore/xUnitTests/src/com/csutil/tests/InjectionTests.cs,100.00
CsCore/xUnitTests/src/com/csutil/tests/JsonTests.cs,100.00
