File,Top Contributor Share (%)
README.md,28.95
.gitignore,43.03
.jshintrc,49.67
LICENSE.txt,100.00
doc/asset/css/bootstrap-responsive.css,100.00
doc/asset/css/bootstrap.css,100.00
doc/asset/css/codemirror.css,68.25
doc/asset/css/echartsHome.css,93.65
doc/asset/css/monokai.css,73.68
doc/asset/js/application.js,100.00
doc/asset/js/bootstrap-affix.js,100.00
doc/asset/js/bootstrap-alert.js,100.00
doc/asset/js/bootstrap-button.js,100.00
doc/asset/js/bootstrap-carousel.js,100.00
doc/asset/js/bootstrap-collapse.js,100.00
doc/asset/js/bootstrap-dropdown.js,100.00
doc/asset/js/bootstrap-modal.js,100.00
doc/asset/js/bootstrap-popover.js,100.00
doc/asset/js/bootstrap-scrollspy.js,100.00
doc/asset/js/bootstrap-tab.js,100.00
doc/asset/js/bootstrap-tooltip.js,100.00
doc/asset/js/bootstrap-transition.js,100.00
doc/asset/js/bootstrap-typeahead.js,100.00
doc/asset/js/bootstrap.js,100.00
doc/asset/js/bootstrap.min.js,100.00
doc/asset/js/codemirror.js,51.75
doc/asset/js/echartsConfig.js,99.79
doc/asset/js/echartsDoc.js,100.00
doc/asset/js/echartsExample.js,77.62
doc/asset/js/esl/css.js,100.00
doc/asset/js/esl/esl.js,55.40
doc/asset/js/esl/js.js,100.00
doc/asset/js/html5shiv.js,100.00
doc/asset/js/javascript.js,51.76
doc/asset/js/jquery.js,100.00
doc/doc.html,77.61
doc/example.html,94.97
doc/example/axis.html,100.00
doc/example/bar.html,83.17
doc/example/bar1.html,86.50
doc/example/bar2.html,88.75
doc/example/bar3.html,82.76
doc/example/bar4.html,87.08
doc/example/bar5.html,86.57
doc/example/dataZoom.html,84.91
doc/example/dataZoom1.html,85.11
doc/example/demo.html,92.91
doc/example/event.html,87.59
doc/example/lasagna.html,86.00
doc/example/legend.html,86.96
doc/example/line.html,90.92
doc/example/line1.html,86.54
doc/example/line2.html,86.73
doc/example/line3.html,83.87
doc/example/line4.html,87.76
doc/example/line5.html,83.57
doc/example/loading.html,89.71
doc/example/mix1.html,84.09
doc/example/mix2.html,88.36
doc/example/pie.html,85.15
doc/example/pie1.html,85.37
doc/example/pie2.html,84.38
doc/example/pie3.html,87.56
doc/example/tooltip.html,86.96
index.html,95.94
package.json,24.10
src/chart.js,100.00
src/chart/bar.js,87.78
src/chart/calculableBase.js,100.00
src/chart/island.js,96.64
src/chart/line.js,89.95
src/chart/pie.js,87.86
src/component.js,100.00
src/component/axis.js,46.78
src/component/base.js,96.00
src/component/categoryAxis.js,91.93
src/component/dataView.js,96.42
src/component/dataZoom.js,61.07
src/component/grid.js,76.95
src/component/legend.js,90.77
src/component/toolbox.js,94.14
src/component/tooltip.js,65.58
src/component/valueAxis.js,91.18
src/config.js,75.27
src/echarts.js,30.04
src/util/ecData.js,96.18
src/util/icon.js,100.00
doc/example/map1.html,86.67
src/chart/map.js,84.86
src/util/mapData/china.js,100.00
src/component/dataRange.js,84.93
doc/example/dataRange.html,84.95
doc/example/map2.html,80.21
doc/example/mix3.html,84.12
doc/example/k1.html,93.87
src/chart/k.js,91.21
src/util/candle.js,100.00
doc/example/scatter1.html,88.68
doc/example/scatter2.html,87.23
doc/example/scatter3.html,86.05
src/chart/scatter.js,89.58
src/util/shape/candle.js,100.00
src/util/shape/icon.js,100.00
src/util/shape/symbol.js,97.20
doc/example/k.html,93.22
doc/example/map.html,88.05
doc/example/scatter.html,85.89
doc/example/force.html,56.61
src/chart/force.js,71.91
doc/example/dataRange1.html,84.30
doc/example/mix4.html,86.69
doc/example/webkit-dep-pre.js,88.17
doc/example/webkit-dep.html,54.50
doc/example/webkit-dep.js,99.60
doc/example/force1.html,64.19
doc/changelog.html,81.87
doc/slide/css/echarts-slide.css,100.00
doc/slide/css/print/paper.css,100.00
doc/slide/css/print/pdf.css,100.00
doc/slide/css/reveal.css,100.00
doc/slide/css/reveal.min.css,100.00
doc/slide/css/theme/README.md,100.00
doc/slide/css/theme/beige.css,100.00
doc/slide/css/theme/default.css,100.00
doc/slide/css/theme/moon.css,100.00
doc/slide/css/theme/night.css,100.00
doc/slide/css/theme/serif.css,100.00
doc/slide/css/theme/simple.css,100.00
doc/slide/css/theme/sky.css,100.00
doc/slide/css/theme/solarized.css,100.00
doc/slide/css/theme/source/beige.scss,100.00
doc/slide/css/theme/source/default.scss,100.00
doc/slide/css/theme/source/moon.scss,100.00
doc/slide/css/theme/source/night.scss,100.00
doc/slide/css/theme/source/serif.scss,100.00
doc/slide/css/theme/source/simple.scss,100.00
doc/slide/css/theme/source/sky.scss,100.00
doc/slide/css/theme/source/solarized.scss,100.00
doc/slide/css/theme/template/mixins.scss,100.00
doc/slide/css/theme/template/settings.scss,100.00
doc/slide/css/theme/template/theme.scss,100.00
doc/slide/js/reveal.js,100.00
doc/slide/js/reveal.min.js,100.00
doc/slide/js/whyEcharts.js,98.95
doc/slide/lib/css/zenburn.css,100.00
doc/slide/lib/font/league_gothic-webfont.svg,100.00
doc/slide/lib/font/league_gothic_license,100.00
doc/slide/lib/js/classList.js,100.00
doc/slide/lib/js/head.min.js,100.00
doc/slide/lib/js/html5shiv.js,100.00
doc/slide/plugin/highlight/highlight.js,100.00
doc/slide/plugin/markdown/example.html,100.00
doc/slide/plugin/markdown/example.md,100.00
doc/slide/plugin/markdown/markdown.js,100.00
doc/slide/plugin/markdown/marked.js,100.00
doc/slide/plugin/multiplex/client.js,100.00
doc/slide/plugin/multiplex/index.js,100.00
doc/slide/plugin/multiplex/master.js,100.00
doc/slide/plugin/notes-server/client.js,100.00
doc/slide/plugin/notes-server/index.js,100.00
doc/slide/plugin/notes-server/notes.html,100.00
doc/slide/plugin/notes/notes.html,100.00
doc/slide/plugin/notes/notes.js,100.00
doc/slide/plugin/postmessage/example.html,100.00
doc/slide/plugin/postmessage/postmessage.js,100.00
doc/slide/plugin/print-pdf/print-pdf.js,100.00
doc/slide/plugin/remotes/remotes.js,100.00
doc/slide/plugin/search/search.js,100.00
doc/slide/plugin/zoom-js/zoom.js,100.00
doc/slide/whyEcharts.html,100.00
src/component/title.js,44.66
build/build.js,38.19
build/echarts-original.js,100.00
build/echarts.js,100.00
build/r.js,50.00
doc/example/www/index.html,100.00
doc/example/www/js/echarts-original.js,100.00
doc/example/www/js/echarts.js,74.07
doc/example/www/js/esl.js,100.00
doc/example/map3.html,92.17
doc/example/mix5.html,92.45
src/util/mapData/china/0.js,100.00
src/util/mapData/china/11.js,100.00
src/util/mapData/china/12.js,100.00
src/util/mapData/china/13.js,100.00
src/util/mapData/china/14.js,100.00
src/util/mapData/china/15.js,100.00
src/util/mapData/china/21.js,100.00
src/util/mapData/china/22.js,100.00
src/util/mapData/china/23.js,100.00
src/util/mapData/china/31.js,100.00
src/util/mapData/china/32.js,100.00
src/util/mapData/china/33.js,100.00
src/util/mapData/china/34.js,100.00
src/util/mapData/china/35.js,100.00
src/util/mapData/china/36.js,100.00
src/util/mapData/china/37.js,100.00
src/util/mapData/china/41.js,100.00
src/util/mapData/china/42.js,100.00
src/util/mapData/china/43.js,100.00
src/util/mapData/china/44.js,100.00
src/util/mapData/china/45.js,100.00
src/util/mapData/china/46.js,100.00
src/util/mapData/china/50.js,100.00
src/util/mapData/china/51.js,100.00
src/util/mapData/china/52.js,100.00
src/util/mapData/china/53.js,100.00
src/util/mapData/china/54.js,100.00
src/util/mapData/china/61.js,100.00
src/util/mapData/china/62.js,100.00
src/util/mapData/china/63.js,100.00
src/util/mapData/china/64.js,100.00
src/util/mapData/china/65.js,100.00
src/util/mapData/china/71.js,100.00
src/util/mapData/china/81.js,100.00
src/util/mapData/china/82.js,100.00
src/util/mapData/params.js,93.99
src/util/mapData/textFixed.js,100.00
build/echarts-map.js,100.00
build/echarts-original-map.js,100.00
doc/asset/css/flexslider.css,100.00
doc/asset/js/jquery.flexslider.js,100.00
doc/example/www/js/echarts-map.js,100.00
doc/example/www/js/echarts-original-map.js,100.00
doc/asset/js/jquery-1.10.2.min.map,100.00
doc/slide/js/echarts.js,100.00
src/util/mapData/china/0_unicode.js,100.00
src/util/mapData/china/11_unicode.js,100.00
src/util/mapData/china/12_unicode.js,100.00
src/util/mapData/china/13_unicode.js,100.00
src/util/mapData/china/14_unicode.js,100.00
src/util/mapData/china/15_unicode.js,100.00
src/util/mapData/china/21_unicode.js,100.00
src/util/mapData/china/22_unicode.js,100.00
src/util/mapData/china/23_unicode.js,100.00
src/util/mapData/china/31_unicode.js,100.00
src/util/mapData/china/32_unicode.js,100.00
src/util/mapData/china/33_unicode.js,100.00
src/util/mapData/china/34_unicode.js,100.00
src/util/mapData/china/35_unicode.js,100.00
src/util/mapData/china/36_unicode.js,100.00
src/util/mapData/china/37_unicode.js,100.00
src/util/mapData/china/41_unicode.js,100.00
src/util/mapData/china/42_unicode.js,100.00
src/util/mapData/china/43_unicode.js,100.00
src/util/mapData/china/44_unicode.js,100.00
src/util/mapData/china/45_unicode.js,100.00
src/util/mapData/china/46_unicode.js,100.00
src/util/mapData/china/50_unicode.js,100.00
src/util/mapData/china/51_unicode.js,100.00
src/util/mapData/china/52_unicode.js,100.00
src/util/mapData/china/53_unicode.js,100.00
src/util/mapData/china/54_unicode.js,100.00
src/util/mapData/china/61_unicode.js,100.00
src/util/mapData/china/62_unicode.js,100.00
src/util/mapData/china/63_unicode.js,100.00
src/util/mapData/china/64_unicode.js,100.00
src/util/mapData/china/65_unicode.js,100.00
src/util/mapData/china/71_unicode.js,100.00
src/util/mapData/china/81_unicode.js,100.00
src/util/mapData/china/82_unicode.js,100.00
src/util/mapData/rawData/encode.js,60.11
doc/example/dynamic.html,100.00
doc/example/dynamicLineBar.html,70.74
doc/example/dynamicPieRadar.html,84.39
doc/example/dynamicScatterK.html,87.89
doc/example/radar.html,66.23
doc/example/radar1.html,78.79
doc/example/radar2.html,87.67
src/chart/radar.js,92.25
src/component/polar.js,87.29
src/util/coordinates.js,100.00
src/util/ndarray.js,97.92
.jshintignore,100.00
doc/example/radar3.html,80.71
build/build-map.js,100.00
build/build-original-map.js,100.00
build/build-original.js,100.00
build/build.bat,55.56
doc/asset/js/dataDancing.js,100.00
doc/example/chord.html,66.93
src/chart/chord.js,83.06
src/util/kwargs.js,89.47
src/util/shape/chord.js,90.55
src/util/shape/halfSmoothPolygon.js,100.00
doc/example/wormhole.html,85.29
doc/example/middle-east-pre.js,100.00
doc/example/middle-east.js,100.00
doc/example/chord1.html,74.10
doc/example/chord2.html,88.79
doc/example/pie4.html,85.29
doc/example/pie5.html,88.58
build/build.sh,57.58
doc/example/bar6.html,86.00
doc/example/mix6.html,87.08
src/util/accMath.js,83.82
doc/example/bar10.html,85.87
doc/example/bar7.html,84.38
doc/example/bar8.html,84.51
doc/example/bar9.html,87.27
doc/example/pie6.html,86.59
build/config-tpl.js,91.36
build/wrap/almond.js,100.00
build/wrap/end.js,87.27
build/wrap/start.js,100.00
src/util/mapData/geoJson/world.geo.js,62.50
src/util/mapData/rawData/geoJson/an_hui.geo.json,100.00
src/util/mapData/rawData/geoJson/ao_men.geo.json,100.00
src/util/mapData/rawData/geoJson/bei_jing.geo.json,100.00
src/util/mapData/rawData/geoJson/china.city.json,100.00
src/util/mapData/rawData/geoJson/china.geo.json,100.00
src/util/mapData/rawData/geoJson/chong_qing.geo.json,100.00
src/util/mapData/rawData/geoJson/fu_jian.geo.json,100.00
src/util/mapData/rawData/geoJson/gan_su.geo.json,100.00
src/util/mapData/rawData/geoJson/guang_dong.geo.json,100.00
src/util/mapData/rawData/geoJson/guang_xi.geo.json,100.00
src/util/mapData/rawData/geoJson/gui_zhou.geo.json,100.00
src/util/mapData/rawData/geoJson/hai_nan.geo.json,100.00
src/util/mapData/rawData/geoJson/he_bei.geo.json,100.00
src/util/mapData/rawData/geoJson/he_nan.geo.json,100.00
src/util/mapData/rawData/geoJson/hei_long_jiang.geo.json,100.00
src/util/mapData/rawData/geoJson/hu_bei.geo.json,100.00
src/util/mapData/rawData/geoJson/hu_nan.geo.json,100.00
src/util/mapData/rawData/geoJson/ji_lin.geo.json,100.00
src/util/mapData/rawData/geoJson/jiang_su.geo.json,100.00
src/util/mapData/rawData/geoJson/jiang_xi.geo.json,100.00
src/util/mapData/rawData/geoJson/liao_ning.geo.json,100.00
src/util/mapData/rawData/geoJson/nei_meng_gu.geo.json,100.00
src/util/mapData/rawData/geoJson/ning_xia.geo.json,100.00
src/util/mapData/rawData/geoJson/qing_hai.geo.json,100.00
src/util/mapData/rawData/geoJson/shan_dong.geo.json,100.00
src/util/mapData/rawData/geoJson/shan_xi_1.geo.json,100.00
src/util/mapData/rawData/geoJson/shan_xi_2.geo.json,100.00
src/util/mapData/rawData/geoJson/shang_hai.geo.json,100.00
src/util/mapData/rawData/geoJson/si_chuan.geo.json,100.00
src/util/mapData/rawData/geoJson/tai_wan.geo.json,100.00
src/util/mapData/rawData/geoJson/tian_jin.geo.json,100.00
src/util/mapData/rawData/geoJson/world.geo.json,100.00
src/util/mapData/rawData/geoJson/xi_zang.geo.json,100.00
src/util/mapData/rawData/geoJson/xiang_gang.geo.json,100.00
src/util/mapData/rawData/geoJson/xin_jiang.geo.json,100.00
src/util/mapData/rawData/geoJson/yun_nan.geo.json,100.00
src/util/mapData/rawData/geoJson/zhe_jiang.geo.json,100.00
build/echarts-plain-map.js,53.57
build/echarts-plain-original-map.js,67.49
build/echarts-plain-original.js,66.67
build/echarts-plain.js,53.57
src/util/mapData/geoJson/an_hui.geo.js,100.00
src/util/mapData/geoJson/ao_men.geo.js,100.00
src/util/mapData/geoJson/bei_jing.geo.js,100.00
src/util/mapData/geoJson/china.geo.js,100.00
src/util/mapData/geoJson/chong_qing.geo.js,100.00
src/util/mapData/geoJson/fu_jian.geo.js,100.00
src/util/mapData/geoJson/gan_su.geo.js,100.00
src/util/mapData/geoJson/guang_dong.geo.js,100.00
src/util/mapData/geoJson/guang_xi.geo.js,100.00
src/util/mapData/geoJson/gui_zhou.geo.js,100.00
src/util/mapData/geoJson/hai_nan.geo.js,100.00
src/util/mapData/geoJson/he_bei.geo.js,100.00
src/util/mapData/geoJson/he_nan.geo.js,100.00
src/util/mapData/geoJson/hei_long_jiang.geo.js,100.00
src/util/mapData/geoJson/hu_bei.geo.js,100.00
src/util/mapData/geoJson/hu_nan.geo.js,100.00
src/util/mapData/geoJson/ji_lin.geo.js,100.00
src/util/mapData/geoJson/jiang_su.geo.js,100.00
src/util/mapData/geoJson/jiang_xi.geo.js,100.00
src/util/mapData/geoJson/liao_ning.geo.js,100.00
src/util/mapData/geoJson/nei_meng_gu.geo.js,100.00
src/util/mapData/geoJson/ning_xia.geo.js,100.00
src/util/mapData/geoJson/qing_hai.geo.js,100.00
src/util/mapData/geoJson/shan_dong.geo.js,100.00
src/util/mapData/geoJson/shan_xi_1.geo.js,100.00
src/util/mapData/geoJson/shan_xi_2.geo.js,100.00
src/util/mapData/geoJson/shang_hai.geo.js,100.00
src/util/mapData/geoJson/si_chuan.geo.js,100.00
src/util/mapData/geoJson/tai_wan.geo.js,100.00
src/util/mapData/geoJson/tian_jin.geo.js,100.00
src/util/mapData/geoJson/xi_zang.geo.js,100.00
src/util/mapData/geoJson/xiang_gang.geo.js,100.00
src/util/mapData/geoJson/xin_jiang.geo.js,100.00
src/util/mapData/geoJson/yun_nan.geo.js,100.00
src/util/mapData/geoJson/zhe_jiang.geo.js,100.00
doc/example/map4.html,95.49
src/util/mapData/geoCoord.js,100.00
src/util/mapData/geoJson/china.city.js,100.00
src/util/projection/albers.js,100.00
src/util/projection/mercator.js,100.00
src/util/projection/normal.js,92.68
doc/example/map5.html,89.62
doc/example/HK.geo.json,100.00
doc/example/map6.html,86.08
doc/example/uk.geo.json,100.00
doc/example/geoJson/USA.geo.json,100.00
doc/example/map7.html,87.74
doc/example/map8.html,86.99
doc/example/www2/index.html,100.00
doc/example/www2/js/echarts-plain-map.js,100.00
doc/example/www2/js/echarts-plain.js,100.00
doc/example/topic/10-me-china/index.html,100.00
doc/example/topic/10-me-china/js/data-a-china.js,100.00
doc/example/topic/10-me-china/js/data-china.js,100.00
doc/example/topic/10-me-china/js/data-formatter.js,100.00
doc/example/topic/10-me-china/js/djws.js,100.00
doc/example/topic/10-me-china/js/option0.js,100.00
doc/example/topic/10-me-china/js/option1.js,97.10
doc/example/topic/10-me-china/js/option2.js,100.00
doc/example/topic/10-me-china/js/option3.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/application.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-affix.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-alert.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-button.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-carousel.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-collapse.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-dropdown.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-modal.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-popover.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-scrollspy.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-tab.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-tooltip.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-transition.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap-typeahead.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/bootstrap.min.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/echarts-map.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/esl.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/html5shiv.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/javascript.js,100.00
doc/example/topic/10-me-china/js/新建文件夹/jquery-1.10.2.min.map,100.00
doc/example/topic/10-me-china/js/新建文件夹/jquery.js,100.00
doc/example/topic/24-population-china/index.html,100.00
doc/example/topic/24-population-china/js/data-people.js,100.00
doc/example/mix7.html,87.04
doc/example/map9.html,95.05
test/allchart/all.html,99.65
test/allchart/all.js,98.51
build/wrap/end-map.js,93.94
doc/example/map10.html,92.72
src/util/shape/markLine.js,100.00
doc/example/topic/aqi-china/index.html,100.00
doc/example/topic/aqi-china/js/china_city_geo.js,100.00
doc/example/topic/aqi-china/js/data.js,100.00
doc/example/topic/aqi-china/js/main.js,100.00
doc/example/topic/aqi-china/js/option0.js,100.00
doc/example/topic/aqi-china/js/option1.js,100.00
doc/example/topic/aqi-china/js/option2.js,100.00
doc/example/topic/aqi-china/js/option3.js,99.12
.npmignore,21.21
doc/example/force2.html,82.01
doc/example/force3.html,84.10
doc/asset/js/echartsThemeDesigner.js,100.00
doc/example/themeDesigner.html,98.42
src/theme/default.js,100.00
doc/example/map11.html,95.25
doc/example/mix8.html,94.60
doc/example/toolbox.html,83.38
src/util/ecQuery.js,90.32
src/util/number.js,46.48
doc/example/map12.html,91.46
doc/asset/js/echartsTheme.js,98.29
doc/example/theme.html,86.01
