File,Top Contributor Share (%)
.gitignore,96.00
LICENSE.md,100.00
Makefile,93.98
README.md,97.48
npm/esbuild-darwin-64/package.json,99.25
npm/esbuild-linux-64/package.json,100.00
npm/esbuild-wasm/bin/esbuild,91.38
npm/esbuild-wasm/package.json,97.60
npm/esbuild-windows-64/bin/esbuild,100.00
npm/esbuild-windows-64/package.json,100.00
package-lock.json,100.00
package.json,100.00
scripts/test262.js,100.00
src/esbuild/ast/ast.go,100.00
src/esbuild/bundler/bundler.go,100.00
src/esbuild/bundler/renamer.go,100.00
src/esbuild/lexer/lexer.go,100.00
src/esbuild/lexer/lexer_test.go,100.00
src/esbuild/lexer/tables.go,100.00
src/esbuild/logging/logging.go,100.00
src/esbuild/main/main.go,100.00
src/esbuild/parser/parser.go,100.00
src/esbuild/parser/parser_json.go,100.00
src/esbuild/parser/parser_test.go,100.00
src/esbuild/printer/printer.go,100.00
src/esbuild/printer/printer_test.go,100.00
src/esbuild/resolver/resolver.go,100.00
src/esbuild/fs/fs.go,100.00
src/esbuild/fs/fs_test.go,100.00
src/esbuild/bundler/bundler_test.go,100.00
npm/esbuild/package.json,99.91
src/esbuild/main/version.go,100.00
version.txt,100.00
npm/esbuild/install.js,90.57
npm/esbuild/bin/esbuild,100.00
scripts/fuzzer.js,100.00
src/esbuild/parser/parser_ts_test.go,100.00
src/esbuild/bundler/bundler_ts_test.go,100.00
scripts/parse-ts-files.js,100.00
scripts/verify-source-map.js,97.41
src/esbuild/parser/parser_json_test.go,100.00
src/esbuild/go.mod,60.00
scripts/end-to-end-tests.js,99.00
scripts/fuzzer/estree-generator.js,100.00
scripts/fuzzer/estree-grammar.js,100.00
scripts/fuzzer/index.js,100.00
scripts/fuzzer/escodegen.js,100.00
src/esbuild/runtime/runtime.go,100.00
docs/architecture.md,99.84
npm/esbuild-darwin-64/README.md,100.00
npm/esbuild-linux-64/README.md,100.00
npm/esbuild-wasm/README.md,100.00
npm/esbuild-windows-64/README.md,100.00
npm/esbuild/README.md,98.96
src/esbuild/bundler/bundler_importstar_test.go,100.00
src/esbuild/bundler/bundler_importstar_ts_test.go,100.00
npm/esbuild-wasm/browser.js,100.00
npm/esbuild-wasm/try.html,100.00
npm/esbuild/lib/main.d.ts,98.76
npm/esbuild/lib/main.js,95.90
src/esbuild/go.sum,100.00
src/esbuild/logging/logging_darwin.go,100.00
src/esbuild/logging/logging_linux.go,100.00
src/esbuild/logging/logging_other.go,100.00
src/esbuild/main/service.go,100.00
scripts/js-api-tests.js,98.70
scripts/esbuild.js,98.09
scripts/terser-tests.js,100.00
cmd/esbuild/main.go,90.73
cmd/esbuild/service.go,99.65
cmd/esbuild/version.go,100.00
go.mod,69.23
go.sum,66.67
internal/ast/ast.go,100.00
internal/bundler/bundler.go,98.30
internal/bundler/bundler_importstar_test.go,98.76
internal/bundler/bundler_importstar_ts_test.go,100.00
internal/bundler/bundler_test.go,92.21
internal/bundler/bundler_ts_test.go,99.03
internal/bundler/renamer.go,100.00
internal/fs/fs.go,98.39
internal/fs/fs_test.go,95.65
internal/lexer/lexer.go,100.00
internal/lexer/lexer_test.go,83.95
internal/lexer/tables.go,100.00
internal/logging/logging.go,100.00
internal/logging/logging_darwin.go,100.00
internal/logging/logging_linux.go,100.00
internal/logging/logging_other.go,100.00
internal/parser/parser.go,99.99
internal/parser/parser_json.go,100.00
internal/parser/parser_json_test.go,87.23
internal/parser/parser_test.go,99.39
internal/parser/parser_ts_test.go,97.56
internal/printer/printer.go,99.81
internal/printer/printer_test.go,96.73
internal/resolver/resolver.go,98.14
internal/runtime/runtime.go,98.93
scripts/uglify-tests.js,100.00
.github/workflows/ci.yml,86.86
scripts/fuzzer/package-lock.json,100.00
scripts/fuzzer/package.json,100.00
scripts/package-lock.json,97.51
scripts/package.json,95.65
npm/esbuild-linux-arm64/README.md,100.00
npm/esbuild-linux-arm64/package.json,95.29
CHANGELOG.md,97.48
internal/bundler/linker.go,99.06
internal/bundler/bundler_dce_test.go,100.00
internal/parser/globals.go,100.00
.editorconfig,44.44
npm/esbuild-linux-ppc64le/README.md,100.00
npm/esbuild-linux-ppc64le/package.json,95.18
internal/lexer/unicode.go,100.00
scripts/gen-unicode-table.js,94.15
scripts/es6-fuzzer.js,100.00
lib/api-browser.ts,100.00
lib/api-common.ts,100.00
lib/api-node.ts,96.88
lib/api-types.ts,100.00
lib/package-lock.json,100.00
lib/package.json,90.91
lib/tsconfig.json,100.00
pkg/api/api.go,96.85
pkg/api/impl.go,100.00
pkg/cli/args.go,100.00
pkg/cli/cli.go,96.61
scripts/try.html,100.00
docs/go-api.md,100.00
docs/js-api.md,98.50
lib/README.md,100.00
pkg/cli/impl.go,100.00
internal/ast/ast_test.go,100.00
pkg/api/api_impl.go,98.88
pkg/cli/cli_impl.go,95.98
internal/bundler/bundler_lower_test.go,100.00
internal/parser/parser_lower.go,100.00
scripts/destructuring-fuzzer.js,100.00
internal/bundler/bundler_splitting_test.go,100.00
internal/config/config.go,96.07
internal/config/globals.go,100.00
internal/parser/parser_ts.go,100.00
