File,Top Contributor Share (%)
.editorconfig,100.00
.github/ISSUE_TEMPLATE.md,93.75
.gitignore,100.00
.travis.yml,82.09
AUTHORS.rst,100.00
CONTRIBUTING.rst,98.96
HISTORY.rst,100.00
LICENSE,91.67
MANIFEST.in,100.00
Makefile,100.00
README.md,91.97
README.rst,100.00
docs/Makefile,100.00
docs/authors.rst,100.00
docs/conf.py,100.00
docs/contributing.rst,100.00
docs/face_recognition.rst,100.00
docs/history.rst,100.00
docs/index.rst,100.00
docs/installation.rst,100.00
docs/make.bat,100.00
docs/modules.rst,100.00
docs/readme.rst,100.00
docs/usage.rst,97.62
examples/digital_makeup.py,97.14
examples/find_faces_in_picture.py,100.00
examples/find_facial_features_in_picture.py,100.00
examples/recognize_faces_in_pictures.py,100.00
face_recognition/__init__.py,100.00
face_recognition/api.py,85.57
face_recognition/cli.py,97.44
requirements_dev.txt,77.27
setup.cfg,62.86
setup.py,94.39
tests/__init__.py,100.00
tests/test_face_recognition.py,86.63
tox.ini,51.85
travis_pypi_setup.py,100.00
requirements.txt,100.00
examples/facerec_from_webcam.py,88.64
Dockerfile,54.90
examples/facerec_from_webcam_faster.py,85.71
examples/web_service_example.py,100.00
examples/facerec_on_raspberry_pi.py,100.00
examples/face_distance.py,100.00
examples/benchmark.py,100.00
examples/facerec_from_video_file.py,100.00
examples/find_faces_in_batches.py,100.00
examples/find_faces_in_picture_cnn.py,100.00
examples/face_recognition_knn.py,55.04
examples/blur_faces_on_webcam.py,100.00
examples/identify_and_draw_boxes_on_faces.py,86.84
face_recognition/face_detection_cli.py,89.02
face_recognition/face_recognition_cli.py,100.00
examples/ipynb_examples/track_faces_on_video_realtime.ipynb,100.00
README_Simpified_Chinese.md,100.00
README_Simplified_Chinese.md,90.00
examples/web_service_example_Simplified_Chinese.py,100.00
examples/facerec_on_raspberry_pi_Simplified_Chinese.py,100.00
docker-compose.yml,100.00
Dockerfile.gpu,100.00
examples/facerec_from_webcam_much_faster.py,100.00
facerec_from_webcam_multiprocessing.py,100.00
examples/facerec_from_webcam_multiprocessing.py,80.00
README_Korean.md,91.36
examples/face_recognition_svm.py,100.00
.github/workflows/main.yml,89.29
examples/blink_detection.py,95.37
pyproject.toml,100.00
README_Japanese.md,100.00
examples/facerec_ipcamera_knn.py,99.54
docker/Dockerfile-python-example,100.00
docker/README.md,100.00
docker/cpu-jupyter-kubeflow/Dockerfile,100.00
docker/cpu/Dockerfile,100.00
docker/gpu-jupyter-kubeflow/Dockerfile,100.00
docker/gpu/Dockerfile,100.00
