File,Top Contributor Share (%)
fastapi/__init__.py,99.63
fastapi/applications.py,85.15
fastapi/params.py,84.25
fastapi/pydantic_utils.py,100.00
fastapi/routing.py,80.27
fastapi/security/__init__.py,94.87
fastapi/security/api_key.py,86.55
fastapi/security/base.py,100.00
fastapi/security/http.py,90.47
fastapi/security/oauth2.py,90.68
fastapi/security/open_id_connect_url.py,88.39
fastapi/dependencies/models.py,74.45
fastapi/dependencies/utils.py,68.39
fastapi/encoders.py,70.17
fastapi/openapi/constants.py,50.00
fastapi/openapi/models.py,87.36
fastapi/openapi/utils.py,81.14
fastapi/utils.py,56.37
fastapi/openapi/docs.py,54.95
tests/endpoints/a.py,100.00
tests/endpoints/b.py,100.00
tests/main.py,85.14
tests/test_path.py,89.40
tests/test_query.py,95.11
LICENSE,100.00
pyproject.toml,72.53
scripts/lint.sh,88.89
scripts/test.sh,96.43
.gitignore,77.42
Pipfile,79.31
mypy.ini,96.00
Pipfile.lock,85.50
.travis.yml,84.85
dist/fastapi-0.1.0/pyproject.toml,100.00
docs/img/icon-white.svg,100.00
docs/img/logo-teal-vector.svg,100.00
docs/img/logo-teal.svg,100.00
docs/features.md,99.66
docs/index.md,98.83
docs/tutorial/index.md,100.00
mkdocs.yml,97.32
scripts/clean.sh,100.00
scripts/docs-live.sh,100.00
docs/tutorial/oauth2-jwt.md,100.00
docs/tutorial/python-types.md,100.00
README.md,94.99
scripts/build-docs.sh,100.00
requirements.txt,76.92
docs/img/logo-margin/logo-teal-vector.svg,100.00
docs/img/logo-margin/logo-teal.svg,100.00
tests/test_security.py,100.00
docs/async.md,98.84
docs/deployment.md,96.82
docs/tutorial/src/tutorial01.py,100.00
docs/tutorial/src/tutorial02.py,100.00
docs/tutorial/src/tutorial03.py,100.00
docs/tutorial/src/tutorial04.py,100.00
docs/tutorial/src/tutorial05-01.py,100.00
docs/tutorial/src/tutorial05-04.py,100.00
docs/tutorial/src/tutorial06.py,100.00
docs/tutorial/src/tutorial07.py,100.00
docs/tutorial/src/tutorial08.py,100.00
docs/tutorial/src/tutorial09.py,100.00
docs/tutorial/src/tutorial10.py,100.00
docs/tutorial/src/tutorial11.py,100.00
docs/tutorial/src/tutorial12.py,100.00
docs/tutorial/src/tutorial13.py,100.00
docs/tutorial/src/tutorial14.py,100.00
docs/tutorial/src/tutorial15.py,100.00
docs/tutorial/src/tutorial16.py,100.00
docs/tutorial/src/tutorial17.py,100.00
docs/tutorial/src/tutorial18-01.py,100.00
docs/tutorial/src/tutorial18-02.py,100.00
docs/tutorial/src/tutorial18-03.py,100.00
docs/tutorial/src/tutorial19.py,100.00
docs/tutorial/src/tutorial20.py,100.00
docs/tutorial/src/tutorial21.py,100.00
docs/tutorial/src/tutorial22.py,100.00
docs/tutorial/src/tutorial23.py,100.00
docs/tutorial/src/tutorial24.py,100.00
docs/tutorial/src/tutorial25.py,100.00
docs/tutorial/src/tutorial26.py,100.00
docs/tutorial/src/tutorial27.py,100.00
docs/tutorial/src/tutorial28.py,100.00
docs/tutorial/src/tutorial29.py,100.00
docs/tutorial/src/tutorial30.py,100.00
docs/tutorial/src/tutorial31.py,100.00
docs/tutorial/src/tutorial32.py,100.00
docs/tutorial/src/tutorial33.py,100.00
docs/tutorial/src/tutorial34.py,100.00
docs/tutorial/src/tutorial35.py,100.00
docs/tutorial/src/tutorial36.py,100.00
docs/tutorial/src/tutorial37.py,100.00
docs/tutorial/src/tutorial38.py,100.00
docs/tutorial/src/tutorial39.py,100.00
docs/tutorial/src/tutorial40.py,100.00
docs/tutorial/src/tutorial41.py,100.00
docs/tutorial/src/tutorial42.py,100.00
docs/tutorial/src/tutorial43.py,100.00
docs/tutorial/src/tutorial44.py,100.00
docs/tutorial/src/tutorial45.py,100.00
docs/tutorial/src/tutorial46.py,100.00
docs/tutorial/src/tutorial47-01.py,100.00
docs/tutorial/src/tutorial47-02.py,100.00
docs/tutorial/src/tutorial47-03.py,100.00
docs/tutorial/src/tutorial47-04.py,100.00
docs/tutorial/src/tutorial48.py,100.00
docs/tutorial/src/tutorial49.py,100.00
docs/tutorial/src/tutorial50.py,100.00
docs/tutorial/src/tutorial51.py,100.00
docs/tutorial/src/tutorial52.py,100.00
docs/tutorial/src/tutorial53.py,100.00
docs/tutorial/src/tutorial54.py,100.00
docs/tutorial/src/tutorial55.py,100.00
docs/tutorial/src/tutorial56.py,100.00
docs/tutorial/src/tutorial57.py,100.00
docs/tutorial/src/tutorial58-01.py,100.00
docs/tutorial/src/tutorial58-02.py,100.00
docs/tutorial/src/tutorial58-03.py,100.00
docs/tutorial/src/tutorial59.py,100.00
docs/tutorial/src/tutorial60.py,100.00
docs/tutorial/src/tutorial05.py,100.00
docs/tutorial/src/tutorial47.py,100.00
docs/tutorial/src/tutorial58.py,100.00
docs/tutorial/src/tutorial61.py,100.00
docs/tutorial/src/tutorial62.py,100.00
docs/tutorial/src/tutorial63.py,100.00
docs/tutorial/src/tutorial64.py,100.00
docs/tutorial/src/tutorial65.py,100.00
docs/tutorial/src/tutorial66.py,100.00
docs/tutorial/src/tutorial67.py,100.00
docs/tutorial/src/tutorial68.py,100.00
scripts/rename_tutorial_src_files.py,100.00
docs/tutorial/src/tutorial34-02.py,100.00
docs/tutorial/src/tutorial69.py,100.00
docs/tutorial/src/tutorial70.py,100.00
docs/tutorial/src/tutorial71.py,100.00
docs/tutorial/src/tutorial72.py,100.00
docs/tutorial/src/tutorial73.py,100.00
docs/tutorial/src/tutorial74.py,100.00
docs/tutorial/src/tutorial75.py,100.00
docs/tutorial/src/tutorial76.py,100.00
docs/tutorial/src/tutorial77.py,100.00
docs/tutorial/src/tutorial78.py,100.00
docs/tutorial/src/tutorial79.py,100.00
docs/tutorial/first-steps.md,99.75
docs/tutorial/intro.md,100.00
docs/tutorial/path-params.md,85.71
docs/tutorial/query-params.md,97.98
docs/tutorial/src/all/tutorial022.py,100.00
docs/tutorial/src/body/tutorial001.py,100.00
docs/tutorial/src/body/tutorial002.py,100.00
docs/tutorial/src/body/tutorial003.py,100.00
docs/tutorial/src/body/tutorial004.py,100.00
docs/tutorial/src/first-steps/tutorial002.py,100.00
docs/tutorial/src/first-steps/tutorial003.py,100.00
docs/tutorial/src/query-params/tutorial005.py,100.00
docs/tutorial/body.md,97.73
docs/tutorial/query-params-schema.md,100.00
docs/tutorial/src/query-params-schema/tutorial001.py,100.00
docs/tutorial/src/query-params-schema/tutorial002.py,100.00
docs/tutorial/src/query-params-schema/tutorial003.py,100.00
docs/tutorial/src/query-params-schema/tutorial004.py,100.00
docs/tutorial/src/query-params-schema/tutorial005.py,100.00
docs/tutorial/src/query-params-schema/tutorial006.py,100.00
docs/tutorial/src/query-params-schema/tutorial007.py,100.00
docs/tutorial/src/query-params-schema/tutorial008.py,100.00
docs/tutorial/src/query-params-schema/tutorial009.py,100.00
docs/tutorial/src/query-params-schema/tutorial010.py,100.00
docs/tutorial/query-params-str-validations.md,100.00
docs/tutorial/path-params-numeric-validations.md,100.00
docs/tutorial/src/path-params-numeric-validations/tutorial001.py,100.00
docs/tutorial/src/path-params-numeric-validations/tutorial002.py,100.00
docs/tutorial/src/path-params-numeric-validations/tutorial003.py,100.00
docs/tutorial/src/path-params-numeric-validations/tutorial004.py,100.00
docs/tutorial/src/path-params-numeric-validations/tutorial005.py,100.00
docs/tutorial/src/path-params-numeric-validations/tutorial006.py,100.00
docs/tutorial/body-multiple-params.md,100.00
docs/tutorial/src/body-multiple-params/tutorial001.py,100.00
docs/tutorial/src/body-multiple-params/tutorial002.py,100.00
docs/tutorial/src/body-multiple-params/tutorial003.py,100.00
docs/tutorial/src/body-multiple-params/tutorial004.py,100.00
docs/tutorial/src/body-multiple-params/tutorial005.py,100.00
docs/tutorial/body-schema.md,84.78
docs/tutorial/src/body-schema/tutorial001.py,100.00
docs/tutorial/src/body-schema/tutorial002.py,100.00
docs/tutorial/body-nested-models.md,98.27
docs/tutorial/src/body-nested-models/tutorial001.py,100.00
docs/tutorial/src/body-nested-models/tutorial002.py,100.00
docs/tutorial/src/body-nested-models/tutorial003.py,100.00
docs/tutorial/src/body-nested-models/tutorial004.py,100.00
docs/tutorial/src/body-nested-models/tutorial005.py,100.00
docs/tutorial/src/body-nested-models/tutorial006.py,100.00
docs/tutorial/src/body-nested-models/tutorial007.py,100.00
docs/tutorial/src/body-nested-models/tutorial008.py,100.00
docs/tutorial/cookie-params.md,100.00
docs/tutorial/src/cookie-params/tutorial001.py,100.00
docs/tutorial/header-params.md,100.00
docs/tutorial/src/header-params/tutorial001.py,100.00
docs/tutorial/src/header-params/tutorial002.py,100.00
docs/tutorial/response-model.md,57.56
docs/tutorial/src/response-model/tutorial001.py,100.00
docs/tutorial/src/response-model/tutorial002.py,100.00
docs/tutorial/src/response-model/tutorial003.py,100.00
docs/tutorial/extra-models.md,98.62
docs/tutorial/src/extra-models/tutorial001.py,100.00
docs/tutorial/src/extra-models/tutorial002.py,100.00
docs/tutorial/form-data.md,100.00
docs/tutorial/src/form-data/tutorial001.py,100.00
docs/tutorial/request-files.md,95.91
docs/tutorial/request-forms-and-files.md,87.80
docs/tutorial/request-forms.md,92.75
docs/tutorial/src/request-files/tutorial001.py,100.00
docs/tutorial/src/request-forms-and-files/tutorial001.py,100.00
docs/tutorial/path-operation-configuration.md,100.00
docs/tutorial/src/path-operation-configuration/tutorial001.py,100.00
docs/tutorial/src/path-operation-configuration/tutorial002.py,100.00
docs/tutorial/src/path-operation-configuration/tutorial003.py,100.00
docs/tutorial/src/path-operation-configuration/tutorial004.py,100.00
docs/tutorial/src/path-operation-configuration/tutorial005.py,100.00
docs/tutorial/src/path-operation-configuration/tutorial006.py,100.00
docs/tutorial/path-operation-advanced-configuration.md,42.86
docs/tutorial/src/path-operation-advanced-configuration/tutorial001.py,100.00
docs/tutorial/src/path-operation-advanced-configuration/tutorial002.py,100.00
docs/tutorial/custom-response.md,98.33
docs/tutorial/src/custom-response/tutorial001.py,100.00
docs/tutorial/src/custom-response/tutorial002.py,100.00
docs/tutorial/src/custom-response/tutorial003.py,100.00
docs/tutorial/src/custom-response/tutorial004.py,100.00
docs/tutorial/dependencies/first-steps.md,100.00
docs/tutorial/dependencies/intro.md,100.00
docs/tutorial/dependencies/second-steps.md,100.00
docs/tutorial/src/dependencies/tutorial001.py,100.00
docs/tutorial/src/dependencies/tutorial002.py,100.00
docs/tutorial/src/dependencies/tutorial003.py,100.00
docs/tutorial/src/dependencies/tutorial004.py,100.00
docs/tutorial/sql-databases.md,95.56
docs/tutorial/src/sql-databases/tutorial001.py,100.00
docs/tutorial/nosql-databases.md,100.00
docs/tutorial/src/nosql-databases/tutorial001.py,100.00
docs/tutorial/application-configuration.md,100.00
docs/tutorial/bigger-applications.md,91.99
docs/tutorial/security/first-steps.md,96.71
docs/tutorial/security/intro.md,97.32
docs/tutorial/security/oauth2-jwt.md,99.04
docs/tutorial/security/simple-oauth2.md,100.00
docs/tutorial/src/bigger-applications/tutorial003.py,100.00
docs/tutorial/src/security/tutorial002.py,100.00
docs/tutorial/src/security/tutorial003.py,100.00
docs/tutorial/src/security/tutorial004.py,100.00
docs/tutorial/extra-starlette.md,100.00
scripts/netlify-docs.sh,100.00
docs/tutorial/src/python-types/tutorial001.py,100.00
docs/tutorial/src/python-types/tutorial002.py,100.00
docs/tutorial/src/python-types/tutorial003.py,100.00
docs/tutorial/src/python-types/tutorial004.py,100.00
docs/tutorial/src/python-types/tutorial005.py,100.00
docs/tutorial/src/python-types/tutorial006.py,100.00
docs/tutorial/src/python-types/tutorial007.py,100.00
docs/tutorial/src/python-types/tutorial008.py,100.00
docs/tutorial/src/python-types/tutorial009.py,100.00
docs/tutorial/src/python-types/tutorial010.py,100.00
docs/tutorial/src/bigger_applications/app/routers/tutorial001.py,100.00
docs/tutorial/src/bigger_applications/app/tutorial003.py,100.00
docs/tutorial/src/body_multiple_params/tutorial001.py,100.00
docs/tutorial/src/body_multiple_params/tutorial002.py,100.00
docs/tutorial/src/body_multiple_params/tutorial003.py,100.00
docs/tutorial/src/body_multiple_params/tutorial004.py,100.00
docs/tutorial/src/body_multiple_params/tutorial005.py,100.00
docs/tutorial/src/body_nested_models/tutorial001.py,100.00
docs/tutorial/src/body_nested_models/tutorial002.py,100.00
docs/tutorial/src/body_nested_models/tutorial003.py,100.00
docs/tutorial/src/body_nested_models/tutorial004.py,100.00
docs/tutorial/src/body_nested_models/tutorial005.py,100.00
docs/tutorial/src/body_nested_models/tutorial006.py,100.00
docs/tutorial/src/body_nested_models/tutorial007.py,100.00
docs/tutorial/src/body_nested_models/tutorial008.py,100.00
docs/tutorial/src/body_schema/tutorial001.py,100.00
docs/tutorial/src/body_schema/tutorial002.py,100.00
docs/tutorial/src/custom_response/tutorial001.py,100.00
docs/tutorial/src/custom_response/tutorial002.py,100.00
docs/tutorial/src/custom_response/tutorial003.py,100.00
docs/tutorial/src/custom_response/tutorial004.py,100.00
docs/tutorial/src/extra_models/tutorial001.py,100.00
docs/tutorial/src/extra_models/tutorial002.py,100.00
docs/tutorial/src/nosql_databases/tutorial001.py,100.00
docs/tutorial/src/path_operation_configuration/tutorial001.py,100.00
docs/tutorial/src/path_operation_configuration/tutorial002.py,100.00
docs/tutorial/src/path_operation_configuration/tutorial003.py,100.00
docs/tutorial/src/path_operation_configuration/tutorial004.py,100.00
docs/tutorial/src/path_operation_configuration/tutorial005.py,100.00
docs/tutorial/src/query_params/tutorial005.py,100.00
docs/tutorial/src/response_model/tutorial001.py,100.00
docs/tutorial/src/response_model/tutorial002.py,100.00
docs/tutorial/src/response_model/tutorial003.py,100.00
docs/tutorial/src/sql_databases/tutorial001.py,100.00
tests/main_old.py,100.00
tests/test_application.py,91.97
tests/test_tutorial/test_bigger_applications/test_tutorial003.py,100.00
tests/test_tutorial/test_body/test_tutorial001.py,82.73
tests/test_tutorial/test_body_multiple_params/test_tutorial001.py,94.71
tests/test_tutorial/test_dependencies/test_tutorial001.py,92.98
tests/test_tutorial/test_first_steps/test_tutorial001.py,98.51
tests/test_tutorial/test_security/test_tutorial001.py,77.78
tests/test_tutorial/test_header_params/test_tutorial001.py,89.11
tests/test_tutorial/test_cookie_params/test_tutorial001.py,86.57
tests/test_tutorial/test_body_schema/test_tutorial001.py,94.71
docs/tutorial/src/query_params/tutorial006.py,100.00
tests/test_tutorial/test_query_params/test_tutorial005.py,98.65
tests/test_tutorial/test_query_params/test_tutorial006.py,94.93
docs/src/body_nested_models/tutorial005.py,66.67
docs/src/body_nested_models/tutorial006.py,50.00
docs/src/body_nested_models/tutorial007.py,50.00
docs/src/body_nested_models/tutorial008.py,66.67
docs/src/body_schema/tutorial001.py,100.00
docs/src/custom_response/tutorial001.py,100.00
docs/src/custom_response/tutorial002.py,100.00
docs/src/custom_response/tutorial003.py,100.00
docs/src/custom_response/tutorial004.py,100.00
docs/src/dependencies/tutorial001.py,100.00
docs/src/dependencies/tutorial002.py,100.00
docs/src/dependencies/tutorial003.py,100.00
docs/src/dependencies/tutorial004.py,100.00
docs/src/extra_models/tutorial001.py,100.00
docs/src/extra_models/tutorial002.py,100.00
docs/src/path_operation_advanced_configuration/tutorial002.py,100.00
docs/src/path_operation_configuration/tutorial001.py,100.00
docs/src/path_operation_configuration/tutorial004.py,100.00
docs/src/path_operation_configuration/tutorial005.py,100.00
docs/src/path_params/tutorial003.py,100.00
docs/src/query_params/tutorial001.py,50.00
docs/src/request_files/tutorial001.py,100.00
docs/src/request_forms_and_files/tutorial001.py,100.00
docs/src/response_model/tutorial001.py,100.00
docs/src/response_model/tutorial002.py,100.00
docs/src/response_model/tutorial003.py,100.00
docs/src/security/tutorial001.py,100.00
docs/src/security/tutorial002.py,100.00
docs/src/security/tutorial003.py,100.00
docs/src/security/tutorial004.py,100.00
docs/src/sql_databases/tutorial001.py,88.89
docs/python-types.md,99.33
docs/project-generation.md,100.00
tests/test_tutorial/test_request_forms/test_tutorial001.py,95.39
scripts/test-cov-html.sh,92.86
tests/test_tutorial/test_request_files/test_tutorial001.py,89.23
tests/test_tutorial/test_request_forms_and_files/test_tutorial001.py,92.95
tests/test_tutorial/test_custom_response/test_tutorial001.py,64.00
tests/test_tutorial/test_custom_response/test_tutorial004.py,96.15
tests/test_tutorial/test_response_model/test_tutorial003.py,97.72
docs/src/extra_data_types/tutorial001.py,100.00
docs/tutorial/extra-data-types.md,100.00
tests/test_tutorial/test_extra_data_types/test_tutorial001.py,88.14
tests/test_jsonable_encoder.py,60.21
tests/test_methods.py,100.00
tests/test_serialize_response.py,65.85
tests/test_extra_routes.py,96.88
docs/src/application_configuration/tutorial002.py,100.00
docs/src/application_configuration/tutorial003.py,100.00
tests/test_tutorial/test_application_configuration/test_tutorial001.py,100.00
tests/test_tutorial/test_query_params_str_validations/test_tutorial001.py,97.67
docs/src/dependencies/tutorial005.py,100.00
docs/src/dependencies/tutorial006.py,100.00
docs/tutorial/dependencies/advanced-dependencies.md,100.00
docs/tutorial/dependencies/classes-as-dependencies.md,99.51
docs/tutorial/dependencies/first-steps-functions.md,100.00
docs/tutorial/dependencies/sub-dependencies.md,100.00
docs/tutorial/security/get-current-user.md,100.00
pending_tests/main.py,99.18
docs/alternatives.md,98.95
docs/benchmarks.md,100.00
tests/test_param_class.py,93.94
tests/test_tutorial/test_dependencies/test_tutorial004.py,91.27
tests/test_tutorial/test_path_operation_advanced_configurations/test_tutorial001.py,95.45
tests/test_tutorial/test_path_operation_advanced_configurations/test_tutorial002.py,74.24
tests/test_tutorial/test_path_operation_configurations/test_tutorial005.py,93.43
tests/test_tutorial/test_path_operation_configurations/test_tutorial006.py,98.48
tests/test_tutorial/test_security/test_tutorial003.py,87.96
fastapi/security/utils.py,69.23
tests/test_include_route.py,96.30
tests/test_security_api_key_cookie.py,93.58
tests/test_security_api_key_header.py,97.12
tests/test_security_api_key_query.py,97.12
tests/test_security_oauth2.py,92.82
tests/test_security_openid_connect.py,96.49
tests/test_security_http_base.py,96.67
tests/test_security_http_basic.py,100.00
tests/test_security_http_bearer.py,95.88
tests/test_security_http_digest.py,95.96
tests/test_multi_body_errors.py,84.20
tests/test_multi_query_errors.py,98.34
tests/test_put_no_body.py,97.19
docs/src/response_status_code/tutorial001.py,100.00
docs/src/response_status_code/tutorial002.py,100.00
docs/tutorial/response-status-code.md,92.47
docs/src/bigger_applications/app/main.py,80.95
docs/src/bigger_applications/app/routers/items.py,87.50
