Field,Value
Commits Overview,
Total Commits,5647
Total Unique Authors,793
,
Top 10 Contributors,
Author,Commits
Sebastián Ramírez,11439
github-actions,2096
Alejandra,371
Nils Lindemann,369
dependabot[bot],150
Samuel Colvin,149
LeeeeT,125
dmontagu,106
Brian Mboya,103
dconathan,83
,
Communication Events,Total: 680
"Author1,Author2",Events
"github-actions,Sebastián Ramírez",129
"Sebastián Ramírez,github-actions",71
"Robin,Itay Raveh",18
"Amin Alaee,Sebastián Ramírez",17
"Sebastián Ramírez,谭九鼎",14
"Nils Lindemann,Sebastián Ramírez",13
"vjanz,Sebastián Ramírez",12
"Yağızcan Değirmenci,JulianMaurin",7
"Sebastián Ramírez,dependabot[bot]",7
"Brian Mboya,Rupsi Kaushik",6
"Kinuax,Sebastián Ramírez",6
"Nadav Zingerman,Sebastián Ramírez",6
"Zhaohan Dong,Sebastián Ramírez",5
"dependabot[bot],Sebastián Ramírez",4
"Xie Wei,Sebastián Ramírez",4
"JulianMaurin,ryuckel",4
"Nima Mashhadi M. Reza,Yurii Karabas",4
"Quentin Takeda,Sebastián Ramírez",4
"Cesare De Cal,Sebastián Ramírez",4
"Camila Gutierrez,Sebastián Ramírez",3
"Samuel Colvin,Sebastián Ramírez",3
"Nima Mashhadi M. Reza,Sebastián Ramírez",3
"Marcelo Trylesinski,Sebastián Ramírez",3
"Philip Okiokio,Alejandra",3
"VISHNU V S,Sebastián Ramírez",3
"Baldeep Singh Handa,Sebastián Ramírez",3
"Nik,Sebastián Ramírez",3
"T. Tokusumi,Sebastián Ramírez",2
"Brian Mboya,Sebastián Ramírez",2
"Taki Komiyama,atsumi",2
"Thomas Grainger,Sebastián Ramírez",2
"Thomas Grainger,Hasan Ramezani",2
"dkreeft,Edouard Lavery-Plante",2
"Christoph Deil,Sebastián Ramírez",2
"Zoltan Papp,Sebastián Ramírez",2
"Artem Golicyn,Alexandr",2
"Alex Wendland,Sebastián Ramírez",2
"maoyibo,Xie Wei",2
"Aviram Hassan,Sebastián Ramírez",2
"dmontagu,Stéphane Wirtel",2
"euri10,Sebastián Ramírez",2
"atsumi,T. Tokusumi",2
"Nutchanon Ninyawee,谭九鼎",2
"Sebastián Ramírez,Alejandra",2
"Rupsi Kaushik,Brian Mboya",2
"Ruidy,Sam Courtemanche",2
"Sebastián Ramírez,jaystone776",2
"Sebastián Ramírez,Mário Victor Ribeiro Silva",2
"Sebastián Ramírez,Camila Gutierrez",2
"Sebastián Ramírez,Andy Challis",2
