File,Top Contributor Share (%)
LICENSE,100.00
README.md,99.46
fastcache.go,95.82
fastcache_test.go,92.11
fastcache_timing_test.go,80.75
go.mod,81.82
go.sum,80.00
.travis.yml,100.00
file.go,99.80
file_test.go,92.31
file_timing_test.go,100.00
malloc_heap.go,100.00
malloc_mmap.go,96.61
bigcache.go,93.29
bigcache_test.go,100.00
bigcache_timing_test.go,100.00
fastcache_gen_test.go,100.00
.github/workflows/main.yml,100.00
vendor/github.com/allegro/bigcache/.gitignore,100.00
vendor/github.com/allegro/bigcache/.travis.yml,100.00
vendor/github.com/allegro/bigcache/LICENSE,100.00
vendor/github.com/allegro/bigcache/README.md,100.00
vendor/github.com/allegro/bigcache/bigcache.go,100.00
vendor/github.com/allegro/bigcache/bytes.go,100.00
vendor/github.com/allegro/bigcache/bytes_appengine.go,100.00
vendor/github.com/allegro/bigcache/clock.go,100.00
vendor/github.com/allegro/bigcache/config.go,100.00
vendor/github.com/allegro/bigcache/encoding.go,100.00
vendor/github.com/allegro/bigcache/entry_not_found_error.go,100.00
vendor/github.com/allegro/bigcache/fnv.go,100.00
vendor/github.com/allegro/bigcache/hash.go,100.00
vendor/github.com/allegro/bigcache/iterator.go,100.00
vendor/github.com/allegro/bigcache/logger.go,100.00
vendor/github.com/allegro/bigcache/queue/bytes_queue.go,100.00
vendor/github.com/allegro/bigcache/shard.go,100.00
vendor/github.com/allegro/bigcache/stats.go,100.00
vendor/github.com/allegro/bigcache/utils.go,100.00
vendor/github.com/cespare/xxhash/v2/.travis.yml,100.00
vendor/github.com/cespare/xxhash/v2/LICENSE.txt,100.00
vendor/github.com/cespare/xxhash/v2/README.md,100.00
vendor/github.com/cespare/xxhash/v2/go.mod,100.00
vendor/github.com/cespare/xxhash/v2/xxhash.go,100.00
vendor/github.com/cespare/xxhash/v2/xxhash_amd64.go,100.00
vendor/github.com/cespare/xxhash/v2/xxhash_amd64.s,100.00
vendor/github.com/cespare/xxhash/v2/xxhash_other.go,100.00
vendor/github.com/cespare/xxhash/v2/xxhash_safe.go,100.00
vendor/github.com/cespare/xxhash/v2/xxhash_unsafe.go,100.00
vendor/github.com/golang/snappy/.gitignore,100.00
vendor/github.com/golang/snappy/AUTHORS,100.00
vendor/github.com/golang/snappy/CONTRIBUTORS,100.00
vendor/github.com/golang/snappy/LICENSE,100.00
vendor/github.com/golang/snappy/README,100.00
vendor/github.com/golang/snappy/decode.go,100.00
vendor/github.com/golang/snappy/decode_amd64.s,100.00
vendor/github.com/golang/snappy/decode_arm64.s,100.00
vendor/github.com/golang/snappy/decode_asm.go,100.00
vendor/github.com/golang/snappy/decode_other.go,100.00
vendor/github.com/golang/snappy/encode.go,100.00
vendor/github.com/golang/snappy/encode_amd64.s,100.00
vendor/github.com/golang/snappy/encode_arm64.s,100.00
vendor/github.com/golang/snappy/encode_asm.go,100.00
vendor/github.com/golang/snappy/encode_other.go,100.00
vendor/github.com/golang/snappy/go.mod,100.00
vendor/github.com/golang/snappy/snappy.go,100.00
vendor/modules.txt,100.00
vendor/golang.org/x/sys/AUTHORS,100.00
vendor/golang.org/x/sys/CONTRIBUTORS,100.00
vendor/golang.org/x/sys/LICENSE,100.00
vendor/golang.org/x/sys/PATENTS,100.00
vendor/golang.org/x/sys/internal/unsafeheader/unsafeheader.go,100.00
vendor/golang.org/x/sys/unix/.gitignore,100.00
vendor/golang.org/x/sys/unix/README.md,100.00
vendor/golang.org/x/sys/unix/affinity_linux.go,100.00
vendor/golang.org/x/sys/unix/aliases.go,100.00
vendor/golang.org/x/sys/unix/asm_aix_ppc64.s,100.00
vendor/golang.org/x/sys/unix/asm_bsd_386.s,100.00
vendor/golang.org/x/sys/unix/asm_bsd_amd64.s,100.00
vendor/golang.org/x/sys/unix/asm_bsd_arm.s,100.00
vendor/golang.org/x/sys/unix/asm_bsd_arm64.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_386.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_amd64.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_arm.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_arm64.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_mips64x.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_mipsx.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_ppc64x.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_riscv64.s,100.00
vendor/golang.org/x/sys/unix/asm_linux_s390x.s,100.00
vendor/golang.org/x/sys/unix/asm_openbsd_mips64.s,100.00
vendor/golang.org/x/sys/unix/asm_solaris_amd64.s,100.00
vendor/golang.org/x/sys/unix/asm_zos_s390x.s,100.00
vendor/golang.org/x/sys/unix/bluetooth_linux.go,100.00
vendor/golang.org/x/sys/unix/cap_freebsd.go,100.00
vendor/golang.org/x/sys/unix/constants.go,100.00
vendor/golang.org/x/sys/unix/dev_aix_ppc.go,100.00
vendor/golang.org/x/sys/unix/dev_aix_ppc64.go,100.00
vendor/golang.org/x/sys/unix/dev_darwin.go,100.00
vendor/golang.org/x/sys/unix/dev_dragonfly.go,100.00
vendor/golang.org/x/sys/unix/dev_freebsd.go,100.00
vendor/golang.org/x/sys/unix/dev_linux.go,100.00
vendor/golang.org/x/sys/unix/dev_netbsd.go,100.00
vendor/golang.org/x/sys/unix/dev_openbsd.go,100.00
vendor/golang.org/x/sys/unix/dev_zos.go,100.00
vendor/golang.org/x/sys/unix/dirent.go,100.00
vendor/golang.org/x/sys/unix/endian_big.go,100.00
vendor/golang.org/x/sys/unix/endian_little.go,100.00
vendor/golang.org/x/sys/unix/env_unix.go,100.00
vendor/golang.org/x/sys/unix/epoll_zos.go,100.00
vendor/golang.org/x/sys/unix/errors_freebsd_386.go,100.00
vendor/golang.org/x/sys/unix/errors_freebsd_amd64.go,100.00
vendor/golang.org/x/sys/unix/errors_freebsd_arm.go,100.00
vendor/golang.org/x/sys/unix/errors_freebsd_arm64.go,100.00
vendor/golang.org/x/sys/unix/fcntl.go,100.00
vendor/golang.org/x/sys/unix/fcntl_darwin.go,100.00
vendor/golang.org/x/sys/unix/fcntl_linux_32bit.go,100.00
vendor/golang.org/x/sys/unix/fdset.go,100.00
vendor/golang.org/x/sys/unix/fstatfs_zos.go,100.00
vendor/golang.org/x/sys/unix/gccgo.go,100.00
vendor/golang.org/x/sys/unix/gccgo_c.c,100.00
vendor/golang.org/x/sys/unix/gccgo_linux_amd64.go,100.00
vendor/golang.org/x/sys/unix/ioctl.go,100.00
vendor/golang.org/x/sys/unix/ioctl_zos.go,100.00
vendor/golang.org/x/sys/unix/mkall.sh,100.00
vendor/golang.org/x/sys/unix/mkerrors.sh,100.00
vendor/golang.org/x/sys/unix/pagesize_unix.go,100.00
vendor/golang.org/x/sys/unix/pledge_openbsd.go,100.00
vendor/golang.org/x/sys/unix/ptrace_darwin.go,100.00
vendor/golang.org/x/sys/unix/ptrace_ios.go,100.00
vendor/golang.org/x/sys/unix/race.go,100.00
vendor/golang.org/x/sys/unix/race0.go,100.00
vendor/golang.org/x/sys/unix/readdirent_getdents.go,100.00
vendor/golang.org/x/sys/unix/readdirent_getdirentries.go,100.00
vendor/golang.org/x/sys/unix/sockcmsg_dragonfly.go,100.00
vendor/golang.org/x/sys/unix/sockcmsg_linux.go,100.00
vendor/golang.org/x/sys/unix/sockcmsg_unix.go,100.00
vendor/golang.org/x/sys/unix/sockcmsg_unix_other.go,100.00
vendor/golang.org/x/sys/unix/str.go,100.00
vendor/golang.org/x/sys/unix/syscall.go,100.00
vendor/golang.org/x/sys/unix/syscall_aix.go,100.00
vendor/golang.org/x/sys/unix/syscall_aix_ppc.go,100.00
vendor/golang.org/x/sys/unix/syscall_aix_ppc64.go,100.00
vendor/golang.org/x/sys/unix/syscall_bsd.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin.1_12.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin.1_13.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin_arm64.go,100.00
vendor/golang.org/x/sys/unix/syscall_darwin_libSystem.go,100.00
vendor/golang.org/x/sys/unix/syscall_dragonfly.go,100.00
vendor/golang.org/x/sys/unix/syscall_dragonfly_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_freebsd.go,100.00
vendor/golang.org/x/sys/unix/syscall_freebsd_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_freebsd_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_freebsd_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_freebsd_arm64.go,100.00
vendor/golang.org/x/sys/unix/syscall_illumos.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_amd64_gc.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_arm64.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_gc.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_gc_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_gc_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_gccgo_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_gccgo_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_mips64x.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_mipsx.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_ppc64x.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_riscv64.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_s390x.go,100.00
vendor/golang.org/x/sys/unix/syscall_linux_sparc64.go,100.00
vendor/golang.org/x/sys/unix/syscall_netbsd.go,100.00
vendor/golang.org/x/sys/unix/syscall_netbsd_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_netbsd_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_netbsd_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_netbsd_arm64.go,100.00
vendor/golang.org/x/sys/unix/syscall_openbsd.go,100.00
vendor/golang.org/x/sys/unix/syscall_openbsd_386.go,100.00
vendor/golang.org/x/sys/unix/syscall_openbsd_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_openbsd_arm.go,100.00
vendor/golang.org/x/sys/unix/syscall_openbsd_arm64.go,100.00
vendor/golang.org/x/sys/unix/syscall_openbsd_mips64.go,100.00
vendor/golang.org/x/sys/unix/syscall_solaris.go,100.00
vendor/golang.org/x/sys/unix/syscall_solaris_amd64.go,100.00
vendor/golang.org/x/sys/unix/syscall_unix.go,100.00
vendor/golang.org/x/sys/unix/syscall_unix_gc.go,100.00
vendor/golang.org/x/sys/unix/syscall_unix_gc_ppc64x.go,100.00
vendor/golang.org/x/sys/unix/syscall_zos_s390x.go,100.00
vendor/golang.org/x/sys/unix/timestruct.go,100.00
vendor/golang.org/x/sys/unix/unveil_openbsd.go,100.00
vendor/golang.org/x/sys/unix/xattr_bsd.go,100.00
vendor/golang.org/x/sys/unix/zerrors_aix_ppc.go,100.00
vendor/golang.org/x/sys/unix/zerrors_aix_ppc64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_darwin_386.go,100.00
vendor/golang.org/x/sys/unix/zerrors_darwin_amd64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_darwin_arm.go,100.00
vendor/golang.org/x/sys/unix/zerrors_darwin_arm64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_dragonfly_amd64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_freebsd_386.go,100.00
vendor/golang.org/x/sys/unix/zerrors_freebsd_amd64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_freebsd_arm.go,100.00
vendor/golang.org/x/sys/unix/zerrors_freebsd_arm64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_386.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_amd64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_arm.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_arm64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_mips.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_mips64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_mips64le.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_mipsle.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_ppc64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_ppc64le.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_riscv64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_s390x.go,100.00
vendor/golang.org/x/sys/unix/zerrors_linux_sparc64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_netbsd_386.go,100.00
vendor/golang.org/x/sys/unix/zerrors_netbsd_amd64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_netbsd_arm.go,100.00
vendor/golang.org/x/sys/unix/zerrors_netbsd_arm64.go,100.00
vendor/golang.org/x/sys/unix/zerrors_openbsd_386.go,100.00
