File,Top Contributor Share (%)
flint,100.00
README.md,75.29
LICENSE.md,100.00
CONTRIBUTING.md,100.00
script/bootstrap,100.00
script/test,100.00
test/fixtures/ghost/script/test,100.00
test/flint-test.sh,100.00
test/roundup.sh,100.00
.travis.yml,100.00
flint.go,81.99
flint_test.go,100.00
script/build,100.00
script/fmt,100.00
.gitignore,100.00
flint/flint.go,73.79
flint/flint_test.go,100.00
gopack.config,100.00
script/release,100.00
fixtures/octokit.rb.json,100.00
fixtures/octokit.rb_tree.json,100.00
flint/app.go,85.55
flint/app_test.go,100.00
flint/errors.go,91.74
flint/github_fetcher.go,100.00
flint/github_fetcher_test.go,100.00
flint/linter.go,87.63
flint/linter_test.go,89.87
flint/local_project.go,90.91
flint/local_project_test.go,89.64
flint/remote_project.go,95.83
flint/remote_project_test.go,100.00
flint/summary.go,100.00
flint/summary_test.go,100.00
fixtures/octokit.rb_releases.json,100.00
glide.lock,100.00
glide.yaml,100.00
vendor/github.com/codegangsta/cli/.gitignore,100.00
vendor/github.com/codegangsta/cli/.travis.yml,100.00
vendor/github.com/codegangsta/cli/CHANGELOG.md,100.00
vendor/github.com/codegangsta/cli/LICENSE,100.00
vendor/github.com/codegangsta/cli/README.md,100.00
vendor/github.com/codegangsta/cli/altsrc/altsrc.go,100.00
vendor/github.com/codegangsta/cli/altsrc/flag.go,100.00
vendor/github.com/codegangsta/cli/altsrc/flag_generated.go,100.00
vendor/github.com/codegangsta/cli/altsrc/flag_test.go,100.00
vendor/github.com/codegangsta/cli/altsrc/helpers_test.go,100.00
vendor/github.com/codegangsta/cli/altsrc/input_source_context.go,100.00
vendor/github.com/codegangsta/cli/altsrc/map_input_source.go,100.00
vendor/github.com/codegangsta/cli/altsrc/toml_command_test.go,100.00
vendor/github.com/codegangsta/cli/altsrc/toml_file_loader.go,100.00
vendor/github.com/codegangsta/cli/altsrc/yaml_command_test.go,100.00
vendor/github.com/codegangsta/cli/altsrc/yaml_file_loader.go,100.00
vendor/github.com/codegangsta/cli/app.go,100.00
vendor/github.com/codegangsta/cli/app_test.go,100.00
vendor/github.com/codegangsta/cli/appveyor.yml,100.00
vendor/github.com/codegangsta/cli/autocomplete/bash_autocomplete,100.00
vendor/github.com/codegangsta/cli/autocomplete/zsh_autocomplete,100.00
vendor/github.com/codegangsta/cli/category.go,100.00
vendor/github.com/codegangsta/cli/cli.go,100.00
vendor/github.com/codegangsta/cli/command.go,100.00
vendor/github.com/codegangsta/cli/command_test.go,100.00
vendor/github.com/codegangsta/cli/context.go,100.00
vendor/github.com/codegangsta/cli/context_test.go,100.00
vendor/github.com/codegangsta/cli/errors.go,100.00
vendor/github.com/codegangsta/cli/errors_test.go,100.00
vendor/github.com/codegangsta/cli/flag-types.json,100.00
vendor/github.com/codegangsta/cli/flag.go,100.00
vendor/github.com/codegangsta/cli/flag_generated.go,100.00
vendor/github.com/codegangsta/cli/flag_test.go,100.00
vendor/github.com/codegangsta/cli/funcs.go,100.00
vendor/github.com/codegangsta/cli/generate-flag-types,100.00
vendor/github.com/codegangsta/cli/help.go,100.00
vendor/github.com/codegangsta/cli/help_test.go,100.00
