File,Top Contributor Share (%)
.gitignore,29.17
README.md,71.30
.github/CODEOWNERS,33.33
.github/workflows/cargo_test.yml,100.00
Cargo.toml,34.45
fuels-abi-cli/Cargo.toml,73.03
fuels-abi-cli/README.md,99.46
fuels-abi-cli/examples/array.json,100.00
fuels-abi-cli/examples/nested_struct.json,100.00
fuels-abi-cli/examples/simple.json,100.00
fuels-abi-cli/src/main.rs,76.38
fuels-abigen-macro/Cargo.toml,71.07
fuels-abigen-macro/README.md,96.55
fuels-abigen-macro/src/lib.rs,91.09
fuels-abigen-macro/tests/harness.rs,75.65
fuels-abigen-macro/tests/takes_ints_returns_bool.json,97.37
fuels-abigen-macro/tests/test_projects/contract_test/Forc.toml,68.75
fuels-abigen-macro/tests/test_projects/contract_test/src/main.sw,95.79
fuels-abigen-macro/tests/test_projects/library_test/Forc.toml,62.50
fuels-abigen-macro/tests/test_projects/library_test/src/main.sw,100.00
fuels-abigen-macro/tests/test_projects/script_test/Forc.toml,81.82
fuels-abigen-macro/tests/test_projects/script_test/src/main.sw,100.00
fuels-abigen-macro/tests/test_projects/stdlib/Forc.toml,100.00
fuels-abigen-macro/tests/test_projects/stdlib/src/chain.sw,100.00
fuels-abigen-macro/tests/test_projects/stdlib/src/constants.sw,100.00
fuels-abigen-macro/tests/test_projects/stdlib/src/hash.sw,100.00
fuels-abigen-macro/tests/test_projects/stdlib/src/lib.sw,100.00
fuels-abigen-macro/tests/test_projects/stdlib/src/ops.sw,100.00
fuels-abigen-macro/tests/test_projects/stdlib/src/storage.sw,100.00
fuels-rs/Cargo.toml,72.00
fuels-rs/src/abi_decoder.rs,100.00
fuels-rs/src/abi_encoder.rs,100.00
fuels-rs/src/code_gen/abigen.rs,93.18
fuels-rs/src/code_gen/bindings.rs,100.00
fuels-rs/src/code_gen/custom_types_gen.rs,56.42
fuels-rs/src/code_gen/docs_gen.rs,100.00
fuels-rs/src/code_gen/functions_gen.rs,98.73
fuels-rs/src/code_gen/mod.rs,100.00
fuels-rs/src/contract.rs,92.66
fuels-rs/src/errors.rs,81.13
fuels-rs/src/json_abi.rs,99.67
fuels-rs/src/lib.rs,60.00
fuels-rs/src/rustfmt.rs,100.00
fuels-rs/src/source.rs,100.00
fuels-rs/src/tokens.rs,100.00
fuels-rs/src/types.rs,99.12
fuels-rs/src/utils.rs,100.00
rustfmt.toml,92.86
fuels-abigen-macro/tests/test_projects/simple_script/Forc.toml,66.67
fuels-abigen-macro/tests/test_projects/simple_script/src/main.sw,100.00
fuels-rs/src/script.rs,95.00
fuels-rs/tests/calls.rs,96.99
fuels-rs/tests/lib.rs,100.00
fuels-abigen-macro/tests/test_projects/lib-core/Forc.toml,62.50
fuels-abigen-macro/tests/test_projects/lib-core/src/lib.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-core/src/ops.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/Forc.toml,40.00
fuels-abigen-macro/tests/test_projects/lib-std/src/address.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/b512.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/block.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/chain.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/chain/auth.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/constants.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/context.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/hash.sw,100.00
fuels-abigen-macro/tests/test_projects/lib-std/src/lib.sw,100.00
