File,Top Contributor Share (%)
Doxyfile,85.05
LICENSE,80.65
arch/alpha/alpha_memory.cc,49.11
arch/alpha/alpha_memory.hh,65.62
arch/alpha/arguments.cc,71.91
arch/alpha/arguments.hh,88.27
arch/alpha/ev5.cc,55.82
arch/alpha/ev5.hh,40.00
arch/alpha/fake_syscall.cc,85.60
arch/alpha/faults.cc,51.91
arch/alpha/faults.hh,51.20
arch/alpha/isa_desc,55.34
arch/alpha/isa_traits.hh,41.23
arch/alpha/osfpal.cc,98.38
arch/alpha/osfpal.hh,96.34
arch/alpha/vtophys.cc,51.16
arch/alpha/vtophys.hh,51.69
arch/isa_parser.py,51.59
base/bitfield.hh,93.24
base/callback.hh,43.61
base/circlebuf.cc,59.74
base/circlebuf.hh,70.24
base/cprintf.cc,87.66
base/cprintf.hh,96.57
base/cprintf_formats.hh,93.65
base/date.cc,96.67
base/dbl_list.hh,98.80
base/endian.hh,97.62
base/fast_alloc.cc,96.46
base/fast_alloc.hh,93.55
base/fifo_buffer.cc,90.91
base/fifo_buffer.hh,88.57
base/hashmap.hh,91.21
base/inet.cc,51.74
base/inet.hh,87.86
base/inifile.cc,76.40
base/inifile.hh,47.77
base/intmath.cc,68.24
base/intmath.h,100.00
base/kgdb.h,100.00
base/misc.cc,62.58
base/misc.hh,84.44
base/mod_num.hh,99.01
base/object_file.cc,80.09
base/object_file.hh,74.80
base/pollevent.cc,96.47
base/pollevent.hh,95.05
base/random.cc,71.82
base/random.hh,59.52
base/range.hh,55.81
base/refcnt.hh,84.14
base/remote_gdb.cc,83.39
base/remote_gdb.hh,87.10
base/res_list.hh,99.21
base/sched_list.hh,96.70
base/socket.cc,94.21
base/socket.hh,96.08
base/statistics.cc,57.18
base/statistics.hh,46.04
base/str.cc,81.37
base/str.hh,87.59
base/symtab.cc,100.00
base/symtab.hh,100.00
base/trace.cc,80.05
base/trace.hh,82.26
dev/alpha_access.h,59.40
dev/alpha_console.cc,31.79
dev/alpha_console.hh,53.47
dev/console.cc,70.29
dev/console.hh,68.37
dev/disk_image.cc,83.56
dev/disk_image.hh,91.55
dev/etherbus.cc,83.12
dev/etherbus.hh,88.76
dev/etherdump.cc,66.67
dev/etherdump.hh,80.00
dev/etherint.cc,88.00
dev/etherint.hh,75.90
dev/etherlink.cc,48.37
dev/etherlink.hh,65.08
dev/etherpkt.hh,41.13
dev/ethertap.cc,90.24
dev/ethertap.hh,86.67
dev/pcireg.h,81.02
dev/simple_disk.cc,80.00
dev/simple_disk.hh,69.77
kern/tru64/tru64.hh,84.73
kern/tru64/tru64_syscalls.cc,99.55
kern/tru64/tru64_syscalls.hh,96.73
sim/async.hh,98.00
sim/base_cpu.cc,100.00
sim/base_cpu.hh,100.00
sim/cache/lzss_compression.cc,100.00
sim/cache/lzss_compression.hh,100.00
sim/cache/null_compression.hh,100.00
sim/debug.cc,90.13
sim/debug.hh,85.00
sim/eventq.cc,62.54
sim/eventq.hh,71.78
sim/exec_context.cc,100.00
sim/exec_context.hh,100.00
sim/exetrace.cc,100.00
sim/exetrace.hh,99.49
sim/host.hh,81.43
sim/hybrid_pred.cc,100.00
sim/hybrid_pred.hh,100.00
sim/intr_control.cc,100.00
sim/intr_control.hh,100.00
sim/main.cc,55.93
sim/memtest.cc,100.00
sim/memtest.hh,100.00
sim/op_class.hh,100.00
sim/param.cc,85.30
sim/param.hh,94.39
sim/pc_event.cc,100.00
sim/pc_event.hh,100.00
sim/predictor.hh,100.00
sim/prog.cc,68.37
sim/prog.hh,91.37
sim/sat_counter.cc,100.00
sim/sat_counter.hh,100.00
sim/serialize.cc,41.97
sim/serialize.hh,56.57
sim/sim_events.cc,85.22
sim/sim_events.hh,77.51
sim/sim_exit.hh,91.11
sim/sim_object.cc,58.46
sim/sim_object.hh,80.80
sim/sim_time.cc,89.94
sim/sim_time.hh,93.33
sim/simple_cpu.cc,100.00
sim/simple_cpu.hh,100.00
sim/smt.hh,100.00
sim/static_inst.cc,100.00
sim/static_inst.hh,100.00
sim/std_types.hh,100.00
sim/system.cc,32.03
sim/system.hh,33.19
sim/universe.cc,64.91
test/Makefile,54.25
test/bitvectest.cc,97.06
test/circletest.cc,96.00
test/cprintftest.cc,98.20
test/foo.ini,70.00
test/initest.cc,58.50
test/initest.ini,100.00
test/lru_test.cc,98.80
test/nmtest.cc,65.79
test/offtest.cc,95.89
test/paramtest.cc,93.75
test/rangetest.cc,79.39
test/sized_test.cc,93.06
test/stattest.cc,79.25
test/strnumtest.cc,93.67
test/symtest.cc,95.06
test/tokentest.cc,62.73
test/tracetest.cc,94.74
util/rundiff,62.93
util/tap/Makefile,85.90
util/tap/tap.cc,65.15
util/term/Makefile,93.75
util/term/term.c,48.00
docs/footer.html,75.00
docs/stl.hh,54.29
arch/alpha/aout_machdep.h,67.47
arch/alpha/ecoff_machdep.h,100.00
base/aout_object.cc,100.00
base/aout_object.hh,100.00
base/coff_sym.h,100.00
base/coff_symconst.h,100.00
base/ecoff_object.cc,100.00
base/ecoff_object.hh,100.00
base/elf_object.cc,100.00
base/elf_object.hh,100.00
base/exec_aout.h,100.00
base/exec_ecoff.h,100.00
base/intmath.hh,74.55
base/hostinfo.cc,95.83
base/hostinfo.hh,95.56
base/compression/lzss_compression.cc,85.71
base/compression/lzss_compression.hh,62.50
base/compression/null_compression.hh,40.00
base/hybrid_pred.cc,50.00
base/hybrid_pred.hh,86.49
base/loader/aout_object.cc,80.77
base/loader/aout_object.hh,83.33
base/loader/ecoff_object.cc,82.35
base/loader/ecoff_object.hh,83.33
base/loader/elf_object.cc,59.65
base/loader/elf_object.hh,47.83
base/loader/exec_aout.h,75.00
base/loader/exec_ecoff.h,75.00
base/loader/object_file.cc,81.03
base/loader/object_file.hh,57.41
base/loader/symtab.cc,51.69
base/loader/symtab.hh,71.74
base/predictor.hh,50.00
base/sat_counter.cc,50.00
base/sat_counter.hh,88.10
cpu/base_cpu.cc,52.71
cpu/base_cpu.hh,37.82
cpu/exec_context.cc,42.73
cpu/exec_context.hh,43.30
cpu/exetrace.cc,58.82
cpu/exetrace.hh,42.86
cpu/full_cpu/op_class.hh,93.33
cpu/full_cpu/smt.hh,100.00
cpu/inst_seq.hh,40.00
cpu/intr_control.cc,75.51
cpu/intr_control.hh,50.00
cpu/memtest/memtest.cc,40.12
cpu/memtest/memtest.hh,34.09
cpu/pc_event.cc,44.68
cpu/pc_event.hh,47.06
cpu/simple_cpu/simple_cpu.cc,35.20
cpu/simple_cpu/simple_cpu.hh,62.20
cpu/static_inst.cc,50.00
cpu/static_inst.hh,34.45
util/emacs/m5-c-style.el,75.00
kern/tru64/dump_mbuf.cc,88.64
kern/tru64/mbuf.hh,79.67
kern/tru64/printf.cc,98.15
kern/tru64/dump_mbuf.hh,90.48
kern/tru64/printf.hh,90.48
kern/tru64/tru64_events.cc,54.17
kern/tru64/tru64_events.hh,68.91
kern/tru64/tru64_system.cc,54.61
kern/tru64/tru64_system.hh,50.21
README,50.14
util/sort-includes,100.00
sim/builder.cc,96.14
sim/builder.hh,99.17
util/tracediff,95.71
util/m5/Makefile,57.50
util/m5/m5.c,61.92
util/m5/m5op.h,39.69
util/m5/m5op.s,99.26
arch/alpha/pseudo_inst.cc,87.88
arch/alpha/pseudo_inst.hh,91.07
system/alpha/console/Makefile,43.63
system/alpha/console/console.c,45.74
system/alpha/console/dbmentry.s,85.20
system/alpha/console/paljtokern.s,94.51
system/alpha/console/paljtoslave.s,97.40
system/alpha/console/paljtoslave.tmp,100.00
system/alpha/console/printf.c,47.91
system/alpha/h/DEC21040.h,100.00
system/alpha/h/Makefile,100.00
system/alpha/h/address.h,100.00
system/alpha/h/am79c960.h,100.00
system/alpha/h/arp.h,100.00
system/alpha/h/base.h,100.00
system/alpha/h/bbram.h,100.00
system/alpha/h/bootp.h,100.00
system/alpha/h/bptable.h,100.00
system/alpha/h/buffer.h,100.00
system/alpha/h/cia.h,95.01
system/alpha/h/eb164.h,89.42
system/alpha/h/eb164mem.h,100.00
system/alpha/h/eb64.h,100.00
system/alpha/h/eb64l.h,100.00
system/alpha/h/eb64mem.h,100.00
system/alpha/h/eb64p.h,100.00
system/alpha/h/eb64pmem.h,100.00
