Field,Value
Commits Overview,
Total Commits,22316
Total Unique Authors,541
,
Top 10 Contributors,
Author,Commits
Gabe Black,33994
Nathan Binkert,10209
Ali Saidi,10151
Steve Reinhardt,8122
Andreas Hansson,7783
Nilay Vaish,7271
Bobby R. Bruce,6427
Daniel R. Carvalho,5899
Andreas Sandberg,4778
Giacomo Travaglini,4442
,
Communication Events,Total: 3324
"Author1,Author2",Events
"Brad Beckmann,Gabe Black",231
"Gabe Black,Ali Saidi",134
"Steve Reinhardt,Nathan Binkert",114
"Nathan Binkert,Steve Reinhardt",84
"Ali Saidi,Gabe Black",82
"Gabe Black,Brad Beckmann",68
"Steve Reinhardt,Brad Beckmann",64
"Alexander Klimov,Giacomo Travaglini",63
"Nathanael Premillieu,Rekai Gonzalez-Alberquilla",62
"Gabe Black,Kevin Lim",44
"Nathan Binkert,Polina Dudnik",41
"Ali Saidi,Steve Reinhardt",41
"Steve Reinhardt,Ali Saidi",41
"Steve Reinhardt,Ron Dreslinski",40
"Joel Hestness,Nilay Vaish",40
"Melissa Jost,Bobby R. Bruce",39
"Gabe Black,Daniel R. Carvalho",34
"Nathan Binkert,Kevin Lim",32
"Nathan Binkert,Dan Gibson",31
"Nathan Binkert,Daniel Sanchez",29
"Ali Saidi,Nathan Binkert",29
"Steve Reinhardt,Yasuko Eckert",29
"Gabe Black,Roger Chang",29
"Kevin Lim,Steve Reinhardt",28
"Nathan Binkert,Derek Hower",27
"Nathan Binkert,Ali Saidi",27
"Derek Hower,Nathan Binkert",25
"Giacomo Gabrielli,Gabe Black",24
"Gabe Black,Nathan Binkert",24
"Andreas Sandberg,Mitch Hayenga",23
"Joel Hestness,Brad Beckmann",21
"Dan Gibson,Nathan Binkert",21
"Steve Reinhardt,Lisa Hsu",20
"Ali Saidi,Andrew Schultz",18
"Kevin Lim,Ron Dreslinski",18
"Ali Jafri,Andreas Hansson",17
"Giacomo Travaglini,Gabe Black",17
"Kevin Lim,Gabe Black",17
"Gabe Black,Giacomo Travaglini",17
"Gabe Black,Ron Dreslinski",17
