Field,Value
Commits Overview,
Total Commits,1648
Total Unique Authors,113
,
Top 10 Contributors,
Author,Commits
Axel Theorell,1004
Anton Osika,642
kristiankyvik,253
Talion,249
Theo McCabe,241
captivus,128
azrv,77
UmerHA,76
Peter Harrington,60
Leonardo Mariga,56
,
Communication Events,Total: 317
"Author1,Author2",Events
"ma-raza,Anton Osika",31
"Anton Osika,Axel Theorell",14
"Axel Theorell,Talion",13
"Theo McCabe,Axel Theorell",11
"Emil Ahlbäck,Anton Osika",8
"Talion,Axel Theorell",8
"sweep-ai[bot],Anton Osika",7
"Anton Osika,Enzo Martin",7
"Anton Osika,Emil Ahlbäck",6
"Carl Thomé,Anton Osika",5
"Anton Osika,Peter Harrington",5
"Patilla Code,Anton Osika",5
"OriAshkenazi,Anton Osika",4
"captivus,UmerHA",4
"Axel Theorell,Anton Osika",4
"Anton Azarov,Anton Osika",4
"Anton Osika,LopeKinz",4
"Leonardo Mariga,Peter Harrington",3
"Ayoub Fletcher,Anton Osika",3
"Jack Eadie,Anton Osika",3
"Anton Osika,Plamen Ivanov",3
"AJ,Anton Osika",3
"Krish Dholakia,Anton Osika",3
"PatillaCode,Jack Eadie",3
"Lukas Petersson,Anton Osika",2
"Romain d'Esparbès,Anton Osika",2
"Patilla Code,Carl Thomé",2
"Peter Harrington,AJ",2
"azrv,Erik Bjäreholt",2
"Talion,Theo McCabe",2
"aroramrinaal,Anton Osika",2
"UmerHA,Anton Osika",2
"captivus,rjsenanayaka",2
"captivus,Axel Theorell",2
"kristiankyvik,Talion",2
"Axel Theorell,Theo McCabe",2
"Artem Moskvin,Yaroslav Halchenko",2
"Axel Theorell,ATheorell",2
"Anton Osika,sweep-ai[bot]",2
"Anton Osika,Patilla Code",2
"Anton Osika,OriAshkenazi",2
"Anton Osika,Leonardo Mariga",2
"Emil Ahlbäck,Junlin Liu",2
"Erik Bjäreholt,ATheorell",2
"Axel Theorell,Vibor Cipan",2
"Gonçalo Moita,Anton Osika",2
"RareMojo,Anton Osika",2
"Romain d'Esparbès,Patilla Code",2
"Erik Bjäreholt,captivus",2
"Enzo Martin,Anton Osika",2
"Artem Moskvin,Anton Osika",2
"Anton Osika,azrv",2
"ATheorell,captivus",1
"Anton Osika,--Explosion--",1
"Anton Osika,ATheorell",1
"ATheorell,Axel Theorell",1
"Anton Osika,PatillaCode",1
"Anton Osika,Nitaym",1
"Anton Osika,Junlin Liu",1
"Anton Osika,Lukas Petersson",1
"Anton Osika,David Verzolla",1
"Anton Osika,David Cameron",1
"Anton Osika,Erik Bjäreholt",1
"Anton Osika,Fabian Hedin",1
"Anton Osika,Daniel McDonald",1
"Anton Osika,Carl Thomé",1
"Anton Osika,AJ",1
"Enzo Martin,Junlin Liu",1
"Anton Osika,Timothy Sturm",1
"Enzo Martin,Emil Ahlbäck",1
"Axel Theorell,Antti Kaihola",1
"Anton Osika,Sibo Van Gool",1
"David Verzolla,Anton Osika",1
"Daniel McDonald,Anton Osika",1
"Axel Theorell,saschalalala",1
"Axel Theorell,Peter Harrington",1
"Ashish,Shubham Attri",1
"Antti Kaihola,hmasdev",1
"Anton Osika,TheoMcCabe",1
