File,Top Contributor Share (%)
README.md,31.53
.gitignore,87.62
.gitmodules,38.33
transformers,100.00
env.yaml,100.00
requirements.txt,78.95
clean.py,100.00
configs/deepspeed/ds_config.json,100.00
configs/train/finetune.yaml,100.00
configs/train/finetune_lora.yaml,100.00
data.py,69.01
read.py,100.00
train.py,91.74
peft,100.00
configs/generate/generate.yaml,92.00
generate.py,98.51
configs/generate/generate_llama.yaml,88.89
eval_data/user_oriented_instructions.jsonl,100.00
eval_self_instruct.py,95.43
configs/eval/generate.yaml,76.19
configs/eval/generate_llama.yaml,100.00
TRAINING_LOG.md,99.66
configs/eval/generate_baseline.yaml,77.27
configs/eval/generate_full.yaml,87.50
configs/eval/generate_large_2.yaml,83.33
configs/eval/generate_large_3.yaml,83.33
eval_figures.py,80.00
launcher.sh,50.00
configs/train/finetune_gptj.yaml,79.31
configs/deepspeed/ds_config_gptj.json,98.11
create_hostname.sh,100.00
head_node_setup.sh,100.00
worker_node_setup.sh,100.00
LICENSE.txt,50.00
configs/inference/gptj.yaml,100.00
inference.py,81.18
configs/train/finetune_gptj_lora.yaml,78.57
build_map.py,96.43
configs/deepspeed/ds_config_gptj_lora.json,100.00
CMakeLists.txt,92.23
LICENSE,99.86
ggml,100.00
gptj.cpp,99.22
gptj.h,94.55
icons/regenerate.svg,100.00
icons/send_message.svg,100.00
icons/stop_generating.svg,100.00
llm.cpp,94.03
llm.h,90.32
main.cpp,100.00
main.qml,85.27
GPTJ.md,100.00
configs/eval/generate_gpt4all_gptj.yaml,80.00
configs/eval/generate_gpt4all_gptj_lora.yaml,100.00
cmake/deploy-qt-windows.cmake.in,100.00
cmake/deploy-qt-linux.cmake.in,100.00
cmake/deploy-qt-mac.cmake.in,100.00
icons/logo.svg,100.00
icons/copy.svg,100.00
configs/eval/generate_gpt4all_llama_lora.yaml,100.00
configs/generate/generate_gptj.yaml,100.00
configs/generate/generate_gptj_lora.yaml,100.00
cmake/installerscript.qs,100.00
llmodel.h,96.05
icons/settings.svg,100.00
cmake/config.h.in,100.00
download.cpp,91.14
download.h,90.41
qml/ModelDownloaderDialog.qml,99.84
llama.cpp,100.00
llamamodel.cpp,100.00
llamamodel.h,100.00
utils.cpp,100.00
utils.h,100.00
test_hw.cpp,100.00
icons/edit.svg,100.00
icons/network.svg,100.00
icons/thumbs_down.svg,100.00
icons/thumbs_up.svg,100.00
network.cpp,100.00
network.h,100.00
qml/NetworkDialog.qml,100.00
qml/ThumbsDownDialog.qml,100.00
qml/SettingsDialog.qml,62.27
qml/PopupDialog.qml,100.00
qml/Theme.qml,86.96
llmodel/CMakeLists.txt,100.00
llmodel/gptj.cpp,100.00
llmodel/gptj.h,100.00
llmodel/llama.cpp,100.00
llmodel/llamamodel.cpp,100.00
llmodel/llamamodel.h,100.00
llmodel/llmodel.h,85.71
llmodel/llmodel_c.h,94.57
cmake/sign_dmg.py,100.00
llmodel/llmodel_c.cpp,90.96
qml/NewVersionDialog.qml,100.00
qml/StartupDialog.qml,100.00
chat.cpp,100.00
chat.h,100.00
chatmodel.h,100.00
chatllm.cpp,98.88
chatllm.h,100.00
qml/ChatDrawer.qml,100.00
gpt4all-api/README.md,76.29
gpt4all-backend/README.md,89.13
gpt4all-bindings/README.md,84.00
gpt4all-chat/README.md,30.00
gpt4all-docker/README.md,100.00
gpt4all-training/TRAINING_LOG.md,100.00
gpt4all-training/build_map.py,100.00
gpt4all-training/clean.py,100.00
gpt4all-training/data.py,100.00
gpt4all-training/eval_figures.py,100.00
gpt4all-training/eval_self_instruct.py,100.00
gpt4all-training/generate.py,100.00
gpt4all-training/inference.py,100.00
gpt4all-training/requirements.txt,100.00
gpt4all-training/train.py,90.62
monorepo_plan.md,100.00
chatlistmodel.h,100.00
icons/trash.svg,100.00
sysinfo.h,100.00
chatlistmodel.cpp,100.00
qml/AboutDialog.qml,100.00
llmodel/mpt.cpp,60.10
llmodel/mpt.h,100.00
convert_hf_to_ggml.py,100.00
dev_setup.md,100.00
.github/ISSUE_TEMPLATE/bug_report.md,90.48
.github/ISSUE_TEMPLATE/feature_request.md,83.33
gpt4all-chat/CMakeLists.txt,51.63
gpt4all-chat/LICENSE,100.00
