File,Top Contributor Share (%)
COPYING,100.00
build.xml,60.89
src/com/google/common/base/CaseFormat.java,96.69
src/com/google/common/base/CharMatcher.java,96.41
src/com/google/common/base/Charsets.java,91.18
src/com/google/common/base/Defaults.java,62.64
src/com/google/common/base/Service.java,92.74
src/com/google/common/base/Splitter.java,88.50
src/com/google/common/base/Throwables.java,98.95
src/com/google/common/io/AppendableWriter.java,98.36
src/com/google/common/io/ByteArrayDataInput.java,97.62
src/com/google/common/io/ByteArrayDataOutput.java,97.78
src/com/google/common/io/ByteProcessor.java,96.23
src/com/google/common/io/ByteStreams.java,99.13
src/com/google/common/io/CharStreams.java,98.89
src/com/google/common/io/Closeables.java,98.13
src/com/google/common/io/CountingInputStream.java,97.89
src/com/google/common/io/CountingOutputStream.java,96.88
src/com/google/common/io/FileBackedOutputStream.java,98.15
src/com/google/common/io/Files.java,97.19
src/com/google/common/io/Flushables.java,93.10
src/com/google/common/io/InputSupplier.java,73.47
src/com/google/common/io/LimitInputStream.java,98.20
src/com/google/common/io/LineBuffer.java,98.36
src/com/google/common/io/LineProcessor.java,96.00
src/com/google/common/io/LineReader.java,97.85
src/com/google/common/io/MultiInputStream.java,98.33
src/com/google/common/io/MultiReader.java,97.89
src/com/google/common/io/NullOutputStream.java,95.35
src/com/google/common/io/OutputSupplier.java,71.43
src/com/google/common/io/PatternFilenameFilter.java,96.92
src/com/google/common/io/Resources.java,98.28
src/com/google/common/io/package-info.java,97.87
src/com/google/common/primitives/Booleans.java,98.57
src/com/google/common/primitives/Bytes.java,99.00
src/com/google/common/primitives/Chars.java,96.55
src/com/google/common/primitives/Doubles.java,98.48
src/com/google/common/primitives/Floats.java,98.48
src/com/google/common/primitives/Ints.java,96.57
src/com/google/common/primitives/Longs.java,95.00
src/com/google/common/primitives/Primitives.java,97.30
src/com/google/common/primitives/Shorts.java,96.14
src/com/google/common/primitives/SignedBytes.java,97.38
src/com/google/common/primitives/UnsignedBytes.java,98.22
src/com/google/common/primitives/generate.sh,97.56
src/com/google/common/util/concurrent/AbstractCheckedFuture.java,74.18
src/com/google/common/util/concurrent/AbstractExecutionThreadService.java,96.61
src/com/google/common/util/concurrent/AbstractFuture.java,96.24
src/com/google/common/util/concurrent/AbstractIdleService.java,95.03
src/com/google/common/util/concurrent/AbstractListenableFuture.java,95.59
src/com/google/common/util/concurrent/AbstractService.java,90.29
