Field,Value
Commits Overview,
Total Commits,6843
Total Unique Authors,484
,
Top 10 Contributors,
Author,Commits
cpovirk,24483
Chris Povirk,3604
guava.mirrorbot@gmail.com,3112
Charles Fry,2071
Kurt Kluever,1768
cgdecker,1690
Colin Decker,1462
kak,1420
zhenghua,1382
lowasser,1298
,
Communication Events,Total: 853
"Author1,Author2",Events
"kak,cpovirk",46
"zhenghua,ronshapiro",45
"cpovirk,Martin Kretzschmar",44
"Martin Kretzschmar,cpovirk",32
"chrisn,poddark",26
"cushon,cpovirk",25
"lowasser,kevinb",18
"tomxlee,zlt",18
"lowasser,cpovirk",17
"cgruberatgoog,guava.mirrorbot@gmail.com",17
"guava.mirrorbot@gmail.com,cgruberatgoog",15
"cpovirk,Google Java Core Libraries",14
"Louis Wasserman,Chris Povirk",12
"kevinb,lowasser",12
"Andrei Korzhevskii,moz",12
"Chris Povirk,Louis Wasserman",12
"mboyington,cpovirk",11
"Google Java Core Libraries,cpovirk",11
"mfboulos,cpovirk",10
"Kurt Alfred Kluever,cpovirk",9
"cpovirk,lowasser",9
"lukes,cpovirk",9
"clm,cpovirk",8
"cpovirk,jijiang",8
"jasexton,jrtom",8
"Stefan Haustein,cpovirk",8
"cedric.ai,cpovirk",8
"cgdecker,cpovirk",7
"cpovirk,Éamonn McManus",7
"cpovirk,cgdecker",7
"cpovirk,gridman",7
"cushon,kevinb",6
"Oleksii Bondar,cushon",6
"Éamonn McManus,cpovirk",6
"kevinb@google.com,guava.mirrorbot@gmail.com",6
"kak,kevinb",5
"xingx,tomxlee",5
"Charles Fry,Kurt Kluever",5
"cgdecker,kak",5
"cpovirk,lukes",5
"jijiang,cpovirk",5
"lowasser,cnsun",5
"goktug,tap-prod",5
"eaftan,cpovirk",4
"cpovirk,jonathansun",4
"dlorant,cpovirk",4
"jrtom,kak",4
"Julien Dramaix,cpovirk",4
"clm,binxu",4
"Nhat Dinh,Hari Menon",4
"kevinb,cpovirk",4
"jrtom,jasexton",4
"kak,lowasser",4
"jonathansun,cpovirk",4
"jnyman,jrtom",4
"lowasser,kak",4
"moodysalem,kak",4
"lukes,aravinds",3
"kak,cgdecker",3
"cpovirk,kevinb",3
"haustein,cpovirk",3
"haustein,dshaffer",3
"nharmata,cpovirk",3
"cpovirk,cgruber",3
"kevinb,kak",3
"lukes,cgdecker",3
"aravinds,lukes",3
"cgdecker,lowasser",3
"cpovirk,kak",3
"Chris Povirk,Colin Decker",2
"chrisn,cpovirk",2
"zhenghua,clawr",2
"yorick,cpovirk",2
"Éamonn McManus,Google Java Core Libraries",2
"xingx,cushon",2
"tap-prod,goktug",2
"karthik.bhat,David P. Baker",2
"lowasser,Google Java Core Libraries",2
"lowasser,cushon",2
"kak,svas",2
"kak,jasexton",2
"mscherer,cgdecker",2
"wanyingd,cpovirk",2
"paulduffin,cpovirk",2
"mkbehr,kak",2
"lukes,sumir",2
"lukes,gridman",2
"tobe,cpovirk",2
"sumir,sergeyv",2
"cushon,lukes",2
"dpb,glorioso",2
