File,Top Contributor Share (%)
LICENSE,100.00
README.md,55.87
hackingtool.py,70.12
install.sh,40.00
requirement.txt,100.00
update.sh,55.21
img,100.00
images/demo,100.00
.github/ISSUE_TEMPLATE/bug_report.md,100.00
.github/ISSUE_TEMPLATE/feature_request.md,100.00
README_template.md,86.75
core.py,88.94
generate_readme.py,98.11
tools/anonsurf.py,90.00
tools/ddos.py,39.29
tools/exploit_frameworks.py,83.33
tools/forensic_tools.py,85.85
tools/information_gathering_tools.py,89.75
tools/other_tools.py,97.87
tools/others/android_attack.py,95.71
tools/others/email_verifier.py,76.00
tools/others/hash_crack.py,100.00
tools/others/homograph_attacks.py,100.00
tools/others/mix_tools.py,53.66
tools/others/payload_injection.py,100.00
tools/others/socialmedia.py,91.36
tools/others/socialmedia_finder.py,93.41
tools/others/web_crawling.py,100.00
tools/others/wifi_jamming.py,92.50
tools/payload_creator.py,95.27
tools/phising_attack.py,52.42
tools/post_exploitation.py,100.00
tools/remote_administration.py,97.30
tools/reverse_engineering.py,98.25
tools/sql_tools.py,97.50
tools/steganography.py,79.07
tools/tool_manager.py,95.65
tools/webattack.py,82.48
tools/wireless_attack_tools.py,86.11
tools/wordlist_generator.py,93.65
tools/xss_attack.py,94.16
.github/ISSUE_TEMPLATE/workflows/lint_python.yml,100.00
.github/workflows/lint_python.yml,97.06
Dockerfile,70.59
docker-compose.yml,71.43
tools/__init__.py,100.00
.gitignore,100.00
requirements.txt,100.00
.github/workflows/test_install.yml,100.00
