File,Top Contributor Share (%)
alu.sv,44.83
controller.sv,59.29
debug_unit.sv,58.02
ex_stage.sv,38.47
id_stage.sv,40.09
if_stage.sv,57.42
include/defines.sv,98.17
instr_core_interface.sv,59.79
load_store_unit.sv,53.69
mult.sv,40.61
register_file.sv,48.44
riscv_core.sv,68.38
wb_stage.sv,97.98
exc_controller.sv,69.84
cs_registers.sv,50.63
compressed_decoder.sv,89.42
.gitignore,32.00
hwloop_controller.sv,71.03
hwloop_regs.sv,68.56
docs/datasheet/Makefile,100.00
docs/datasheet/content/csr.tex,100.00
docs/datasheet/content/if.tex,100.00
docs/datasheet/content/lsu.tex,100.00
docs/datasheet/content/mac.tex,100.00
docs/datasheet/content/overview.tex,100.00
docs/datasheet/content/perfcounters.tex,100.00
docs/datasheet/datasheet.tex,100.00
docs/datasheet/figures_raw/events.obj,100.00
docs/datasheet/figures_raw/ri5cy_overview.obj,100.00
docs/datasheet/preamble/preamble.tex,99.22
prefetch_buffer.sv,68.08
decoder.sv,44.59
prefetch_L0_buffer.sv,83.25
LICENSE,51.27
include/riscv_defines.sv,51.26
register_file_ff.sv,46.18
docs/datasheet/content/aluext.tex,100.00
docs/datasheet/content/debug.tex,100.00
docs/datasheet/content/exceptions.tex,100.00
docs/datasheet/content/hwloop.tex,100.00
docs/datasheet/content/rf.tex,100.00
docs/datasheet/content/title.tex,100.00
riscv_tracer.sv,86.52
src_files.txt,100.00
riscv_simchecker.sv,91.55
README.md,22.46
docs/datasheet/content/pipeline.tex,100.00
docs/datasheet/figures_raw/pipeline.obj,100.00
src_files.yml,29.84
include/riscv_tracer_defines.sv,55.10
alu_div.sv,99.74
tb/serDiv/scripts/compile.sh,100.00
tb/serDiv/scripts/sim.sh,100.00
tb/serDiv/scripts/tb.do,100.00
tb/serDiv/scripts/tb_nogui.do,100.00
tb/serDiv/scripts/wave.do,100.00
tb/serDiv/tb.sv,99.71
tb/serDiv/tb_div.sv,100.00
tb/serDiv/tb_rem.sv,100.00
tb/serDiv/tb_udiv.sv,100.00
tb/serDiv/tb_urem.sv,100.00
include/riscv_config.sv,84.02
alu_simplified.sv,96.14
prefetch_buffer_small.sv,99.88
scripts/.gitignore,100.00
scripts/ri5cly-manage.py,100.00
scripts/example_configs/00_all_features_enabled.sv,100.00
scripts/example_configs/01_no_mul.sv,100.00
scripts/example_configs/02_no_mul_no_vec.sv,100.00
scripts/example_configs/03_no_mul_no_vec_no_hwlp.sv,100.00
scripts/example_configs/04_no_mul_no_vec_no_hwlp_no_bit.sv,100.00
scripts/example_configs/05_no_mul_no_vec_no_hwlp_no_bit_no_idjump.sv,100.00
scripts/example_configs/06_no_mul_no_vec_no_hwlp_no_bit_no_idjump_no_lsuadder_no_prepost.sv,100.00
scripts/example_configs/07_no_mul_no_vec_no_hwlp_no_bit_no_idjump_no_lsuadder_no_prepost_no_special.sv,100.00
scripts/example_configs/08_no_mul_no_vec_no_hwlp_no_bit_no_idjump_no_lsuadder_no_prepost_no_special_no_3r2wregs.sv,100.00
scripts/example_configs/09_no_mul_no_vec_no_hwlp_no_bit_no_idjump_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu.sv,100.00
scripts/example_configs/10_no_mul_no_vec_no_hwlp_no_bit_no_idjump_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif.sv,100.00
scripts/example_configs/11_no_mul_no_vec_no_hwlp_no_bit_no_idjump_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif_rv32e.sv,100.00
scripts/synopsys_setup_scripts/setup_10.tcl,100.00
scripts/synopsys_setup_scripts/setup_3.tcl,100.00
scripts/synopsys_setup_scripts/setup_5.tcl,100.00
scripts/synthesize_all_clocks_all_configs.csh,100.00
scripts/example_configs/05_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost.sv,100.00
scripts/example_configs/06_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special.sv,100.00
scripts/example_configs/07_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs.sv,100.00
scripts/example_configs/08_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu.sv,100.00
scripts/example_configs/09_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif.sv,100.00
prefetch_buffer_only_aligned.sv,99.73
scripts/example_configs/11_very_small_only_aligned.sv,100.00
scripts/example_configs/10_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif_no_jumpinid.sv,100.00
scripts/example_configs/11_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif_no_jumpinid_rv32e.sv,100.00
scripts/example_configs/12_very_small_only_aligned.sv,100.00
alu_simplified_splitted.sv,98.87
scripts/example_configs/11_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif_rv32e.sv,100.00
scripts/example_configs/12_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_with_smallif_rv32e_with_splittedadder.sv,100.00
scripts/example_configs/13_rv32e_merged_pipeline.sv,100.00
scripts/example_configs/14_rv32e_merged_pipeline_only_aligned.sv,100.00
scripts/example_configs/15_rv32e_merged_pipeline_only_aligned_no_jumpadder.sv,100.00
scripts/example_configs/10_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_no_jumpinid.sv,100.00
scripts/example_configs/11_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_no_jumpinid_rv32e.sv,100.00
scripts/example_configs/12_no_mul_no_vec_no_hwlp_no_bit_no_lsuadder_no_prepost_no_special_no_3r2wregs_with_simplealu_rv32e_with_splittedadder.sv,100.00
scripts/example_configs/16_merged_pipeline_no_jumpadder.sv,100.00
THIS_CORE_IS_AUTOMATICALLY_GENERATATED!!!.txt,100.00
littleriscv_core.sv,100.00
zeroriscy_core.sv,98.63
include/zeroriscy_config.sv,92.00
include/zeroriscy_defines.sv,95.74
include/zeroriscy_tracer_defines.sv,93.55
zeroriscy_tracer.sv,99.75
mult_16.sv,100.00
mult_16_hq.sv,100.00
mult_32.sv,100.00
mult_32_2.sv,100.00
mult_32_hq.sv,100.00
mult_33.sv,100.00
mult_33_hq.sv,100.00
mult_BW33_hq.sv,100.00
mult_dir/alu.sv,100.00
mult_dir/decoder.sv,100.00
mult_dir/ex_stage.sv,100.00
mult_dir/id_stage.sv,100.00
mult_dir/mult.sv,100.00
mult_dir/zeroriscy_core.sv,100.00
mult_h.sv,100.00
mult_hq.sv,100.00
mult_fast.sv,100.00
mult_slow.sv,100.00
multdiv_slow.sv,100.00
multdiv_fast.sv,100.00
zeroriscy_alu.sv,91.67
zeroriscy_compressed_decoder.sv,94.87
zeroriscy_controller.sv,99.17
zeroriscy_cs_registers.sv,94.04
zeroriscy_debug_unit.sv,92.50
zeroriscy_decoder.sv,96.92
zeroriscy_ex_stage.sv,100.00
zeroriscy_exc_controller.sv,100.00
zeroriscy_fetch_fifo.sv,91.53
zeroriscy_id_stage.sv,97.06
zeroriscy_if_stage.sv,96.23
zeroriscy_load_store_unit.sv,93.02
zeroriscy_multdiv_fast.sv,95.92
zeroriscy_multdiv_slow.sv,95.65
zeroriscy_prefetch_buffer.sv,99.29
zeroriscy_register_file.sv,92.50
zeroriscy_register_file_ff.sv,93.18
zeroriscy_ex_block.sv,86.67
zeroriscy_int_controller.sv,94.41
.gitlab-ci.yml,100.00
ci/dummy.csh,100.00
doc/.gitignore,100.00
doc/Makefile,90.91
doc/conf.py,69.49
doc/copyright.rst,66.67
doc/cs_registers.rst,41.29
doc/debug.rst,81.49
doc/exception_interrupts.rst,70.67
doc/images/blockdiagram.svg,81.97
doc/images/pcer.svg,100.00
doc/index.rst,41.43
doc/instruction_fetch.rst,45.52
doc/introduction.rst,33.33
doc/load_store_unit.rst,67.21
doc/make.bat,97.30
doc/performance_counters.rst,47.40
doc/register_file.rst,59.81
doc/requirements.txt,53.33
doc/images/timing1.json,100.00
doc/images/timing2.json,100.00
doc/images/timing3.json,100.00
doc/interrupts.rst,80.00
doc/integration.rst,39.56
ibex_alu.sv,100.00
ibex_compressed_decoder.sv,100.00
ibex_controller.sv,100.00
ibex_core.sv,100.00
ibex_cs_registers.sv,100.00
ibex_debug_unit.sv,100.00
ibex_decoder.sv,100.00
ibex_ex_block.sv,100.00
ibex_fetch_fifo.sv,100.00
ibex_id_stage.sv,100.00
ibex_if_stage.sv,100.00
ibex_int_controller.sv,100.00
ibex_load_store_unit.sv,100.00
ibex_multdiv_fast.sv,100.00
ibex_multdiv_slow.sv,100.00
ibex_prefetch_buffer.sv,100.00
ibex_register_file.sv,100.00
ibex_register_file_ff.sv,100.00
ibex_tracer.sv,100.00
include/ibex_config.sv,100.00
include/ibex_defines.sv,100.00
include/ibex_tracer_defines.sv,100.00
rtl/ibex_alu.sv,76.34
rtl/ibex_compressed_decoder.sv,50.67
rtl/ibex_controller.sv,34.07
rtl/ibex_core.sv,29.15
rtl/ibex_cs_registers.sv,29.67
rtl/ibex_debug_unit.sv,96.88
rtl/ibex_decoder.sv,35.39
rtl/ibex_ex_block.sv,22.94
rtl/ibex_fetch_fifo.sv,59.57
rtl/ibex_id_stage.sv,29.48
rtl/ibex_if_stage.sv,31.46
rtl/ibex_int_controller.sv,74.24
rtl/ibex_load_store_unit.sv,39.86
rtl/ibex_multdiv_fast.sv,36.13
rtl/ibex_multdiv_slow.sv,31.88
