File,Top Contributor Share (%)
.gitignore,57.02
libmpv/include/mpv/client.h,96.41
libmpv/include/mpv/opengl_cb.h,94.15
libmpv/include/mpv/qthelper.hpp,100.00
mpvx.xcodeproj/project.pbxproj,100.00
mpvx.xcodeproj/project.xcworkspace/contents.xcworkspacedata,100.00
mpvx/AppData.swift,100.00
mpvx/AppDelegate.swift,100.00
mpvx/Assets.xcassets/AppIcon.appiconset/Contents.json,100.00
mpvx/Base.lproj/MainMenu.xib,100.00
mpvx/Environment.swift,100.00
mpvx/Error.swift,100.00
mpvx/Info.plist,100.00
mpvx/MPVController.swift,100.00
mpvx/MainWindow.swift,100.00
mpvx/MainWindow.xib,100.00
mpvx/Parameter.swift,100.00
mpvx/PlayerController.swift,100.00
mpvx/Utility.swift,100.00
mpvx/VideoView.swift,100.00
mpvx/VideoView_bk.swift,100.00
mpvx/mpvx-Bridging-Header.h,100.00
mpvxTests/Info.plist,100.00
mpvxTests/mpvxTests.swift,100.00
mpvx/Assets.xcassets/Contents.json,100.00
mpvx/Assets.xcassets/pause.imageset/Contents.json,100.00
mpvx/Assets.xcassets/play.imageset/Contents.json,100.00
mpvx/ControlBarView.swift,100.00
mpvx/Preference.swift,100.00
mpvx/PreferenceWindow.swift,100.00
mpvx/PreferenceWindow.xib,100.00
mpvx/fragmentShader.glsl,100.00
mpvx/vertexShader.glsl,100.00
mpvx/MPVExtend.swift,100.00
mpvx/PlaySliderCell.swift,100.00
mpvx/PlaybackInfo.swift,100.00
mpvx/VideoTime.swift,100.00
mpvx/VolumeSliderCell.swift,100.00
mpvx/MPVProperty.swift,100.00
other/MPVProperty.swift,100.00
other/parse_doc.rb,54.38
mpvx/MPVCommand.swift,100.00
mpvx/MPVOption.swift,100.00
mpvx/Assets.xcassets/mute.imageset/Contents.json,100.00
mpvx/Assets.xcassets/volume.imageset/Contents.json,100.00
mpvx/OSDMessage.swift,100.00
mpvx/Assets.xcassets/speed.imageset/Contents.json,100.00
mpvx/Assets.xcassets/speedl.imageset/Contents.json,100.00
mpvx/Assets.xcassets/minus.imageset/Contents.json,100.00
mpvx/Assets.xcassets/plus.imageset/Contents.json,100.00
mpvx/MPVTrack.swift,100.00
mpvx/QuickSettingPanel.swift,100.00
mpvx/QuickSettingPanel.xib,100.00
mpvx/QuickSettingView.swift,100.00
mpvx/QuickSettingView.xib,100.00
mpvx/Assets.xcassets/chevron_up.imageset/Contents.json,100.00
mpvx/RoundedTextFieldCell.swift,100.00
mpvx/Extensions.swift,100.00
mpvx/Formatters.swift,100.00
mpvx/SlideUpButton.swift,100.00
mpvx/MPVPlaylistItem.swift,100.00
mpvx/PlaylistView.swift,100.00
mpvx/PlaylistView.xib,100.00
mpvx/Assets.xcassets/playlist.imageset/Contents.json,100.00
mpvx/Assets.xcassets/settings.imageset/Contents.json,100.00
mpvx/tools/autoload.lua,100.00
mpvx/ChapterTableCellView.swift,100.00
mpvx/MPVChapter.swift,100.00
mpvx/PlayerCore.swift,100.00
mpvx/MainWindowController.swift,100.00
mpvx/PlaylistViewController.swift,100.00
mpvx/QuickSettingViewController.swift,100.00
mpvx/FlippedView.swift,100.00
mpvx/MainWindowController.xib,100.00
mpvx/QuickSettingViewController.xib,100.00
mpvx/MenuController.swift,100.00
mpvx/Aspect.swift,100.00
mpvx/MPVFilter.swift,100.00
libmpv/include/mpv/stream_cb.h,100.00
mpvx/RoundedColorWell.swift,100.00
mpvx/SettingsListCellView.swift,100.00
other/change_lib_dependencies.rb,43.94
mpvx/CharEncoding.swift,100.00
mpvx/FixedFontManager.h,100.00
mpvx/FixedFontManager.m,100.00
mpvx/FontPickerWindowController.swift,100.00
mpvx/FontPickerWindowController.xib,100.00
Podfile,56.41
Podfile.lock,35.92
mpvx.xcworkspace/contents.xcworkspacedata,100.00
mpvx/PreferenceGeneralViewController.swift,100.00
mpvx/PreferenceGeneralViewController.xib,100.00
mpvx/Assets.xcassets/mute-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/pause-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/play-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/playlist-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/settings-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/speed-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/speedl-dark.imageset/Contents.json,100.00
mpvx/Assets.xcassets/volume-dark.imageset/Contents.json,100.00
mpvx/PlaylistDragDestView.swift,100.00
mpvx/PlaylistViewController.xib,100.00
mpvx/KeyCodeHelper.swift,100.00
mpvx/config/input.conf,100.00
mpvx/KeyMapping.swift,100.00
