File,Top Contributor Share (%)
.gitignore,100.00
LICENSE,100.00
Cargo.toml,100.00
README.md,99.35
examples/animations.rs,100.00
examples/concurrent_bars.rs,100.00
examples/download_file/Cargo.toml,100.00
examples/download_file/src/main.rs,100.00
examples/ffpb/Cargo.toml,100.00
examples/ffpb/src/main.rs,100.00
examples/file_buffer.rs,100.00
examples/main.rs,100.00
examples/manual_bar.rs,100.00
examples/nested_bars.rs,100.00
examples/threaded_bars.rs,100.00
examples/unknown.rs,100.00
kdam_cli/Cargo.toml,100.00
kdam_cli/src/main.rs,100.00
src/fmt_data.rs,100.00
src/iterator_bar.rs,100.00
src/lib.rs,100.00
src/multi_bar.rs,100.00
src/std_bar.rs,100.00
src/styles.rs,100.00
src/term.rs,100.00
examples/iterator_wrap.rs,100.00
src/internal.rs,100.00
examples/monitor_mode.rs,100.00
src/format.rs,100.00
src/tqdm_macro.rs,100.00
examples/experimental/monitor_mode.rs,100.00
examples/file_download/Cargo.toml,100.00
examples/file_download/src/main.rs,100.00
examples/file_io.rs,100.00
examples/multiple.rs,100.00
examples/nested.rs,100.00
examples/simple.rs,100.00
examples/to_threadpool.rs,100.00
showcase/animations.rs,100.00
showcase/stats.rs,100.00
examples/redirect_output.rs,100.00
examples/coloured.rs,100.00
examples/description_and_additional_stats.rs,100.00
examples/write.rs,100.00
bench/bench.py,100.00
examples/bench_with_python.rs,100.00
examples/in_between.rs,100.00
examples/smooth.rs,100.00
src/lock.rs,100.00
examples/bar_multi_thread.rs,100.00
examples/bar_nested.rs,100.00
examples/bar_simple.rs,100.00
examples/bar_unknown.rs,100.00
examples/misc_coloured.rs,100.00
examples/misc_file_copy.rs,100.00
examples/misc_max_fps.rs,100.00
examples/misc_redirect_output.rs,100.00
examples/msg_between.rs,100.00
examples/msg_simple.rs,100.00
examples/msg_write.rs,100.00
examples/showcase_animations.rs,100.00
examples/showcase_bench.rs,100.00
examples/misc_fira_code.rs,100.00
CHANGELOG.md,100.00
examples/bar_input.rs,100.00
examples/bar_custom_animation.rs,100.00
examples/bar_wrap.rs,100.00
examples/misc_monitor_mode.rs,100.00
examples/bar_rich.rs,100.00
src/monitor.rs,100.00
src/rich.rs,100.00
src/utils.rs,100.00
src/prelude.rs,100.00
src/bar.rs,100.00
src/iterator.rs,100.00
src/macros.rs,100.00
src/manager.rs,100.00
examples/misc_row_manager.rs,100.00
.github/workflows/rust.yml,100.00
examples/misc_row_manager_leave.rs,100.00
LICENSE-APACHE,100.00
LICENSE-MIT,100.00
examples/bar_template.rs,100.00
examples/misc_spinner.rs,100.00
src/progress/bar.rs,95.90
src/progress/iterator.rs,100.00
src/progress/methods.rs,100.00
src/progress/mod.rs,100.00
src/progress/rich.rs,100.00
src/styles/animation.rs,100.00
src/styles/format.rs,51.85
src/styles/mod.rs,100.00
src/styles/rich.rs,100.00
src/styles/spinner.rs,100.00
src/term/colours.rs,100.00
src/term/env.rs,100.00
src/term/mod.rs,100.00
src/term/string.rs,100.00
src/term/writer.rs,100.00
src/thread/manager.rs,100.00
src/thread/mod.rs,100.00
src/thread/monitor.rs,100.00
examples/bar_gradient.rs,100.00
examples/coloured/gradient.rs,100.00
examples/coloured/solid.rs,100.00
examples/messages/between.rs,100.00
examples/messages/input.rs,100.00
examples/messages/simple.rs,100.00
examples/messages/write.rs,100.00
examples/miscellaneous/file_copy.rs,100.00
examples/miscellaneous/file_download/Cargo.toml,100.00
examples/miscellaneous/file_download/src/main.rs,100.00
examples/miscellaneous/max_fps.rs,100.00
examples/miscellaneous/monitor_mode.rs,100.00
examples/miscellaneous/redirect_output.rs,100.00
examples/multiple/row_manager_clean.rs,100.00
examples/multiple/row_manager_keep.rs,100.00
examples/multiple/thread.rs,100.00
examples/rich.rs,100.00
examples/showcase/animations.rs,100.00
examples/showcase/fira_code.rs,100.00
examples/showcase/spinner.rs,100.00
examples/template.rs,100.00
src/progress/extensions.rs,100.00
.github/workflows/tests.yml,100.00
examples/miscellaneous/inverse_unit.rs,100.00
DOCS.md,100.00
src/rich/mod.rs,100.00
src/rich/styles.rs,100.00
src/spinner.rs,100.00
src/rich/bar.rs,100.00
src/std/bar.rs,100.00
src/std/extension.rs,100.00
src/std/mod.rs,100.00
src/std/styles.rs,100.00
examples/miscellaneous/custom.rs,100.00
src/std/iterator.rs,100.00
src/std/manager.rs,100.00
src/std/monitor.rs,100.00
kdam/CHANGELOG.md,100.00
kdam/Cargo.toml,98.31
kdam/DOCS.md,100.00
kdam/LICENSE-MIT,100.00
kdam/README.md,100.00
kdam/examples/coloured/gradient.rs,100.00
kdam/examples/coloured/solid.rs,100.00
kdam/examples/messages/between.rs,82.35
kdam/examples/messages/input.rs,100.00
kdam/examples/messages/simple.rs,100.00
kdam/examples/messages/write.rs,100.00
kdam/examples/miscellaneous/custom.rs,100.00
kdam/examples/miscellaneous/file_copy.rs,100.00
kdam/examples/miscellaneous/file_download/Cargo.toml,100.00
kdam/examples/miscellaneous/file_download/src/main.rs,100.00
kdam/examples/miscellaneous/inverse_unit.rs,100.00
kdam/examples/miscellaneous/max_fps.rs,100.00
kdam/examples/miscellaneous/monitor_mode.rs,100.00
kdam/examples/miscellaneous/redirect_output.rs,100.00
kdam/examples/multiple/nested.rs,100.00
kdam/examples/multiple/row_manager_clean.rs,100.00
kdam/examples/multiple/row_manager_keep.rs,100.00
kdam/examples/multiple/thread.rs,100.00
kdam/examples/rich.rs,100.00
kdam/examples/showcase/animations.rs,100.00
kdam/examples/showcase/fira_code.rs,100.00
kdam/examples/showcase/spinner.rs,86.96
kdam/examples/simple.rs,100.00
kdam/examples/template.rs,100.00
kdam/examples/unknown.rs,100.00
kdam/src/format.rs,100.00
kdam/src/lib.rs,100.00
kdam/src/rich/bar.rs,100.00
kdam/src/rich/styles.rs,100.00
kdam/src/spinner.rs,100.00
kdam/src/std/bar.rs,96.13
kdam/src/std/extension.rs,100.00
kdam/src/std/iterator.rs,100.00
kdam/src/std/manager.rs,90.83
kdam/src/std/mod.rs,100.00
kdam/src/std/monitor.rs,100.00
kdam/src/std/styles.rs,100.00
kdam/src/term/colours.rs,100.00
kdam/src/term/mod.rs,82.61
kdam/src/term/writer.rs,50.68
kdam/src/utils.rs,100.00
kdam_derive/Cargo.toml,100.00
kdam_derive/src/lib.rs,100.00
kdam_derive/CHANGELOG.md,100.00
kdam_derive/LICENSE-APACHE,100.00
kdam_derive/LICENSE-MIT,100.00
kdam_derive/README.md,100.00
.github/FUNDING.yml,100.00
kdam/examples/miscellaneous/rayon.rs,100.00
kdam/examples/notebook/Cargo.toml,76.92
kdam/examples/notebook/build.rs,100.00
kdam/examples/notebook/notebook.ipynb,100.00
kdam/examples/notebook/src/lib.rs,97.87
kdam/src/std/notebook.rs,66.67
