File,Top Contributor Share (%)
Makefile,38.38
loadtests/__init__.py,100.00
loadtests/bench.ini,100.00
readinglist/__init__.py,46.32
readinglist/auth.py,100.00
readinglist/schemas.py,100.00
run.py,100.00
settings.py,100.00
README.rst,66.14
readinglist/events.py,100.00
requirements.txt,34.56
readinglist/views.py,100.00
readinglist/tests.py,100.00
readinglist.ini,100.00
readinglist/run.py,100.00
readinglist/settings.py,100.00
.gitignore,26.67
dev-requirements.txt,33.28
setup.py,38.13
readinglist/hooks.py,100.00
readinglist/exceptions.py,100.00
development.cfg,100.00
readinglist/tests/test_views.py,100.00
readinglist/fxa/__init__.py,100.00
readinglist/fxa/tests.py,100.00
readinglist/fxa/views.py,100.00
conf/readinglist.ini,92.86
readinglist/backend/__init__.py,41.61
readinglist/backend/exceptions.py,100.00
readinglist/backend/id_generator.py,100.00
readinglist/backend/memory.py,79.39
readinglist/tests/support.py,85.93
readinglist/tests/test_backend.py,41.87
readinglist/tests/test_views_article.py,89.14
readinglist/tests/test_views_device.py,100.00
readinglist/tests/test_views_hello.py,62.12
readinglist/views/article.py,92.11
readinglist/views/device.py,100.00
readinglist/views/hello.py,62.16
readinglist/decorators.py,100.00
readinglist/authentication.py,69.38
readinglist/resource.py,66.73
readinglist/tests/test_views_article_status.py,100.00
readinglist/views/article_status.py,100.00
readinglist/tests/test_schemas.py,95.43
readinglist/tests/test_views_oauth.py,55.30
readinglist/views/oauth.py,64.79
readinglist/tests/test_authentication.py,85.88
readinglist/tests/test_views_heartbeat.py,60.00
readinglist/views/heartbeat.py,91.67
readinglist/views/errors.py,78.24
.travis.yml,40.25
tox.ini,31.78
MANIFEST.in,32.43
readinglist/tests/test_views_errors.py,63.46
readinglist/util.py,100.00
readinglist/utils.py,67.18
readinglist/errors.py,66.49
loadtests/server.ini,87.65
loadtests/test.ini,100.00
readinglist/tests/test_utils.py,80.39
config/readinglist.ini,66.67
loadtests/Makefile,57.43
loadtests/config/bench.ini,83.33
loadtests/config/megabench.ini,54.55
loadtests/config/test.ini,84.62
loadtests/loadtest/__init__.py,88.13
readinglist/backend/redis.py,100.00
readinglist/backend/simpleredis.py,75.50
readinglist/tests/test_views_cors.py,93.33
CHANGELOG,50.00
docs/Makefile,100.00
docs/conf.py,39.83
docs/index.rst,48.31
docs/install.pip,100.00
docs/api.rst,88.10
