Field,Value
Commits Overview,
Total Commits,8814
Total Unique Authors,148
,
Top 10 Contributors,
Author,Commits
Mathieu Leplatre,7464
Rémy HUBSCHER,3265
Ethan Glasser-Camp,1035
Alexis Métaireau,843
dependabot[bot],814
dependabot-preview[bot],499
pyup-bot,371
Gabriela Surita,369
Pascal,168
Mathieu Agopian,140
,
Communication Events,Total: 1286
"Author1,Author2",Events
"Rémy HUBSCHER,Mathieu Leplatre",319
"Mathieu Leplatre,Rémy HUBSCHER",273
"Alexis Métaireau,Mathieu Leplatre",98
"Mathieu Leplatre,Alexis Métaireau",90
"Alexis Métaireau,Rémy HUBSCHER",43
"Rémy HUBSCHER,Alexis Métaireau",42
"Peter Bengtsson,Mathieu Leplatre",32
"Ethan Glasser-Camp,Mathieu Leplatre",31
"Mathieu Leplatre,Ethan Glasser-Camp",26
"Gabriela Surita,Mathieu Leplatre",17
"Gabriela Surita,Gabi Surita",12
"Mathieu Leplatre,Gabriela Surita",11
"Mathieu Leplatre,Tarek Ziade",10
"Gabi Surita,Gabriela Surita",10
"Tarek Ziade,Mathieu Leplatre",10
"Alexis Metaireau,Mathieu Leplatre",9
"dependabot-preview[bot],Mathieu Leplatre",8
"Ethan Glasser-Camp,Rémy HUBSCHER",7
"Rémy HUBSCHER,Ethan Glasser-Camp",7
"dependabot[bot],Mathieu Leplatre",7
"Rémy HUBSCHER,Gabriela Surita",6
"Lavish Aggarwal,Rémy HUBSCHER",6
"Gabriela Surita,Rémy HUBSCHER",6
"Mathieu Leplatre,dependabot[bot]",6
"Mathieu Leplatre,Alexis Metaireau",6
"oak11,Rémy HUBSCHER",6
"VarnaSuresh,Rémy HUBSCHER",5
"Nicolas Perriault,Rémy HUBSCHER",5
"DrFaustie,Rémy HUBSCHER",4
"grahamalama,Graham Beckley",4
"Rémy HUBSCHER,Alexis Metaireau",4
"Mathieu Agopian,Rémy HUBSCHER",4
"Ethan Glasser-Camp,pyup-bot",4
