File,Top Contributor Share (%)
.gitignore,97.22
.metadata,100.00
README.md,69.07
analysis_options.yaml,100.00
android/.gitignore,100.00
android/app/build.gradle,100.00
android/app/src/debug/AndroidManifest.xml,100.00
android/app/src/main/AndroidManifest.xml,98.78
android/app/src/main/kotlin/org/localsend/localsend_app/MainActivity.kt,85.71
android/app/src/main/res/drawable-v21/launch_background.xml,100.00
android/app/src/main/res/drawable/ic_launcher_foreground.xml,100.00
android/app/src/main/res/drawable/launch_background.xml,100.00
android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,83.33
android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,83.33
android/app/src/main/res/values-night/styles.xml,100.00
android/app/src/main/res/values/ic_launcher_background.xml,100.00
android/app/src/main/res/values/styles.xml,100.00
android/app/src/profile/AndroidManifest.xml,100.00
android/build.gradle,100.00
android/gradle.properties,100.00
android/gradle/wrapper/gradle-wrapper.properties,100.00
android/settings.gradle,100.00
ios/.gitignore,100.00
ios/Flutter/AppFrameworkInfo.plist,100.00
ios/Flutter/Debug.xcconfig,100.00
ios/Flutter/Release.xcconfig,100.00
ios/Runner.xcodeproj/project.pbxproj,99.52
ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata,100.00
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,100.00
ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme,100.00
ios/Runner.xcworkspace/contents.xcworkspacedata,100.00
ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,100.00
ios/Runner/AppDelegate.swift,61.76
ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json,68.44
ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json,63.89
ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md,83.33
ios/Runner/Base.lproj/LaunchScreen.storyboard,100.00
ios/Runner/Base.lproj/Main.storyboard,100.00
ios/Runner/Info.plist,93.33
ios/Runner/Runner-Bridging-Header.h,100.00
lib/constants.dart,100.00
lib/main.dart,100.00
lib/service/receiver_service.dart,100.00
linux/.gitignore,100.00
linux/CMakeLists.txt,99.28
linux/flutter/CMakeLists.txt,100.00
linux/flutter/generated_plugin_registrant.cc,91.49
linux/flutter/generated_plugin_registrant.h,100.00
linux/flutter/generated_plugins.cmake,96.88
linux/main.cc,100.00
linux/my_application.cc,93.22
linux/my_application.h,100.00
macos/.gitignore,100.00
macos/Flutter/Flutter-Debug.xcconfig,100.00
macos/Flutter/Flutter-Release.xcconfig,100.00
macos/Flutter/GeneratedPluginRegistrant.swift,95.83
macos/Runner.xcodeproj/project.pbxproj,100.00
macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
macos/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme,100.00
macos/Runner.xcworkspace/contents.xcworkspacedata,100.00
macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
macos/Runner/AppDelegate.swift,100.00
macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json,63.71
macos/Runner/Base.lproj/MainMenu.xib,100.00
macos/Runner/Configs/AppInfo.xcconfig,100.00
macos/Runner/Configs/Debug.xcconfig,100.00
macos/Runner/Configs/Release.xcconfig,100.00
macos/Runner/Configs/Warnings.xcconfig,100.00
macos/Runner/DebugProfile.entitlements,100.00
macos/Runner/Info.plist,100.00
macos/Runner/MainFlutterWindow.swift,100.00
macos/Runner/Release.entitlements,100.00
pubspec.lock,99.16
pubspec.yaml,97.33
web/index.html,56.31
web/manifest.json,51.47
windows/.gitignore,100.00
windows/CMakeLists.txt,100.00
windows/flutter/CMakeLists.txt,100.00
windows/flutter/generated_plugin_registrant.cc,93.62
windows/flutter/generated_plugin_registrant.h,100.00
windows/flutter/generated_plugins.cmake,97.14
windows/runner/CMakeLists.txt,100.00
windows/runner/Runner.rc,100.00
windows/runner/flutter_window.cpp,100.00
windows/runner/flutter_window.h,100.00
windows/runner/main.cpp,100.00
windows/runner/resource.h,100.00
windows/runner/runner.exe.manifest,100.00
windows/runner/utils.cpp,100.00
windows/runner/utils.h,100.00
windows/runner/win32_window.cpp,100.00
windows/runner/win32_window.h,100.00
ios/Podfile,100.00
ios/Podfile.lock,97.66
macos/Podfile,100.00
assets/i18n/strings.i18n.json,91.73
build.yaml,100.00
lib/model/device.dart,100.00
lib/model/dto/info_dto.dart,100.00
lib/model/network_info.dart,100.00
lib/model/settings.dart,100.00
lib/pages/home_page.dart,100.00
lib/pages/tabs/receive_page.dart,100.00
lib/pages/tabs/send_page.dart,100.00
lib/pages/tabs/settings_page.dart,100.00
lib/provider/nearby_devices_provider.dart,100.00
lib/provider/network_info_provider.dart,100.00
lib/provider/receiver_provider.dart,100.00
lib/provider/settings_provider.dart,92.79
lib/service/persistence_service.dart,100.00
lib/service/polling_service.dart,100.00
lib/theme.dart,100.00
lib/util/alias_generator.dart,100.00
lib/util/device_info_helper.dart,100.00
lib/util/ip_helper.dart,100.00
lib/util/sleep.dart,100.00
lib/util/task_runner.dart,100.00
lib/widget/device_widget.dart,100.00
lib/widget/rotating_widget.dart,100.00
lib/provider/selected_files_provider.dart,100.00
lib/util/file_size_helper.dart,100.00
assets/i18n/strings_de.i18n.json,93.27
lib/model/server_state.dart,100.00
lib/provider/server_provider.dart,100.00
lib/model/dto/file_dto.dart,100.00
lib/model/dto/send_request_dto.dart,100.00
lib/model/server/expected_file.dart,100.00
lib/model/server/receive_state.dart,100.00
lib/model/server/server_state.dart,100.00
lib/model/server/temp_request.dart,100.00
lib/pages/receive_page.dart,100.00
lib/pages/tabs/receive_tab.dart,100.00
lib/pages/tabs/send_tab.dart,98.60
lib/pages/tabs/settings_tab.dart,92.60
lib/provider/device_info_provider.dart,100.00
lib/routes.dart,100.00
lib/widget/device_bage.dart,100.00
lib/widget/device_list_tile.dart,100.00
LICENSE,100.00
lib/provider/network/server_provider.dart,100.00
lib/provider/version_provider.dart,100.00
lib/widget/custom_dropdown_button.dart,100.00
lib/model/file_type.dart,100.00
lib/model/send_files/send_state.dart,100.00
lib/model/send_files/sending_file.dart,100.00
lib/model/server/receiving_file.dart,100.00
lib/pages/send_page.dart,100.00
lib/provider/network/send_provider.dart,93.45
lib/model/send/send_state.dart,100.00
lib/model/send/sending_file.dart,100.00
lib/model/session_status.dart,100.00
lib/util/api_route_builder.dart,100.00
lib/provider/progress_provider.dart,100.00
lib/util/file_path_helper.dart,100.00
lib/widget/animated_opacity_cross_fade.dart,100.00
lib/pages/progress_page.dart,86.29
lib/widget/list_tile/custom_list_tile.dart,100.00
lib/widget/list_tile/device_list_tile.dart,100.00
lib/util/file_saver.dart,100.00
lib/model/file_status.dart,100.00
lib/util/file_speed_helper.dart,100.00
lib/widget/custom_progress_bar.dart,100.00
lib/model/nearby_devices_state.dart,100.00
lib/provider/network/nearby_devices_provider.dart,100.00
lib/widget/dialogs/cancel_session_dialog.dart,100.00
lib/widget/dialogs/custom_bottom_sheet.dart,100.00
lib/model/cross_file.dart,100.00
lib/pages/selected_files_page.dart,100.00
CHANGELOG.md,100.00
lib/pages/about_page.dart,73.48
lib/pages/changelog_page.dart,71.08
lib/widget/local_send_logo.dart,100.00
ios/Runner/Runner.entitlements,100.00
lib/provider/dio_provider.dart,100.00
lib/util/security_helper.dart,100.00
lib/pages/debug_page.dart,100.00
lib/util/snackbar.dart,100.00
lib/widget/big_button.dart,100.00
lib/widget/dialogs/add_file_dialog.dart,100.00
lib/widget/animations/initial_fade_transition.dart,100.00
lib/widget/dialogs/no_files_dialog.dart,100.00
lib/util/file_picker.dart,98.86
lib/init.dart,89.46
lib/widget/dialogs/message_input_dialog.dart,96.19
lib/provider/network/targeted_discovery_provider.dart,100.00
lib/provider/persistence_provider.dart,71.60
lib/widget/dialogs/address_input_dialog.dart,100.00
lib/widget/life_cycle_watcher.dart,100.00
lib/util/platform_check.dart,100.00
ios/ShareExtension/Base.lproj/MainInterface.storyboard,100.00
ios/ShareExtension/Info.plist,100.00
ios/ShareExtension/ShareExtension.entitlements,100.00
ios/ShareExtension/ShareViewController.swift,100.00
lib/widget/file_thumbnail.dart,100.00
lib/widget/responsive_list_view.dart,100.00
macos/Podfile.lock,100.00
test/unit/provider/network_info_provider_test.dart,100.00
lib/widget/opacity_slideshow.dart,100.00
lib/pages/receive_options_page.dart,99.68
lib/provider/selection/selected_receiving_files_provider.dart,100.00
lib/provider/selection/selected_sending_files_provider.dart,100.00
lib/widget/dialogs/file_name_input_dialog.dart,100.00
lib/widget/dialogs/quick_actions_dialog.dart,100.00
lib/widget/labeled_checkbox.dart,100.00
lib/widget/custom_icon_button.dart,100.00
lib/widget/dialogs/quick_save_notice.dart,100.00
.github/workflows/ci.yml,96.34
.gitmodules,100.00
assets/CHANGELOG.md,100.00
fastlane/metadata/android/en-US/full_description.txt,100.00
fastlane/metadata/android/en-US/short_description.txt,100.00
submodules/flutter,100.00
lib/util/tray_helper.dart,100.00
lib/widget/watcher/tray_watcher.dart,100.00
lib/widget/watcher/window_watcher.dart,65.45
