Field,Value
Commits Overview,
Total Commits,1752
Total Unique Authors,213
,
Top 10 Contributors,
Author,Commits
Tien Do Nam,7618
Sergiy Tkachuk,158
Shlomo,114
Justin Bailey,111
Gabriel Lima,97
Sergiy,42
nkh0472,38
Matthaiks,24
gidano,22
soya_daizu,21
,
Communication Events,Total: 563
"Author1,Author2",Events
"Sergiy Tkachuk,Tien Do Nam",66
"Tien Do Nam,Sergiy Tkachuk",61
"Sergiy,Tien Do Nam",19
"Shlomo,Tien Do Nam",14
"Gabriel Lima,Tien Do Nam",13
"soya_daizu,Tien Do Nam",12
"Nebojsa Tomic,Tien Do Nam",11
"Dario Landucci,Tien Do Nam",10
"ИEØ_ΙΙØZ,Tien Do Nam",10
"Tien Do Nam,Manuel Santos Souza",10
"Tien Do Nam,Sergiy",9
"Tien Do Nam,Gabriel Lima",9
"gidano,Tien Do Nam",9
"Tien Do Nam,nkh0472",8
"Farshad Gh,Tien Do Nam",8
"Gavin Dang,Manuel Santos Souza",8
"Tien Do Nam,Shlomo",8
"nkh0472,Tien Do Nam",7
"KISHORE KUMAR S,Tien Do Nam",7
"Nixuge,Tien Do Nam",7
"Tien Do Nam,soya_daizu",7
"Tien Do Nam,Matthaiks",7
"Andrew,Tien Do Nam",6
"graphemecluster,Tien Do Nam",6
"Tien Do Nam,gidano",6
"Tien Do Nam,Justin Bailey",6
"Tien Do Nam,Nebojsa Tomic",6
"Tien Do Nam,ИEØ_ΙΙØZ",6
"形素叢集・ぐらふぃーむ,Tien Do Nam",5
"Jude Selase Kwashie,Tien Do Nam",5
"Caesarovich,Tien Do Nam",4
"Chandara H. Wei,Tien Do Nam",4
"Amerey,Tien Do Nam",4
"TheGB0077,Tien Do Nam",4
"watchakorn-18k,Tien Do Nam",4
"EFL,Tien Do Nam",4
"Bryan James,Tien Do Nam",3
"Arthur Lobo,Tien Do Nam",3
"Esteban Daniel Saracho,Tien Do Nam",3
"Tien Do Nam,Farshad Gh",3
"Tien Do Nam,Andrew",3
"Tien Do Nam,Mert Şişmanoğlu",3
"Tien Do Nam,RayGicEFL",3
"Shaswat Pant,Tien Do Nam",3
"René Wang,Tien Do Nam",3
"Mert Şişmanoğlu,Tien Do Nam",3
"Matthaiks,Tien Do Nam",3
"SelaseKay,Tien Do Nam",3
"Gabriel Lima,Sergiy",2
"Francesco Marastoni,Tien Do Nam",2
"Evan Song,Tien Do Nam",2
"Darío Hereñú,Tien Do Nam",2
"Tien Do Nam,trag1c",2
"Taewan Kim,Tien Do Nam",2
"Midori,Tien Do Nam",2
"Stark,Tien Do Nam",2
"o2e,Tien Do Nam",2
"Tien Do Nam,Nixuge",2
"Tien Do Nam,RishiASheth",2
"Tien Do Nam,Shaswat Pant",2
"Tien Do Nam,graphemecluster",2
"Tien Do Nam,dependabot[bot]",2
"Tien Do Nam,watchakorn-18k",2
"Ethan Wang,Tien Do Nam",2
"Jonathan Koziel,Tien Do Nam",2
"Ramazan Sancar,Tien Do Nam",2
"RishiASheth,Tien Do Nam",2
"Muhammad Mauli Mubassari,Tien Do Nam",2
"Tien Do Nam,Hosted Weblate",2
"Tien Do Nam,Ali Mert",2
"Tien Do Nam,Amerey",2
"Hugo Carvalho,Tien Do Nam",2
"albanobattistella,Tien Do Nam",2
"Andrea Barbagallo,Tien Do Nam",1
"Alejandro Mata,Tien Do Nam",1
"Adam,Tien Do Nam",1
"Chandara H. Wei,Vic",1
"CHUNG-HAO,Tien Do Nam",1
"Dhruvan Bhalara,Tien Do Nam",1
"AmerDje,Tien Do Nam",1
"Hasan Karlı,Tien Do Nam",1
"Guilherme Silva,Tien Do Nam",1
"Fáng,Tien Do Nam",1
"Gabriel Lima,Andrew",1
"Erel,Tien Do Nam",1
"Fikri,Tien Do Nam",1
"Florian LEFEBVRE,Cesare Valitutto",1
"Francesco Marastoni,Andrew",1
"Rishi A Sheth,Tien Do Nam",1
"RayGicEFL,Tien Do Nam",1
"Pitchaya Boonsarngsuk,Tien Do Nam",1
"Rad,Sergiy Tkachuk",1
"Mert Şişmanoğlu,Sergiy Tkachuk",1
"Jalen,San Kang",1
"Jowin John Chemban,Tien Do Nam",1
"Hosted Weblate,Tien Do Nam",1
"Tien Do Nam,Kung-chih",1
"Tien Do Nam,Jesse205",1
"Tien Do Nam,Jalen",1
"Tien Do Nam,Florian LEFEBVRE",1
"Tien Do Nam,Arthur Lobo",1
"Tien Do Nam,Bryan James",1
"Tien Do Nam,Chandara H. Wei",1
"Tien Do Nam,Esteban Daniel Saracho",1
"Tien,Tien Do Nam",1
"Serge Brainin,Tien Do Nam",1
"San Kang,Tien Do Nam",1
"Seidko,Tien Do Nam",1
"Ryota,Tien Do Nam",1
"Sergiy Tkachuk,nkh0472",1
"Thebigbot,SelaseKay",1
"Thebigbot,Tien Do Nam",1
"Sergiy Tkachuk,Matthaiks",1
"Martijn van B.,Tien Do Nam",1
"Manuel Santos Souza,ScupidC0des",1
"Louis Painter,Tien Do Nam",1
"Lightning-Lion,Tien Do Nam",1
"LoboGuardian 🐺,Tien Do Nam",1
"Lapis Apple,Tien Do Nam",1
"Justin Bailey,Nixuge",1
"Momar Cisse,Tien Do Nam",1
"Mohammad Jamalianpour,Tien Do Nam",1
"Mirza Jaun,Tien Do Nam",1
"Oliver Kirkegaard Svendsen,Tien Do Nam",1
"Tien Do Nam,LoboGuardian 🐺",1
"Tien Do Nam,Rad",1
"Tien Do Nam,Kushal Agrawal",1
"Tien Do Nam,Tien",1
"Tien Do Nam,飞机上的长电视",1
"Tien Do Nam,形素叢集・ぐらふぃーむ",1
"Tien Do Nam,septs",1
"Tien Do Nam,parra",1
"Tien Do Nam,fanties",1
"Tien Do Nam,Zsolt Botykai",1
"Tien Do Nam,i1hwan",1
"Tien Do Nam,im-ichat",1
"Tien Do Nam,LivioZ",1
"davidbergqvist,Jonathan Koziel",1
"elfriob,Tien Do Nam",1
"ToopKungZa,Tien Do Nam",1
"albanobattistella,Andrea Barbagallo",1
"chino,Tien Do Nam",1
"Yevhenii Sirenko,Tien Do Nam",1
"UnifeGi,Tien Do Nam",1
"jhih_yu,Tien Do Nam",1
"jermanuts,Tien Do Nam",1
"im-ichat,Tien Do Nam",1
"i1hwan,sprupak07",1
"i1hwan,Tien Do Nam",1
"gidano,Momar Cisse",1
"linsui,形素叢集・ぐらふぃーむ",1
"jooapa,Tien Do Nam",1
"ray.zh,Tien Do Nam",1
"parra,Tien Do Nam",1
"o2e,David Greengas",1
"nkh0472,graphemecluster",1
"trag1c,Tien Do Nam",1
"sprupak07,Tien Do Nam",1
"sprupak07,Thebigbot",1
"半颗白菜,Francesco Marastoni",1
,
Committer Timezone Distribution,Unique Timezones: 11
Timezone,Commits
+00:00,5
+01:00,833
+02:00,796
+03:00,10
+05:30,6
+05:45,1
+07:00,1
+08:00,30
+09:00,42
-03:00,10
-05:00,18
,
Contributors Experience,Average across 1117 files: 93.67%
File,Top Contributor Share (%)
.metadata,100.00
analysis_options.yaml,100.00
android/.gitignore,100.00
android/app/build.gradle,100.00
android/app/src/debug/AndroidManifest.xml,100.00
android/app/src/main/res/drawable-v21/launch_background.xml,100.00
android/app/src/main/res/drawable/ic_launcher_foreground.xml,100.00
android/app/src/main/res/drawable/launch_background.xml,100.00
android/app/src/main/res/values-night/styles.xml,100.00
android/app/src/main/res/values/ic_launcher_background.xml,100.00
