File,Top Contributor Share (%)
README.md,22.01
animate.py,100.00
constants.py,81.70
displayer.py,100.00
epii/cccd_animations.py,100.00
epii/dexp_generate_images.py,100.00
epii/epii_animations.py,100.00
epii/poem_animations.py,100.00
generate_logo.py,100.00
helpers.py,85.88
images2gif.py,100.00
mobject.py,100.00
tex_image_utils.py,100.00
scene.py,100.00
Tex/template.tex,100.00
tex_utils.py,100.00
region.py,100.00
__init__.py,100.00
mobject_movement.py,100.00
animation.py,100.00
image_mobject.py,100.00
moser/intro.py,100.00
moser/main.py,100.00
moser/moser_helpers.py,100.00
moser/graphs.py,100.00
script_wrapper.py,100.00
moser/main.py~,100.00
moser/images.py,100.00
tk_scene.py,100.00
animation/__init__.py,100.00
animation/animation.py,99.18
animation/simple_animations.py,86.38
animation/transform.py,97.98
mobject/__init__.py,100.00
mobject/function_graphs.py,100.00
mobject/image_mobject.py,100.00
mobject/mobject.py,95.27
mobject/simple_mobjects.py,100.00
mobject/three_dimensional_mobjects.py,100.00
sample_script.py,100.00
scene/__init__.py,100.00
scene/graphs.py,100.00
scene/scene.py,92.11
scene/sub_scenes.py,100.00
scene/tk_scene.py,100.00
scripts/moser_main.py,100.00
mobject/creatures.py,100.00
scripts/ecf_graph_scenes.py,100.00
scripts/generate_logo.py,100.00
scene/pascals_triangle.py,100.00
scripts/tau_poem.py,100.00
scripts/inventing_math.py,100.00
scene/arithmetic_scenes.py,100.00
scripts/inventing_math_images.py,100.00
scene/counting_scene.py,100.00
scene/scene_from_video.py,94.51
scripts/counting_in_binary.py,100.00
scripts/playground_counting_in_binary.py,100.00
scripts/music_and_measure.py,100.00
scene/number_line.py,100.00
scripts/matrix_as_transform_2d.py,100.00
scripts/old_scripts/inventing_math.py,100.00
scripts/old_scripts/music_and_measure.py,100.00
scripts/pythagorean_proof.py,100.00
scripts/complex_actions.py,100.00
animation/meta_animations.py,100.00
extract_scene.py,82.12
old_projects/complex_multiplication_article.py,93.18
old_projects/counting_in_binary.py,85.29
old_projects/eulers_characteristic_formula.py,99.14
old_projects/generate_logo.py,81.82
old_projects/inventing_math.py,94.38
old_projects/inventing_math_images.py,80.00
old_projects/moser_intro.py,92.75
old_projects/moser_main.py,98.77
old_projects/music_and_measure.py,97.24
old_projects/playground_counting_in_binary.py,70.73
old_projects/tau_poem.py,95.00
topics/__init__.py,100.00
topics/arithmetic.py,100.00
topics/characters.py,99.54
topics/combinatorics.py,100.00
topics/complex_numbers.py,98.38
topics/functions.py,100.00
topics/geometry.py,79.63
topics/graph_theory.py,100.00
topics/matrix_as_transform_2d.py,100.00
topics/number_line.py,96.03
topics/pythagorean_proof.py,100.00
topics/three_dimensions.py,59.21
old_projects/matrix_as_transform_2d.py,79.56
old_projects/pythagorean_proof.py,92.42
mobject/tex_mobject.py,94.38
template.tex,92.00
text_template.tex,91.84
transform_article.py,100.00
hilbert.py,100.00
hilbert/curves.py,100.00
hilbert/section1.py,100.00
hilbert/section2.py,100.00
hilbert/section3.py,100.00
animation/playground.py,100.00
stage_animations.py,100.00
divergence.py,100.00
fluid_flow.py,100.00
hilbert/fractal_porn.py,100.00
topics/fractals.py,92.84
drawing_images.py,100.00
brachistochrone.py,100.00
brachistochrone/curves.py,100.00
brachistochrone/light.py,100.00
brachistochrone/metaphors.py,100.00
brachistochrone/wordplay.py,100.00
brachistochrone/drawing_images.py,100.00
camera.py,90.06
mobject/region.py,100.00
scene/zoomed_scene.py,83.50
brachistochrone/misc.py,100.00
scene/test.py,100.00
brachistochrone/graveyard.py,100.00
brachistochrone/multilayered.py,100.00
brachistochrone/cycloid.py,100.00
mobject/point_cloud_mobject.py,95.72
mobject/vectorized_mobject.py,94.55
mobject/svg_mobject.py,79.12
triangle_of_power/intro.py,100.00
triangle_of_power/triangle.py,100.00
triangle_of_power/end.py,100.00
.gitignore,79.34
requirements.txt,26.88
old_projects/brachistochrone/curves.py,99.75
old_projects/brachistochrone/cycloid.py,99.56
old_projects/brachistochrone/drawing_images.py,99.36
old_projects/brachistochrone/graveyard.py,98.72
old_projects/brachistochrone/light.py,99.27
