File,Top Contributor Share (%)
CHANGELOG,31.65
INSTALL,33.68
LICENSE,100.00
README,96.36
TODO,99.51
setup.py,21.64
examples/README,63.77
examples/__init__.py,100.00
examples/axes_demo.py,93.10
examples/data_helper.py,89.23
examples/embedding_in_gtk.py,66.30
examples/errorbar_demo.py,98.68
examples/histogram_demo.py,97.01
examples/interactive.py,53.61
examples/line_styles.py,96.77
examples/multiple_figs_demo.py,100.00
examples/scatter_demo.py,100.00
examples/simple_plot.py,95.08
examples/stock_demo.py,85.00
examples/subplot_demo.py,100.00
examples/text_handles.py,95.38
examples/text_themes.py,94.92
examples/vline_demo.py,76.47
Makefile,95.66
docs/artist.html,100.00
docs/cbook.html,100.00
docs/colors.html,100.00
docs/figure.html,100.00
docs/gtkutils.html,100.00
docs/lines.html,100.00
docs/matlab.html,100.00
docs/patches.html,100.00
docs/text.html,100.00
GOALS,100.00
INTERACTIVE,100.00
examples/system_monitor.py,97.14
examples/figtext.py,94.44
fonts/afm/pagd8a.afm,100.00
fonts/afm/pagdo8a.afm,100.00
fonts/afm/pagk8a.afm,100.00
fonts/afm/pagko8a.afm,100.00
fonts/afm/pbkd8a.afm,100.00
fonts/afm/pbkdi8a.afm,100.00
fonts/afm/pbkl8a.afm,100.00
fonts/afm/pbkli8a.afm,100.00
fonts/afm/pcrb8a.afm,100.00
fonts/afm/pcrbo8a.afm,100.00
fonts/afm/pcrr8a.afm,100.00
fonts/afm/pcrro8a.afm,100.00
fonts/afm/phvb8a.afm,100.00
fonts/afm/phvb8an.afm,100.00
fonts/afm/phvbo8a.afm,100.00
fonts/afm/phvbo8an.afm,100.00
fonts/afm/phvl8a.afm,100.00
fonts/afm/phvlo8a.afm,100.00
fonts/afm/phvr8a.afm,100.00
fonts/afm/phvr8an.afm,100.00
fonts/afm/phvro8a.afm,100.00
fonts/afm/phvro8an.afm,100.00
fonts/afm/pncb8a.afm,100.00
fonts/afm/pncbi8a.afm,100.00
fonts/afm/pncr8a.afm,100.00
fonts/afm/pncri8a.afm,100.00
fonts/afm/pplb8a.afm,100.00
fonts/afm/pplbi8a.afm,100.00
fonts/afm/pplr8a.afm,100.00
fonts/afm/pplri8a.afm,100.00
fonts/afm/psyr.afm,100.00
fonts/afm/ptmb8a.afm,100.00
fonts/afm/ptmbi8a.afm,100.00
fonts/afm/ptmr8a.afm,100.00
fonts/afm/ptmri8a.afm,100.00
fonts/afm/putb8a.afm,100.00
fonts/afm/putbi8a.afm,100.00
fonts/afm/putr8a.afm,100.00
fonts/afm/putri8a.afm,100.00
fonts/afm/pzcmi8a.afm,100.00
fonts/afm/pzdr.afm,100.00
fonts/ttf/COPYRIGHT.TXT,100.00
fonts/ttf/README.TXT,100.00
fonts/ttf/RELEASENOTES.TXT,100.00
fonts/ttf/local.conf,100.00
examples/legend_demo.py,94.87
examples/mpl_with_glade.glade,100.00
examples/mpl_with_glade.py,89.36
examples/interactive2.py,94.59
examples/arctest.py,100.00
examples/break.py,81.82
examples/color_demo.py,78.79
examples/dynamic_demo.py,81.58
examples/gdtest.py,100.00
examples/logo.py,95.56
examples/pstest.py,100.00
DEVNOTES,95.62
MANIFEST,99.12
MANIFEST.in,64.80
examples/log_demo.py,88.68
examples/pcolor_demo.py,96.08
examples/ct_demo.py,100.00
examples/mri_demo.py,78.57
examples/mri_with_eeg.py,88.17
images/stock_close.xpm,100.00
images/stock_down.xpm,100.00
images/stock_left.xpm,100.00
images/stock_refresh.xpm,100.00
images/stock_right.xpm,100.00
images/stock_save_as.xpm,100.00
images/stock_up.xpm,100.00
images/stock_zoom-in.xpm,100.00
images/stock_zoom-out.xpm,100.00
license.py,55.37
examples/legend_demo2.py,97.50
unit/simple_plot.py,100.00
unit/transforms_unit.py,92.32
examples/embedding_in_gtk2.py,71.21
examples/axes_props.py,93.68
examples/data/intc.csv,100.00
examples/data/msft.csv,100.00
examples/scatter_demo2.py,90.00
examples/barchart_demo.py,100.00
examples/csd_demo.py,97.37
examples/psd_demo.py,97.06
examples/embedding_in_wx.py,47.50
examples/dynamic_demo_wx.py,56.67
examples/object_picker.py,92.01
API_CHANGES,64.76
KNOWN_BUGS,100.00
examples/anim.py,74.55
examples/bar_stacked.py,100.00
setupext.py,34.14
src/_gtkgd.c,100.00
examples/alignment_test.py,100.00
src/_backend_agg.cpp,47.62
examples/table_demo.py,100.00
LICENSE_PAINT,100.00
src/_backend_agg.h,70.67
src/font.cpp,100.00
examples/colours.py,84.85
examples/vertical_ticklabels.py,100.00
examples/backend_driver.py,48.24
__init__.py,100.00
src/_gtkagg.cpp,51.91
src/ft2font.c,85.80
src/ft2font.h,57.51
examples/ftface_props.py,74.29
examples/log_test.py,100.00
src/_tkagg.cpp,18.77
examples/mathtext_demo.py,67.27
NUMARRAY_ISSUES,100.00
.matplotlibrc,83.61
LICENSE/LICENSE,67.25
LICENSE/LICENSE_PAINT,50.00
LICENSE/LICENSE_PIL,100.00
examples/image_demo.py,98.45
src/image.cpp,100.00
src/image.h,100.00
examples/image_demo2.py,95.92
postinstall.py,100.00
examples/fill_demo.py,100.00
examples/embedding_in_tk.py,74.51
src/_image.cpp,44.31
src/_image.h,65.51
examples/specgram_demo.py,90.48
LICENSE/LICENSE_TTFQUERY,100.00
examples/.cvsignore,63.64
.cvsignore,55.56
examples/coords_demo_gtk.py,100.00
src/_windowing.cpp,58.62
examples/pcolor_demo2.py,97.56
