Field,Value
Commits Overview,
Total Commits,52191
Total Unique Authors,1808
,
Top 10 Contributors,
Author,Commits
Michael Droettboom,20478
Antony Lee,12937
John Hunter,11431
Thomas A Caswell,10008
Elliott Sales de Andrade,7804
Tim Hoffmann,5801
Jody Klymak,3882
Eric Firing,3428
David Stansby,2903
Darren Dale,2541
,
Communication Events,Total: 9949
"Author1,Author2",Events
"Víctor Zabalza,Michael Droettboom",618
"Antony Lee,Tim Hoffmann",357
"Elliott Sales de Andrade,Thomas A Caswell",347
"Michael Droettboom,Thomas A Caswell",259
"Tim Hoffmann,Jody Klymak",241
"Antony Lee,Thomas A Caswell",193
"Tim Hoffmann,Antony Lee",182
"Antony Lee,Elliott Sales de Andrade",150
"David Stansby,Thomas A Caswell",138
"Thomas A Caswell,Elliott Sales de Andrade",128
"Jody Klymak,Thomas A Caswell",127
"Elliott Sales de Andrade,Tim Hoffmann",124
"Antony Lee,Jody Klymak",120
"John Hunter,Michael Droettboom",118
"Elliott Sales de Andrade,Antony Lee",102
"Tim Hoffmann,Elliott Sales de Andrade",89
"Tim Hoffmann,Thomas A Caswell",88
"Thomas A Caswell,Tim Hoffmann",87
"Michael Droettboom,John Hunter",87
"Thomas A Caswell,Antony Lee",86
"Antony Lee,David Stansby",81
"David Stansby,Tim Hoffmann",79
"Nelle Varoquaux,Thomas A Caswell",74
"Elliott Sales de Andrade,Oscar Gustafsson",71
"Jody Klymak,Antony Lee",68
"John Hunter,Eric Firing",65
"Darren Dale,John Hunter",59
"Eric Firing,John Hunter",55
"David Stansby,Antony Lee",55
"John Hunter,Steve Chaplin",55
"Thomas A Caswell,Jody Klymak",54
"Elliott Sales de Andrade,Jody Klymak",53
"Thomas A Caswell,Michael Droettboom",51
"Jody Klymak,Elliott Sales de Andrade",48
"Eric Firing,Michael Droettboom",47
"Elliott Sales de Andrade,Kyle Sunden",45
"Thomas A Caswell,David Stansby",44
"Norbert Nemec,John Hunter",43
"Tim Hoffmann,David Stansby",43
"Steve Chaplin,John Hunter",42
"John Hunter,Darren Dale",41
"Oscar Gustafsson,Tim Hoffmann",41
"Michael Droettboom,Jens Hedegaard Nielsen",40
"Darren Dale,Michael Droettboom",40
"paul,Thomas A Caswell",39
"limtaesu,solvents",38
"Kevin Chan,solvents",38
"Jody Klymak,Tim Hoffmann",38
"John Hunter,Norbert Nemec",36
"hannah,Tim Hoffmann",35
"Thomas A Caswell,Eric Firing",35
"Michael Droettboom,Eric Firing",34
"Gaute Hope,Michael Droettboom",33
"solvents,Per Parker",31
"Elliott Sales de Andrade,David Stansby",30
"Andrew Straw,John Hunter",29
"Oscar Gustafsson,Kyle Sunden",28
"Oscar Gustafsson,Elliott Sales de Andrade",27
"Eric Firing,Thomas A Caswell",27
"ianhi,Jody Klymak",26
