File,Top Contributor Share (%)
README.md,39.50
.gitignore,84.34
embedchain/__init__.py,37.78
embedchain/chunkers/pdf_file.py,64.06
embedchain/chunkers/website.py,100.00
embedchain/chunkers/youtube_video.py,64.06
embedchain/embedchain.py,29.93
embedchain/loaders/pdf_file.py,57.58
embedchain/loaders/website.py,100.00
embedchain/loaders/youtube_video.py,30.00
embedchain/utils.py,44.41
embedchain/chunkers/base_chunker.py,30.22
embedchain/chunkers/web_page.py,33.33
embedchain/loaders/web_page.py,34.90
LICENSE,100.00
setup.py,65.55
embedchain/vectordb/base_vector_db.py,40.00
embedchain/vectordb/chroma_db.py,44.72
embedchain/chunkers/qna_pair.py,63.16
embedchain/loaders_local/qna_pair.py,100.00
embedchain/loaders/local_qna_pair.py,40.00
embedchain/chunkers/text.py,63.16
embedchain/loaders/local_text.py,39.53
CITATION.cff,100.00
embedchain/chunkers/doc_file.py,100.00
embedchain/loaders/doc_file.py,100.00
embedchain/config/AddConfig.py,37.14
embedchain/config/BaseConfig.py,91.67
embedchain/config/ChatConfig.py,66.67
embedchain/config/InitConfig.py,72.00
embedchain/config/QueryConfig.py,50.00
embedchain/config/__init__.py,44.44
embedchain/chunkers/docx_file.py,32.00
embedchain/loaders/docx_file.py,22.58
embedchain/data_formatter/__init__.py,33.33
embedchain/data_formatter/data_formatter.py,23.21
tests/test_embedchain.py,100.00
Makefile,50.41
pyproject.toml,38.12
requirements/dev.txt,100.00
notebooks/embedchain-chromadb-server.ipynb,96.52
embedchain/loaders/sitemap.py,23.57
embedchain/version.py,33.33
embedchain/chunkers/code_docs_page.py,95.65
embedchain/loaders/code_docs_page.py,86.30
tests/chunkers/test_text.py,64.34
tests/embedchain/test_add.py,33.33
tests/embedchain/test_chat.py,53.78
tests/embedchain/test_dryrun.py,100.00
tests/embedchain/test_embedchain.py,45.73
tests/embedchain/test_generate_prompt.py,100.00
tests/embedchain/test_query.py,43.97
tests/vectordb/test_chroma_db.py,29.14
.env.example,50.00
.github/ISSUE_TEMPLATE/bug_report.yml,97.62
.github/ISSUE_TEMPLATE/config.yml,91.67
.github/ISSUE_TEMPLATE/feature_request.yml,94.12
.github/PULL_REQUEST_TEMPLATE.md,86.36
.github/workflows/cd.yml,34.21
.github/workflows/ci.yml,47.45
.pre-commit-config.yaml,52.63
CONTRIBUTING.md,52.11
poetry.toml,100.00
docs/README.md,69.44
docs/advanced/advanced_usage.mdx,100.00
docs/advanced/configuration.mdx,48.53
docs/advanced/data_types.mdx,50.83
docs/advanced/query_configuration.mdx,60.82
docs/advanced/showcase.mdx,49.57
docs/advanced/testing.mdx,53.19
docs/contribution/dev.mdx,96.92
docs/contribution/docs.mdx,100.00
docs/development.mdx,100.00
docs/introduction.mdx,73.75
docs/logo/dark.svg,69.09
docs/logo/light.svg,69.09
docs/mint.json,39.39
docs/quickstart.mdx,35.20
docs/advanced/app_types.mdx,78.86
embedchain/chunkers/docs_site.py,61.54
embedchain/loaders/docs_site_loader.py,77.04
notebooks/embedchain-docs-site-example.ipynb,98.46
embedchain/Apps/PersonApp.py,100.00
embedchain/apps/App.py,82.41
embedchain/apps/OpenSourceApp.py,93.84
embedchain/apps/PersonApp.py,63.76
embedchain/config/apps/AppConfig.py,89.89
embedchain/config/apps/BaseAppConfig.py,63.06
embedchain/config/apps/CustomAppConfig.py,75.68
embedchain/config/apps/OpenSourceAppConfig.py,94.51
docs/advanced/adding_data.mdx,100.00
docs/advanced/interface_types.mdx,88.37
embedchain/apps/CustomApp.py,83.67
embedchain/models/EmbeddingFunctions.py,100.00
embedchain/models/Providers.py,88.89
embedchain/models/__init__.py,37.50
embedchain/apps/Llama2App.py,50.00
embedchain/loaders/base_loader.py,81.25
docs/examples/full_stack.mdx,61.67
examples/full_stack/.dockerignore,100.00
examples/full_stack/README.md,100.00
examples/full_stack/backend/.dockerignore,100.00
examples/full_stack/backend/.gitignore,100.00
examples/full_stack/backend/Dockerfile,91.67
examples/full_stack/backend/models.py,100.00
examples/full_stack/backend/paths.py,100.00
examples/full_stack/backend/routes/chat_response.py,100.00
examples/full_stack/backend/routes/dashboard.py,100.00
examples/full_stack/backend/routes/sources.py,100.00
examples/full_stack/backend/server.py,100.00
examples/full_stack/docker-compose.yml,84.62
examples/full_stack/frontend/.dockerignore,100.00
examples/full_stack/frontend/.eslintrc.json,100.00
examples/full_stack/frontend/.gitignore,100.00
examples/full_stack/frontend/Dockerfile,93.33
examples/full_stack/frontend/jsconfig.json,100.00
