Field,Value
Commits Overview,
Total Commits,19118
Total Unique Authors,893
,
Top 10 Contributors,
Author,Commits
Max Stepanov,6532
George3d6,4255
Martyna,3158
Minura Punchihewa,2304
andrew,1755
Jorge Torres,1703
Zoran Pandovski,1693
zoran,1252
Patricio Cerda Mardini,974
ZoranPandovski,968
,
Communication Events,Total: 1842
"Author1,Author2",Events
"George3d6,George",108
"George3d6,Max Stepanov",95
"Max Stepanov,George3d6",79
"Max Stepanov,andrew",57
"George,George3d6",49
"andrew,Max Stepanov",42
"Jorge Torres,George3d6",32
"sid,2170chm",28
"Max Stepanov,Patricio Cerda Mardini",25
"Patricio Cerda Mardini,Max Stepanov",25
"Han Wang,Max Stepanov",24
"andrew,Patricio Cerda Mardini",22
"Martyna,Hamish Fagg",21
"Ilia Tsyplenkov,Max Stepanov",20
"Patricio Cerda Mardini,andrew",20
"George3d6,Jorge Torres",19
"2170chm,sid",19
"Zoran Pandovski,Martyna",14
"Daniel Usvyat,Ty",14
"Zoran Pandovski,Max Stepanov",11
"Jorge Torres,George",11
"Ricram2,Martyna",10
"martyna-mindsdb,Hamish Fagg",10
"Maxim,George3d6",10
"Ilia Tsyplenkov,George3d6",9
"George3d6,maximlopin",8
"Max Stepanov,Ilia Tsyplenkov",8
"Zoran Pandovski,Minura Punchihewa",7
"Tori Green,hamishfagg",7
"Abhi,Better-Boy",7
"Hamish Fagg,andrew",7
"Martyna,Zoran Pandovski",6
"Martyna,martyna-mindsdb",6
"ZoranPandovski,Zoran Pandovski",6
"Dave Lewis,Chandre Van Der Westhuizen",6
"Olly Styles,Sam Miller",6
"Salman Sayyed,Zoran Pandovski",5
"Jorge Torres,zoran",5
"Sam Miller,Olly Styles",5
"Jorge Torres,andrew",5
"Hamish Fagg,Max Stepanov",5
"Minura Punchihewa,Martyna",5
"George3d6,Zoran Pandovski",5
"maximlopin,George3d6",5
"martyna-mindsdb,Martyna",5
"Ty,Daniel Usvyat",5
"maximlopin,Max Stepanov",5
"Better-Boy,Abhi",5
"ZoranPandovski,Max Stepanov",5
"Kenmogne Thimotee,kenmognethimotee",5
"tmichaeldb,andrew",5
"Jorge Torres,Zoran Pandovski",4
"Jorge Torres,Max Stepanov",4
"dusvyat,Daniel Usvyat",4
"andrew,ea-rus",4
"Elkin Andrew,andrew",4
"Patricio Cerda Mardini,Daniel Usvyat",4
"Hamish Fagg,Daniel Usvyat",4
"QuantumPlumber,Daniel Usvyat",4
"Patricio Cerda Mardini,Ricram2",4
"Minura Punchihewa,Max Stepanov",4
"Patricio Cerda Mardini,elkin",4
"Max Stepanov,Andrey",4
"Chandre Van Der Westhuizen,ZoranPandovski",4
"Dave Lewis,Ricram2",4
"Theodoros Malikourtis,Panagiotis Spanakis",4
"ZoranPandovski,Hamish Fagg",4
"andrew,dusvyat",4
"andrew,Hamish Fagg",4
"Andrey,Minura Punchihewa",4
"martyna-mindsdb,Minura Punchihewa",4
"Zoran Pandovski,zoran",3
"Andrey,Max Stepanov",3
"pixpack,ZoranPandovski",3
"olly-styles,Sam Miller",3
"andrew,Abhi",3
"dusvyat,andrew",3
"Daniel Usvyat,dusvyat",3
"George3d6,Ilia Tsyplenkov",3
"Max Stepanov,Hamish Fagg",3
"Max Stepanov,StpMax",3
"Issam,Aditya Azad",3
"Max Stepanov,Minura Punchihewa",3
"Ty,Patricio Cerda-Mardini",3
"Daniel Usvyat,Andrey",3
"Zoran Pandovski,Jorge Torres",3
"Ty,Max Stepanov",3
"dusvyat,Yuhui Shi",3
"hamishfagg,Max Stepanov",3
"ea-rus,Max Stepanov",3
"george,Max Stepanov",3
"martyna-mindsdb,Patricio Cerda Mardini",3
"Andrey,Ty",3
"Abhi,Issam",3
"parthiv11,Parthiv Makwana",3
"Max Stepanov,Zoran Pandovski",3
"Meet Rajesh Gor,mr_destructive",3
