File,Top Contributor Share (%)
.gitignore,50.75
LICENSE,99.87
MANIFEST.in,47.69
README,99.69
doc-src/01-reset-fonts-grids-base.css,100.00
doc-src/02-docstyle.css,98.71
doc-src/_layout.html,98.92
doc-src/admin.html,100.00
doc-src/faq.html,100.00
doc-src/index.html,100.00
doc-src/index.py,95.81
doc-src/library.html,100.00
doc-src/syntax.css,100.00
examples/stickycookies.py,100.00
libmproxy/__init__.py,66.67
libmproxy/console.py,92.27
libmproxy/controller.py,87.42
libmproxy/filt.py,78.10
libmproxy/proxy.py,66.71
libmproxy/pyparsing.py,100.00
libmproxy/resources/bogus_template,100.00
libmproxy/utils.py,75.56
mitmproxy,62.66
setup.py,58.27
test/.pry,100.00
test/data/serverkey.pem,100.00
test/data/testkey.pem,100.00
test/handler.py,100.00
test/serv.py,100.00
test/sslserv.py,100.00
test/test_console.py,94.60
test/test_filt.py,80.16
test/test_proxy.py,82.76
test/test_utils.py,76.53
test/tserv,100.00
todo,93.75
mitmdump,82.55
libmproxy/dump.py,59.33
CHANGELOG,68.29
libmproxy/flow.py,70.46
libmproxy/contrib/bson/LICENSE,100.00
libmproxy/contrib/bson/README,100.00
libmproxy/contrib/bson/__init__.py,100.00
libmproxy/contrib/bson/codec.py,100.00
libmproxy/contrib/bson/network.py,100.00
libmproxy/contrib/BeautifulSoup.py,100.00
test/test_flow.py,68.42
test/utils.py,97.44
libmproxy/script.py,44.14
test/scripts/a,100.00
test/scripts/err_data,100.00
test/scripts/err_return,100.00
README.mkd,81.67
libmproxy/contrib/pyparsing.py,47.67
libmproxy/playback.py,100.00
libmproxy/record.py,100.00
libmproxy/recorder.py,99.64
mitmplayback,95.24
mitmrecord,95.83
libmproxy/netstring.py,100.00
test/test_netstring.py,100.00
test/test_dump.py,71.58
doc-src/mitmdump.html,100.00
doc-src/mitmproxy.html,97.31
doc-src/scripts.html,100.00
examples/simple_script,100.00
doc-src/intro.html,100.00
doc-src/mitmdump/index.py,100.00
doc-src/mitmproxy/index.py,100.00
doc-src/ssl.html,79.78
libmproxy/resources/ca.cnf,100.00
libmproxy/resources/cert.cnf,100.00
test/tutils.py,69.35
test/test_server.py,41.97
libmproxy/version.py,57.89
libmproxy/cmdline.py,52.94
test/test_cmdline.py,92.24
doc-src/certinstall/firefox.html,97.22
doc-src/certinstall/index.py,92.59
doc-src/certinstall/ios.html,100.00
doc-src/certinstall/windows7.html,100.00
doc-src/clientreplay.html,100.00
doc-src/serverreplay.html,100.00
doc-src/stickycookies.html,100.00
doc-src/anticache.html,100.00
doc-src/certinstall/osx.html,100.00
doc-src/filters.html,95.00
doc-src/interception.html,100.00
doc-src/_websitelayout.html,99.57
CONTRIBUTORS,69.27
scripts/contributors,100.00
doc-src/sticky.html,100.00
doc-src/tutorials/30second.html,97.60
doc-src/tutorials/index.py,87.50
doc-src/tutorials/gamecenter.html,96.90
libmproxy/encoding.py,38.74
test/test_encoding.py,26.32
libmproxy/plugins.py,100.00
test/plugins/a.py,100.00
test/plugins/syntaxerr.py,100.00
test/test_plugins.py,100.00
test/scripts/a.py,75.00
test/scripts/loaderr.py,100.00
test/test_script.py,56.78
test/scripts/all.py,80.00
test/scripts/starterr.py,75.00
doc-src/scripts/index.py,100.00
examples/add_header.py,54.55
examples/stickycookies,54.55
doc-src/scripts/examples.html,100.00
examples/stub.py,50.94
examples/README,62.50
examples/flowbasic,74.49
libmproxy/tnetstring.py,96.10
examples/upsidedownternet.py,62.50
libmproxy/console/__init__.py,85.77
libmproxy/console/common.py,42.36
libmproxy/console/connlist.py,100.00
libmproxy/console/connview.py,100.00
libmproxy/console/help.py,91.64
libmproxy/console/kveditor.py,100.00
test/scripts/reqerr.py,100.00
libmproxy/console/palettes.py,77.52
doc-src/reverseproxy.html,100.00
libmproxy/console/flowlist.py,49.11
libmproxy/console/flowview.py,54.97
examples/modify_form.py,56.25
examples/dup_and_replay.py,71.43
examples/modify_querystring.py,44.44
test/scripts/duplicate_flow.py,100.00
README.txt,96.24
test/data/text_cert,100.00
test/tools/getcn,100.00
test/data/text_cert_2,100.00
test/tools/getcert,100.00
libmproxy/certutils.py,99.79
test/test_certutils.py,73.64
test/data/replace,100.00
libmproxy/console/grideditor.py,95.43
doc-src/certinstall/android.html,96.27
libmproxy/console/contentview.py,87.54
test/test_console_contentview.py,66.39
libmproxy/contrib/README,60.87
libmproxy/contrib/jsbeautifier/__init__.py,99.83
libmproxy/contrib/jsbeautifier/unpackers/README.specs.mkd,100.00
libmproxy/contrib/jsbeautifier/unpackers/__init__.py,98.53
libmproxy/contrib/jsbeautifier/unpackers/evalbased.py,100.00
libmproxy/contrib/jsbeautifier/unpackers/javascriptobfuscator.py,100.00
libmproxy/contrib/jsbeautifier/unpackers/myobfuscate.py,98.85
libmproxy/contrib/jsbeautifier/unpackers/packer.py,99.05
