File,Top Contributor Share (%)
Gopkg.lock,81.13
Gopkg.toml,90.48
main.go,91.04
truststore_darwin.go,100.00
vendor/github.com/DHowett/go-plist/.gitlab-ci.yml,100.00
vendor/github.com/DHowett/go-plist/LICENSE,100.00
vendor/github.com/DHowett/go-plist/README.md,100.00
vendor/github.com/DHowett/go-plist/bplist.go,100.00
vendor/github.com/DHowett/go-plist/bplist_generator.go,100.00
vendor/github.com/DHowett/go-plist/bplist_parser.go,100.00
vendor/github.com/DHowett/go-plist/decode.go,100.00
vendor/github.com/DHowett/go-plist/doc.go,100.00
vendor/github.com/DHowett/go-plist/encode.go,100.00
vendor/github.com/DHowett/go-plist/fuzz.go,100.00
vendor/github.com/DHowett/go-plist/marshal.go,100.00
vendor/github.com/DHowett/go-plist/must.go,100.00
vendor/github.com/DHowett/go-plist/plist.go,100.00
vendor/github.com/DHowett/go-plist/plist_types.go,100.00
vendor/github.com/DHowett/go-plist/text_generator.go,100.00
vendor/github.com/DHowett/go-plist/text_parser.go,100.00
vendor/github.com/DHowett/go-plist/text_tables.go,100.00
vendor/github.com/DHowett/go-plist/typeinfo.go,100.00
vendor/github.com/DHowett/go-plist/unmarshal.go,100.00
vendor/github.com/DHowett/go-plist/util.go,100.00
vendor/github.com/DHowett/go-plist/xml_generator.go,100.00
vendor/github.com/DHowett/go-plist/xml_parser.go,100.00
vendor/github.com/DHowett/go-plist/zerocopy.go,100.00
vendor/github.com/DHowett/go-plist/zerocopy_appengine.go,100.00
AUTHORS,100.00
CONTRIBUTORS,100.00
LICENSE,100.00
PATENTS,100.00
Makefile,100.00
README.md,74.67
HomebrewFormula/mkcert.rb,100.00
truststore_linux.go,60.69
cert.go,84.05
truststore_firefox.go,100.00
vendor/golang.org/x/net/AUTHORS,100.00
vendor/golang.org/x/net/CONTRIBUTORS,100.00
vendor/golang.org/x/net/LICENSE,100.00
vendor/golang.org/x/net/PATENTS,100.00
vendor/golang.org/x/net/idna/idna.go,100.00
vendor/golang.org/x/net/idna/punycode.go,100.00
vendor/golang.org/x/net/idna/tables.go,100.00
vendor/golang.org/x/net/idna/trie.go,100.00
vendor/golang.org/x/net/idna/trieval.go,100.00
vendor/golang.org/x/text/AUTHORS,100.00
vendor/golang.org/x/text/CONTRIBUTORS,100.00
vendor/golang.org/x/text/LICENSE,100.00
vendor/golang.org/x/text/PATENTS,100.00
vendor/golang.org/x/text/collate/build/builder.go,100.00
vendor/golang.org/x/text/collate/build/colelem.go,100.00
vendor/golang.org/x/text/collate/build/contract.go,100.00
vendor/golang.org/x/text/collate/build/order.go,100.00
vendor/golang.org/x/text/collate/build/table.go,100.00
vendor/golang.org/x/text/collate/build/trie.go,100.00
vendor/golang.org/x/text/collate/collate.go,100.00
vendor/golang.org/x/text/collate/index.go,100.00
vendor/golang.org/x/text/collate/maketables.go,100.00
vendor/golang.org/x/text/collate/option.go,100.00
vendor/golang.org/x/text/collate/sort.go,100.00
vendor/golang.org/x/text/collate/tables.go,100.00
vendor/golang.org/x/text/internal/colltab/collelem.go,100.00
vendor/golang.org/x/text/internal/colltab/colltab.go,100.00
vendor/golang.org/x/text/internal/colltab/contract.go,100.00
vendor/golang.org/x/text/internal/colltab/iter.go,100.00
vendor/golang.org/x/text/internal/colltab/numeric.go,100.00
vendor/golang.org/x/text/internal/colltab/table.go,100.00
vendor/golang.org/x/text/internal/colltab/trie.go,100.00
vendor/golang.org/x/text/internal/colltab/weighter.go,100.00
vendor/golang.org/x/text/internal/gen/code.go,100.00
