File,Top Contributor Share (%)
api/models.py,100.00
api/tests.py,100.00
api/views.py,100.00
manage.py,61.11
settings.py,100.00
urls.py,100.00
web/models.py,100.00
web/tests.py,100.00
web/views.py,100.00
mygpo/__init__.py,73.91
mygpo/api/__init__.py,77.12
mygpo/api/models.py,85.94
mygpo/api/tests.py,29.07
mygpo/api/views.py,100.00
mygpo/manage.py,96.43
mygpo/settings.py,69.46
mygpo/urls.py,48.51
mygpo/web/__init__.py,94.44
mygpo/web/models.py,72.62
mygpo/web/tests.py,60.43
mygpo/web/views.py,57.24
mygpo/web/templates/home.html,66.82
mygpo/web/templates/info.html,93.75
mygpo/api/admin.py,72.73
mygpo/web/templates/base.html,64.02
mygpo/auth_backends.py,58.11
mygpo/api/json.py,51.43
mygpo/api/legacy.py,59.95
mygpo/api/basic_auth.py,60.32
mygpo/api/simple.py,39.55
mygpo/api/opml.py,47.21
mygpo/api/util.py,51.52
mygpo.fcgi,100.00
mygpo.lighttpd.conf,50.32
install/crate-database.sql,98.98
install/update-02.sql,90.91
mygpo/web/templates/registration/activate.html,36.36
mygpo/web/templates/registration/activation_complete.html,35.00
mygpo/web/templates/registration/activation_email.txt,66.67
mygpo/web/templates/registration/activation_email_subject.txt,50.00
mygpo/web/templates/registration/registration_complete.html,42.11
mygpo/web/templates/registration/registration_form.html,71.78
install/update-03.sql,83.33
mygpo/web/templates/migrate.html,45.45
mygpo/web/users.py,49.19
htdocs/media/screen.css,51.79
mygpo/web/templates/home-user.html,55.17
mygpo/web/templates/login.html,45.23
install/update-04.sql,85.83
AUTHORS,100.00
COPYING,100.00
INSTALL,52.49
mygpo/logging.py,100.00
bin/feed-downloader,71.59
mygpo/feedcore.py,99.18
mygpo/locale/de/LC_MESSAGES/django.po,50.65
mygpo/locale/de/LC_MESSAGES/django.po~,100.00
mygpo/api/advanced.py,97.71
mygpo/api/httpresponse.py,55.17
mygpo/api/put_test.py,100.00
mygpo/api/update_toplist.py,100.00
mygpo/web/forms.py,60.24
mygpo/web/templates/account.html,80.52
mygpo/api/sql/subscription.sql,100.00
install/update-05.sql,100.00
install/doku.txt,100.00
mygpo/web/templates/toplist.html,89.53
htdocs/media/screen-base.css,100.00
doc/style-guide.html,100.00
mygpo/api/update_UserSuggestion.py,100.00
mygpo/api/update_allSuggestion.py,100.00
mygpo/web/templates/subscriptionhistory.html,96.77
install/update-06.sql,100.00
install/update-07.sql,96.23
mygpo/web/templates/podcast.html,64.15
install/update-08.sql,100.00
mygpo/web/templates/suggestions.html,59.17
mygpo/web/templates/device.html,46.75
mygpo/web/templates/episode.html,56.59
mygpo/web/templatetags/episodes.py,49.86
mygpo/web/templatetags/podcasts.py,76.63
mygpo/web/templatetags/devices.py,61.37
install/update-09.sql,100.00
htdocs/robots.txt,100.00
mygpo/web/templates/subscribe.html,44.53
install/update-10.sql,92.50
mygpo/log.py,100.00
mygpo/api/search_indexes.py,100.00
mygpo/api/templates/search/indexes/api/episode_text.txt,100.00
mygpo/api/templates/search/indexes/api/podcast_text.txt,100.00
mygpo/search_sites.py,100.00
mygpo/web/templates/search/search.html,88.33
mygpo/web/templates/history.html,51.68
install/update-11.sql,99.56
mygpo/web/templates/authors.html,62.50
mygpo/locale/it/LC_MESSAGES/django.po,60.64
mygpo/locale/nb/LC_MESSAGES/django.po,51.02
htdocs/favicon.svg,100.00
mygpo/web/templates/400.html,53.33
mygpo/web/templates/401.html,50.00
mygpo/web/templates/404.html,79.41
mygpo/web/templates/500.html,76.47
mygpo/locale/en/LC_MESSAGES/django.po,54.30
mygpo/web/templates/online-help.html,59.76
bin/run-database-procedure,98.04
mygpo/web/templates/devicelist.html,55.88
install/update-12.sql,63.44
install/sanitizing-rules.sql,98.51
mygpo/api/sanitizing.py,77.68
mygpo/api/management/commands/sanitizing-maintenance.py,80.00
bin/fix-duplicate-device-uids.py,100.00
mygpo/api/constants.py,72.31
doc/author_subscribe.svg,93.61
mygpo/web/tests/selenium/init_selenium_test.json,100.00
mygpo/web/tests/selenium/run_selenium_server.py,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/META-INF/MANIFEST.MF,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/allclasses-frame.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/allclasses-noframe.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/constant-values.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/CertificateCreator.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/KeyStoreManager.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/ThumbprintUtil.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/class-use/CertificateCreator.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/class-use/KeyStoreManager.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/class-use/ThumbprintUtil.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/package-frame.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/package-summary.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/package-tree.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/cybervillains/ca/package-use.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/deprecated-list.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/help-doc.html,100.00
mygpo/web/tests/selenium/selenium-server-1.0.1/javadoc/index-all.html,100.00
