File,Top Contributor Share (%)
.gitignore,62.50
Dockerfile,64.81
README.md,35.37
docker-compose.yml,65.18
geth-entrypoint.sh,100.00
goerli/genesis-l2.json,100.00
goerli/rollup.json,96.97
op-node-entrypoint.sh,100.00
LICENSE,95.45
SECURITY.md,100.00
CONTRIBUTING.md,98.25
.codeflow.yml,100.00
.github/workflows/docker.yml,32.28
geth-entrypoint,39.76
op-node-entrypoint,73.17
.env.goerli,91.11
DISCLAIMER.md,100.00
.env.mainnet,57.75
mainnet/genesis-l2.json,100.00
mainnet/rollup.json,100.00
.env.sepolia,59.02
sepolia/genesis-l2.json,100.00
sepolia/rollup.json,100.00
.github/workflows/pr.yml,30.68
supervisord.conf,80.00
.env,100.00
geth/Dockerfile,47.17
geth/geth-entrypoint,50.00
reth/Dockerfile,68.14
reth/reth-entrypoint,100.00
.dockerignore,66.67
nethermind/Dockerfile,73.53
nethermind/nethermind-entrypoint,98.44
