Field,Value
Commits Overview,
Total Commits,13621
Total Unique Authors,666
,
Top 10 Contributors,
Author,Commits
Jeremy Tuloup,4400
Jonathan Frederic,3393
Min RK,2481
MinRK,2031
Brian E. Granger,1517
Thomas Kluyver,1130
jtpio,964
Matthias Bussonnier,810
Matthias BUSSONNIER,790
Brian Granger,454
,
Communication Events,Total: 1925
"Author1,Author2",Events
"Jeremy Tuloup,jtpio",437
"jdfreder,Matthias Bussonnier",58
"Jeremy Tuloup,GitHub Action",56
"Jonathan Frederic,Jason Grout",35
"Brian E. Granger,MinRK",34
"Jonathan Frederic,Matthias Bussonnier",31
"Jason Grout,Jonathan Frederic",30
"Jonathan Frederic,jon",26
"jon,Jonathan Frederic",23
"Min RK,Matthias Bussonnier",22
"Min RK,Thomas Kluyver",21
"MinRK,Brian E. Granger",19
"Zachary Sailer,MinRK",19
"jtpio,Jeremy Tuloup",19
"GitHub Action,Jeremy Tuloup",18
"jtpio,brichet",17
"Afshin T. Darian,Jeremy Tuloup",17
"Matthias BUSSONNIER,Brian Granger",17
"Brian Granger,Brian E. Granger",16
"Min RK,Jonathan Frederic",16
"MinRK,Min RK",16
"Matthias BUSSONNIER,Matthias Bussonnier",16
"Matthias Bussonnier,Jonathan Frederic",15
"jdfreder,Jonathan Frederic",15
"MinRK,Thomas Kluyver",15
"Nicolas Brichet,jtpio",15
"Bussonnier Matthias,Matthias BUSSONNIER",15
"github-actions[bot],jtpio",15
"Brian E. Granger,Jonathan Frederic",14
"Thomas Kluyver,MinRK",14
"KesterTong,Jeff Hemmelgarn",13
"Matthias BUSSONNIER,MinRK",12
"Jonathan Frederic,Thomas Kluyver",12
"Matthias Bussonnier,Bussonnier Matthias",12
"Thomas Kluyver,Min RK",11
"Brian E. Granger,Brian Granger",11
"MinRK,Matthias BUSSONNIER",10
"Paul Ivanov,MinRK",10
"Jonathan Frederic,Min RK",10
"Nicolas Brichet,foo",9
"Jonathan Frederic,Sylvain Corlay",9
"Jonathan Frederic,Brian E. Granger",9
"Zachary Sailer,Thomas Kluyver",9
"Min RK,Jason Grout",8
"Thomas Kluyver,Matthias Bussonnier",8
"Paul Ivanov,Zachary Sailer",8
"Brian Granger,Matthias BUSSONNIER",8
"MinRK,Paul Ivanov",8
"Fernando Perez,MinRK",8
"Brian Granger,MinRK",8
"Celina Kilcrease,Ashley Teoh",7
"Brian E. Granger,Stefan van der Walt",7
"Nicolas Brichet,Jeremy Tuloup",7
"Matthias Bussonnier,Min RK",7
"Jonathan Frederic,MinRK",7
"Jeff Hemmelgarn,Thomas Kluyver",7
"Pierre Gerold,Matthias Bussonnier",6
"Paul Ivanov,Thomas Kluyver",6
"Thomas Kluyver,Matthias BUSSONNIER",6
"Thomas Kluyver,Jonathan Frederic",6
"Matthias Bussonnier,Matthias BUSSONNIER",6
"Thomas Kluyver,Paul Ivanov",6
"Zachary Sailer,Paul Ivanov",6
"Bussonnier Matthias,Min RK",6
"Ashley Teoh,Celina Kilcrease",6
"Jason Grout,Sylvain Corlay",6
"MinRK,Jason Grout",6
"Min RK,Scott Sanderson",6
"Jonathan Frederic,Nicholas Bollweg (Nick)",5
"Loic Huder,Jeremy Tuloup",5
"Matthias Bussonnier,Pierre Gerold",5
"Kester Tong,Thomas Kluyver",5
"Thomas Kluyver,Kester Tong",5
"Steven Silvester,GitHub Action",5
"Grant Nestor,Thomas Kluyver",5
"Sylvain Corlay,Jonathan Frederic",5
"Jeff Hemmelgarn,KesterTong",5
