Field,Value
Commits Overview,
Total Commits,31969
Total Unique Authors,468
,
Top 10 Contributors,
Author,Commits
Damien Doligez,19474
Xavier Leroy,17598
Jacques Garrigue,7844
Gabriel Scherer,6763
KC Sivaramakrishnan,5918
Alain Frisch,5434
Sébastien Hinderer,5085
David Allsopp,4505
Florian Angeletti,3552
Stephen Dolan,3395
,
Communication Events,Total: 5358
"Author1,Author2",Events
"Jacques Garrigue,Alain Frisch",79
"Alain Frisch,Jacques Garrigue",67
"Xavier Leroy,Damien Doligez",63
"Damien Doligez,Xavier Leroy",52
"Damien Doligez,Jacques Garrigue",49
"Jeremy Yallop,Jacques Garrigue",45
"Hongbo Zhang,Damien Doligez",41
"Mark Shinwell,Jacques Garrigue",41
"Nicolas Ojeda Bar,Gabriel Scherer",41
"Jacques Garrigue,Damien Doligez",39
"octachron,Gabriel Scherer",38
"Florian Angeletti,Gabriel Scherer",38
"Damien Doligez,Pierre Weis",32
"Sébastien Hinderer,David Allsopp",31
"Mark Shinwell,Alain Frisch",30
"Damien Doligez,Gabriel Scherer",30
"Gabriel Scherer,Florian Angeletti",30
"Fabrice Le Fessant,Jacques Garrigue",29
"Damien Doligez,Alain Frisch",29
"Antal Spector-Zabusky,Olivier Nicole",29
"Florian Angeletti,octachron",28
"octachron,Florian Angeletti",28
"Xavier Leroy,Jacques Garrigue",27
"alainfrisch,Pierre Chambart",27
"Jacques Le Normand,Jacques Garrigue",27
"Gabriel Scherer,David Allsopp",26
"Xavier Leroy,David Allsopp",26
"Sébastien Hinderer,KC Sivaramakrishnan",26
"Leo White,Mark Shinwell",25
"Runhang Li,Leo White",25
"Gabriel Scherer,Xavier Leroy",24
"David Allsopp,Gabriel Scherer",23
"Leo White,Thomas Refis",23
"Thomas Refis,Gabriel Scherer",23
"Mark Shinwell,Leo White",23
"Mark Shinwell,Damien Doligez",23
"Jacques Garrigue,Xavier Leroy",22
"Gabriel Scherer,Jacques Garrigue",22
"Sébastien Hinderer,Gabriel Scherer",21
"Gabriel Scherer,Thomas Refis",21
"Mark Shinwell,Pierre Chambart",21
"Xavier Leroy,Gabriel Scherer",20
"Jacques Garrigue,Gabriel Scherer",20
"Gabriel Scherer,Damien Doligez",20
"Xavier Leroy,Jérôme Vouillon",20
"Xavier Clerc,Gabriel Scherer",20
"David Allsopp,Xavier Leroy",19
"Pierre Chambart,Mark Shinwell",19
"Takafumi Saikawa,Jacques Garrigue",18
"David Allsopp,Sébastien Hinderer",18
"Gabriel Scherer,Sébastien Hinderer",18
"François Bobot,Nicolás Ojeda Bär",17
"Gabriel Scherer,Nicolás Ojeda Bär",17
"Gabriel Scherer,octachron",17
"Xavier Leroy,Florian Angeletti",17
"Gabriel Scherer,Alain Frisch",16
"Nicolás Ojeda Bär,Gabriel Scherer",16
"Antonin Décimo,David Allsopp",16
"Leo White,Damien Doligez",16
"Gabriel Scherer,Guillaume Munch-Maccagnoni",16
"Jérôme Vouillon,Xavier Leroy",15
"Damien Doligez,Xavier Clerc",15
"Damien Doligez,Mark Shinwell",15
"ygrek,Gabriel Scherer",15
"Alain Frisch,Damien Doligez",15
"Xavier Leroy,Sébastien Hinderer",15
"Chris Casinghino,Vincent Laviron",15
"alainfrisch,Alain Frisch",15
"KC Sivaramakrishnan,Stephen Dolan",15
"Florian Angeletti,David Allsopp",15
"Pierre Weis,Damien Doligez",15
"David Allsopp,Damien Doligez",15
"Anil Madhavapeddy,KC Sivaramakrishnan",14
"Stephen Dolan,Sébastien Hinderer",14
"KC Sivaramakrishnan,Tom Kelly",14
"Mark Shinwell,Gabriel Scherer",14
"Stephen Dolan,Gabriel Scherer",14
"Leo White,Hyunggyu Jang",14
"David Allsopp,Florian Angeletti",13
"Gabriel Scherer,Stephen Dolan",13
"Xavier Clerc,Damien Doligez",13
"Jacques Garrigue,Jacques Le Normand",13
"Alain Frisch,Gabriel Scherer",13
"Mark Shinwell,Xavier Leroy",13
"KC Sivaramakrishnan,Jon Ludlam",12
"Sadiq Jaffer,Mark Shinwell",12
"Florian Angeletti,Nicolás Ojeda Bär",12
"Xavier Leroy,Nicolás Ojeda Bär",12
"Florian Angeletti,Thomas Refis",12
"Sébastien Hinderer,Nicolás Ojeda Bär",12
"Tom Kelly,KC Sivaramakrishnan",11
"Antal Spector-Zabusky,Florian Angeletti",11
"David Allsopp,Samuel Hym",11
"Nicolás Ojeda Bär,Simon Cruanes",11
"David Allsopp,Antonin Décimo",11
"Stephen Dolan,Mark Shinwell",11
"Mark Shinwell,Stephen Dolan",11
"Jeremie Dimino,Gabriel Scherer",11
"David Allsopp,Mark Shinwell",11
"Pierre Weis,Xavier Leroy",11
"Charles Chamberlain,Gabriel Scherer",11
"octachron,Leo White",10
"Fabrice Le Fessant,Damien Doligez",10
"Sébastien Hinderer,Seb Hinderer",10
"Nicolás Ojeda Bär,Xavier Leroy",10
"Gabriel Scherer,Rodolphe Lepigre",10
"Nicolás Ojeda Bär,Florian Angeletti",10
"Greta Yorsh,Xavier Leroy",10
"Florian Angeletti,Sébastien Hinderer",10
"KC Sivaramakrishnan,Florian Angeletti",10
"Xavier Leroy,Alain Frisch",10
"Tom Kelly,Enguerrand Decorne",10
"Leo White,David Allsopp",10
"Alain Frisch,Xavier Leroy",10
"Jacques Garrigue,Florian Angeletti",9
"Nicolás Ojeda Bär,David Allsopp",9
"Jacques Garrigue,Mark Shinwell",9
"Sébastien Hinderer,Stephen Dolan",9
"KC Sivaramakrishnan,Sébastien Hinderer",9
"Sébastien Hinderer,Xavier Leroy",9
"Xavier Clerc,Leo White",9
"Jérémie Dimino,Damien Doligez",9
"Armaël Guéneau,Thomas Refis",9
"Alain Frisch,alainfrisch",9
"Alain Frisch,Fabrice Le Fessant",9
"Gabriel Scherer,Jeremy Yallop",9
"alainfrisch,Jacques Garrigue",9
"octachron,Sébastien Hinderer",9
"yallop,Daniel Bünzli",8
"Daniel de Rauglaudre,Xavier Leroy",8
"Alain Frisch,Xavier Clerc",8
"Maxence Guesdon,Xavier Leroy",8
"Rodolphe Lepigre,Gabriel Scherer",8
"Miod Vallat,Tim McGilchrist",8
