File,Top Contributor Share (%)
LICENSE,99.90
README.md,39.70
.replit,100.00
interpreter/__init__.py,51.41
interpreter/interpreter.py,73.73
replit.nix,100.00
venv/bin/Activate.ps1,100.00
venv/bin/activate,100.00
venv/bin/activate.csh,100.00
venv/bin/activate.fish,100.00
venv/bin/doesitcache,100.00
venv/bin/f2py,100.00
venv/bin/f2py3,100.00
venv/bin/f2py3.10,100.00
venv/bin/flask,100.00
venv/bin/keyring,100.00
venv/bin/normalizer,100.00
venv/bin/pip,100.00
venv/bin/pip3,100.00
venv/bin/pip3.10,100.00
venv/bin/pkginfo,100.00
venv/bin/poetry,100.00
venv/bin/pyflakes,100.00
venv/bin/pylsp,100.00
venv/bin/python,100.00
venv/bin/python3,100.00
venv/bin/python3.10,100.00
venv/bin/replit,100.00
venv/bin/virtualenv,100.00
venv/bin/yapf,100.00
venv/bin/yapf-diff,100.00
venv/lib/python3.10/site-packages/CHANGES.rst,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/INSTALLER,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/LICENSE.txt,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/METADATA,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/RECORD,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/WHEEL,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/entry_points.txt,100.00
venv/lib/python3.10/site-packages/CacheControl-0.12.11.dist-info/top_level.txt,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/AES.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/AES.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ARC2.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ARC2.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ARC4.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ARC4.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/Blowfish.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/Blowfish.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/CAST.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/CAST.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ChaCha20.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ChaCha20.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ChaCha20_Poly1305.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/ChaCha20_Poly1305.pyi,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/DES.py,100.00
venv/lib/python3.10/site-packages/Cryptodome/Cipher/DES.pyi,100.00
