File,Top Contributor Share (%)
.gitignore,35.80
example/README.md,66.67
platform/README.md,66.67
platform/commonUI/README.md,95.45
platform/core/README.md,75.00
platform/data/README.md,66.67
platform/features/README.md,75.00
platform/forms/README.md,97.14
platform/framework/README.md,99.50
platform/identity/README.md,66.67
platform/persistence/README.md,100.00
platform/representation/README.md,99.21
platform/framework/lib/angular.min.js,57.23
platform/framework/lib/require.js,100.00
pom.xml,95.62
platform/framework/test/lib/blanket.js,100.00
platform/framework/test/lib/blanket_jasmine.js,100.00
platform/framework/test/lib/console-runner.js,100.00
platform/framework/test/lib/css/jasmine.css,100.00
platform/framework/test/lib/css/test.css,100.00
platform/framework/test/lib/jasmine-blanket.js,100.00
platform/framework/test/lib/jasmine-html.js,100.00
platform/framework/test/lib/jasmine.js,100.00
platform/framework/test/lib/run_jasmine_test.coffee,50.00
test.html,100.00
test.js,100.00
bundles.json,53.12
platform/framework/src/Temporary.js,100.00
platform/framework/test/TemporarySpec.js,100.00
platform/framework/test/suite.json,100.00
index.html,21.51
README.md,38.74
platform/framework/lib/es6-promise-2.0.0.min.js,100.00
platform/framework/src/Bundle.js,100.00
platform/framework/src/BundleLoader.js,100.00
platform/framework/src/Extension.js,100.00
platform/framework/src/Main.js,94.98
platform/framework/src/Constants.js,89.39
platform/framework/src/ExtensionResolver.js,100.00
platform/framework/src/ImplementationLoader.js,100.00
platform/framework/src/ExtensionRegistrar.js,100.00
platform/framework/src/FrameworkInitializer.js,93.48
platform/framework/src/PartialConstructor.js,100.00
platform/framework/src/CustomRegistrars.js,100.00
platform/framework/src/BundleResolver.js,100.00
platform/framework/src/ApplicationBootstrapper.js,100.00
platform/framework/lib/angular-route.min.js,56.00
example/builtins/README.md,100.00
example/builtins/bundle.json,100.00
example/builtins/res/templates/example.html,90.32
example/builtins/src/ExampleController.js,93.88
example/builtins/src/ExampleDirective.js,96.25
example/builtins/src/ExampleService.js,94.12
platform/framework/src/bootstrap/ApplicationBootstrapper.js,76.27
platform/framework/src/load/Bundle.js,91.71
platform/framework/src/load/BundleLoader.js,83.49
platform/framework/src/load/Extension.js,88.61
platform/framework/src/register/CustomRegistrars.js,96.86
platform/framework/src/register/ExtensionRegistrar.js,89.33
platform/framework/src/register/PartialConstructor.js,86.54
platform/framework/src/resolve/BundleResolver.js,85.71
platform/framework/src/resolve/ExtensionResolver.js,85.29
platform/framework/src/resolve/ImplementationLoader.js,84.62
example/extensions/bundle.json,100.00
example/extensions/src/SomeExample.js,94.74
platform/framework/src/register/ServiceCompositor.js,92.11
example/composite/bundle.json,100.00
example/composite/src/SomeAggregator.js,94.55
example/composite/src/SomeDecorator.js,94.34
example/composite/src/SomeOtherDecorator.js,94.34
example/composite/src/SomeOtherExample.js,94.12
example/composite/src/SomeOtherProvider.js,94.34
example/composite/src/SomeProvider.js,94.34
platform/framework/test/ConstantsSpec.js,100.00
platform/framework/test/FrameworkInitializerSpec.js,91.58
platform/framework/test/bootstrap/ApplicationBootstrapperSpec.js,92.74
platform/framework/test/load/BundleLoaderSpec.js,88.32
platform/framework/test/load/BundleSpec.js,89.57
platform/framework/test/load/ExtensionSpec.js,94.21
platform/framework/test/register/CustomRegistrarsSpec.js,78.49
platform/framework/test/register/ExtensionRegistrarSpec.js,92.00
platform/framework/test/register/PartialConstructorSpec.js,92.79
platform/framework/test/register/ServiceCompositorSpec.js,91.80
platform/framework/test/resolve/BundleResolverSpec.js,88.41
platform/framework/test/resolve/ExtensionResolverSpec.js,89.11
platform/framework/test/resolve/ImplementationLoaderSpec.js,90.97
platform/framework/bundle.json,78.43
platform/core/bundle.json,94.19
platform/core/src/actions/ActionAggregator.js,95.38
platform/core/src/actions/ActionCapability.js,71.92
platform/core/src/actions/ActionProvider.js,95.85
platform/core/src/actions/CreateWizard.js,100.00
platform/core/src/actions/LoggingActionDecorator.js,93.50
platform/core/src/actions/create-action.js,100.00
platform/core/src/actions/duplicate-action.js,100.00
platform/core/src/actions/duplicate-wizard.js,100.00
platform/core/src/capabilities/CompositionCapability.js,94.42
platform/core/src/capabilities/ContextCapability.js,92.06
platform/core/src/capabilities/ContextualDomainObject.js,85.37
platform/core/src/capabilities/CoreCapabilityProvider.js,87.68
platform/core/src/capabilities/DelegationCapability.js,92.16
platform/core/src/capabilities/MutationCapability.js,95.00
platform/core/src/capabilities/PersistenceCapability.js,66.02
platform/core/src/models/ModelAggregator.js,94.67
platform/core/src/models/PersistedModelProvider.js,78.05
platform/core/src/models/RootModelProvider.js,94.09
platform/core/src/models/StaticModelProvider.js,89.57
platform/core/src/objects/DomainObject.js,99.26
platform/core/src/objects/DomainObjectProvider.js,81.82
platform/core/src/types/MergeModels.js,84.29
platform/core/src/types/TypeCapability.js,90.14
platform/core/src/types/TypeCapabilityProvider.js,100.00
platform/core/src/types/TypeImpl.js,94.89
platform/core/src/types/TypeProperty.js,93.63
platform/core/src/types/TypePropertyConversion.js,88.19
platform/core/src/types/TypeProvider.js,94.21
platform/core/src/types/TypeWizard.js,100.00
platform/core/src/views/ViewCapability.js,91.36
platform/core/src/views/ViewProvider.js,93.95
platform/core/test/suite.json,94.23
platform/core/test/types/TypeCapabilityProviderSpec.js,100.00
platform/core/test/types/TypeImplSpec.js,89.21
platform/core/test/types/TypePropertyConversionSpec.js,87.34
platform/core/test/types/TypePropertySpec.js,92.47
platform/core/test/types/TypeProviderSpec.js,96.69
platform/core/test/actions/ActionAggregatorSpec.js,89.53
platform/core/test/actions/ActionCapabilitySpec.js,86.18
platform/core/test/actions/ActionProviderSpec.js,86.50
platform/core/test/actions/LoggingActionDecoratorSpec.js,90.91
platform/core/test/capabilities/CompositionCapabilitySpec.js,88.59
platform/core/test/capabilities/ContextCapabilitySpec.js,87.63
platform/core/test/capabilities/ContextualDomainObjectSpec.js,90.53
platform/core/test/capabilities/CoreCapabilityProviderSpec.js,91.27
platform/core/test/capabilities/DelegationCapabilitySpec.js,84.44
platform/core/test/capabilities/MutationCapabilitySpec.js,93.68
platform/core/test/capabilities/PersistenceCapabilitySpec.js,44.84
platform/core/test/models/ModelAggregatorSpec.js,82.69
platform/core/test/models/PersistedModelProviderSpec.js,70.90
platform/core/test/models/RootModelProviderSpec.js,95.39
platform/core/test/models/StaticModelProviderSpec.js,78.68
platform/core/test/objects/DomainObjectProviderSpec.js,83.82
platform/core/test/objects/DomainObjectSpec.js,91.18
platform/core/test/types/MergeModelsSpec.js,91.57
platform/core/test/types/TypeCapabilitySpec.js,79.52
platform/core/test/views/ViewCapabilitySpec.js,89.04
platform/core/test/views/ViewProviderSpec.js,89.80
platform/representation/bundle.json,74.02
platform/representation/src/MCTInclude.js,85.04
platform/representation/src/MCTRepresentation.js,82.59
platform/representation/src/gestures/ContextMenuGesture.js,47.35
platform/representation/src/gestures/DragGesture.js,95.36
platform/representation/src/gestures/DropGesture.js,48.73
platform/representation/src/gestures/GestureConstants.js,89.86
platform/representation/test/MCTIncludeSpec.js,70.50
platform/representation/test/MCTRepresentationSpec.js,78.65
platform/representation/test/gestures/ContextMenuGestureSpec.js,64.00
platform/representation/test/gestures/DragGestureSpec.js,94.01
platform/representation/test/gestures/DropGestureSpec.js,65.65
platform/representation/test/suite.json,78.95
platform/representation/src/gestures/GestureProvider.js,94.09
platform/representation/test/gestures/GestureProviderSpec.js,92.23
platform/commonUI/browse/bundle.json,74.85
platform/commonUI/browse/lib/screenfull.min.js,100.00
platform/commonUI/browse/res/templates/browse-object.html,58.58
platform/commonUI/browse/res/templates/browse.html,36.16
platform/commonUI/browse/res/templates/browse/object-header.html,34.95
platform/commonUI/browse/res/templates/create-button.html,100.00
platform/commonUI/browse/res/templates/create-menu.html,100.00
platform/commonUI/browse/res/templates/items/grid-item.html,51.00
platform/commonUI/browse/res/templates/items/items.html,87.88
platform/commonUI/browse/res/templates/topbar-browse.html,100.00
platform/commonUI/browse/src/BrowseController.js,33.42
platform/commonUI/browse/src/ViewSwitcherController.js,100.00
platform/commonUI/browse/src/creation/CreateAction.js,68.24
platform/commonUI/browse/src/creation/CreateActionProvider.js,90.71
platform/commonUI/browse/src/creation/CreateButtonController.js,100.00
platform/commonUI/browse/src/creation/CreateMenuController.js,100.00
platform/commonUI/browse/src/creation/CreateWizard.js,85.80
platform/commonUI/browse/src/creation/CreationService.js,82.98
platform/commonUI/browse/src/creation/UUIDService.js,100.00
platform/commonUI/browse/src/navigation/NavigateAction.js,63.70
platform/commonUI/browse/src/navigation/NavigationService.js,45.83
platform/commonUI/browse/src/windowing/FullscreenAction.js,92.59
platform/commonUI/browse/src/windowing/NewWindowAction.js,73.61
platform/commonUI/dialog/bundle.json,40.21
platform/commonUI/dialog/res/templates/overlay.html,70.10
platform/commonUI/dialog/src/DialogService.js,55.98
platform/commonUI/edit/README.md,100.00
platform/commonUI/edit/bundle.json,79.55
platform/commonUI/edit/res/templates/edit-action-buttons.html,44.83
platform/commonUI/edit/res/templates/edit-object.html,36.03
platform/commonUI/edit/res/templates/edit.html,97.14
platform/commonUI/edit/res/templates/elements.html,43.59
platform/commonUI/edit/res/templates/library.html,79.41
platform/commonUI/edit/res/templates/topbar-edit.html,84.48
platform/commonUI/edit/src/EditActionController.js,100.00
platform/commonUI/edit/src/EditController.js,100.00
platform/commonUI/edit/src/actions/CancelAction.js,54.50
platform/commonUI/edit/src/actions/EditAction.js,58.51
platform/commonUI/edit/src/actions/RemoveAction.js,39.49
platform/commonUI/edit/src/actions/SaveAction.js,51.82
platform/commonUI/edit/src/capabilities/EditableContextCapability.js,100.00
platform/commonUI/edit/src/capabilities/EditablePersistenceCapability.js,100.00
platform/commonUI/edit/src/capabilities/EditorCapability.js,56.10
platform/commonUI/edit/src/objects/EditableDomainObject.js,82.35
platform/commonUI/edit/src/objects/EditableDomainObjectCache.js,92.41
platform/commonUI/general/bundle.json,81.63
platform/commonUI/general/res/css/forms.css,69.31
platform/commonUI/general/res/css/items.css,54.97
platform/commonUI/general/res/css/main.css,100.00
platform/commonUI/general/res/css/normalize.min.css,100.00
platform/commonUI/general/res/css/plots.css,68.60
platform/commonUI/general/res/css/theme-espresso.css,74.29
platform/commonUI/general/res/css/tree.css,47.99
platform/commonUI/general/res/fonts/symbols/wtdsymbols.svg,64.27
platform/commonUI/general/res/templates/bottombar.html,76.62
platform/commonUI/general/res/templates/containers/accordion.html,60.00
platform/commonUI/general/res/templates/controls/action-button.html,74.47
platform/commonUI/general/res/templates/controls/action-group.html,74.51
platform/commonUI/general/res/templates/controls/switcher.html,63.16
platform/commonUI/general/res/templates/label.html,48.08
platform/commonUI/general/res/templates/menu/context-menu.html,72.41
platform/commonUI/general/res/templates/test.html,100.00
platform/commonUI/general/res/templates/tree-item.html,100.00
platform/commonUI/general/res/templates/tree.html,82.35
platform/commonUI/general/src/AccordionController.js,100.00
platform/commonUI/general/src/ActionGroupController.js,100.00
platform/commonUI/general/src/ContextMenuController.js,100.00
platform/commonUI/general/src/MCTContainer.js,100.00
platform/commonUI/general/src/TreeNodeController.js,100.00
example/persistence/bundle.json,100.00
example/persistence/src/BrowserPersistenceProvider.js,92.92
platform/commonUI/general/src/ClickAwayController.js,100.00
platform/commonUI/general/src/ToggleController.js,100.00
platform/commonUI/general/test/ActionGroupControllerSpec.js,100.00
platform/commonUI/general/test/ClickAwayControllerSpec.js,100.00
platform/commonUI/general/test/ContextMenuControllerSpec.js,100.00
platform/commonUI/general/test/MCTContainerSpec.js,100.00
platform/commonUI/general/test/ToggleControllerSpec.js,100.00
platform/commonUI/general/test/TreeNodeControllerSpec.js,100.00
platform/commonUI/general/test/suite.json,91.84
platform/commonUI/general/res/templates/tree-node.html,43.37
platform/commonUI/edit/test/EditActionControllerSpec.js,100.00
platform/commonUI/edit/test/EditControllerSpec.js,100.00
platform/commonUI/edit/test/actions/CancelActionSpec.js,44.98
platform/commonUI/edit/test/actions/EditActionSpec.js,69.83
platform/commonUI/edit/test/actions/RemoveActionSpec.js,36.56
platform/commonUI/edit/test/actions/SaveActionSpec.js,38.43
platform/commonUI/edit/test/capabilities/EditableContextCapabilitySpec.js,100.00
platform/commonUI/edit/test/capabilities/EditablePersistenceCapabilitySpec.js,100.00
