Field,Value
Commits Overview,
Total Commits,8050
Total Unique Authors,112
,
Top 10 Contributors,
Author,Commits
Victor Woeltjen,8978
Charles Hacskaylo,4211
Jesse Mazzella,3866
Shefali Joshi,2887
Andrew Henry,2830
Henry,2812
Scott Bell,2262
Pete Richards,1648
David Tsay,1428
Deep Tailor,981
,
Communication Events,Total: 1123
"Author1,Author2",Events
"Joel McKinnon,Joshi",47
"Victor Woeltjen,Charles Hacskaylo",41
"Jesse,Victor Woeltjen",37
"Joshi,Joel McKinnon",37
"Joshi,Shefali Joshi",33
"Scott Bell,David Tsay",33
"Jamie V,Jesse Mazzella",29
"Andrew Henry,Henry",25
"Deep Tailor,Charles Hacskaylo",23
"Henry,Victor Woeltjen",21
"Henry,Andrew Henry",21
"John Hill,dependabot[bot]",19
"Charles Hacskaylo,Victor Woeltjen",19
"Charles Hacskaylo,Pegah Sarram",17
"Scott Bell,Jamie V",17
"Andrew Henry,Joel McKinnon",17
"Charles Hacskaylo,Shefali Joshi",17
"dependabot[bot],John Hill",16
"Nikhil,Shefali Joshi",15
"Andrew Henry,Jamie V",15
"Charles Hacskaylo,Henry",14
"David Tsay,Shefali Joshi",13
"Henry,Charles Hacskaylo",13
"John Hill,Jesse Mazzella",12
"Shefali Joshi,David Tsay",12
"Charles Hacskaylo,Deep Tailor",12
"Jesse Mazzella,dependabot[bot]",11
"shale,Shivam Dave",11
"Shefali Joshi,Joshi",11
"Joel McKinnon,Shefali Joshi",11
"Charles Hacskaylo,charlesh88",10
"Shivam Dave,shale",10
"Pegah Sarram,Deep Tailor",9
"Deep Tailor,Andrew Henry",9
"Victor Woeltjen,Henry",9
"Shefali Joshi,Jesse Mazzella",9
"Charles Hacskaylo,Joel McKinnon",8
"Charles Hacskaylo,Andrew Henry",8
"Dave,Shivam Dave",8
"Pete Richards,Henry",8
"Shivam Dave,Dave",8
"dependabot[bot],Shefali Joshi",8
"Shefali Joshi,Joel McKinnon",7
"Shefali Joshi,Nikhil",7
"Shefali Joshi,dependabot[bot]",7
"Scott Bell,Jesse Mazzella",7
